"RunID","SampleID","Block","Surface_type","Pressure","Solvent","Recovery"
"RUN_010","SMP_010",10,"smooth","low","present",NA
"RUN_077","SMP_077",11,"textured","high","present",NA
"RUN_076","SMP_076",10,"textured","high","present",NA
"RUN_004","SMP_004",4,"smooth","low","present",NA
"RUN_027","SMP_027",5,"smooth","high","present",NA
"RUN_023","SMP_023",1,"smooth","high","present",NA
"RUN_059","SMP_059",4,"smooth","high","absent",NA
"RUN_011","SMP_011",11,"smooth","low","present",NA
"RUN_031","SMP_031",9,"smooth","high","present",NA
"RUN_014","SMP_014",3,"textured","high","absent",NA
"RUN_037","SMP_037",4,"textured","low","absent",NA
"RUN_032","SMP_032",10,"smooth","high","present",NA
"RUN_063","SMP_063",8,"smooth","high","absent",NA
"RUN_029","SMP_029",7,"smooth","high","present",NA
"RUN_033","SMP_033",11,"smooth","high","present",NA
"RUN_067","SMP_067",1,"textured","high","present",NA
"RUN_046","SMP_046",2,"smooth","low","absent",NA
"RUN_044","SMP_044",11,"textured","low","absent",NA
"RUN_050","SMP_050",6,"smooth","low","absent",NA
"RUN_082","SMP_082",5,"textured","low","present",NA
"RUN_061","SMP_061",6,"smooth","high","absent",NA
"RUN_016","SMP_016",5,"textured","high","absent",NA
"RUN_052","SMP_052",8,"smooth","low","absent",NA
"RUN_058","SMP_058",3,"smooth","high","absent",NA
"RUN_073","SMP_073",7,"textured","high","present",NA
"RUN_070","SMP_070",4,"textured","high","present",NA
"RUN_049","SMP_049",5,"smooth","low","absent",NA
"RUN_003","SMP_003",3,"smooth","low","present",NA
"RUN_015","SMP_015",4,"textured","high","absent",NA
"RUN_086","SMP_086",9,"textured","low","present",NA
"RUN_069","SMP_069",3,"textured","high","present",NA
"RUN_057","SMP_057",2,"smooth","high","absent",NA
"RUN_043","SMP_043",10,"textured","low","absent",NA
"RUN_056","SMP_056",1,"smooth","high","absent",NA
"RUN_062","SMP_062",7,"smooth","high","absent",NA
"RUN_072","SMP_072",6,"textured","high","present",NA
"RUN_085","SMP_085",8,"textured","low","present",NA
"RUN_024","SMP_024",2,"smooth","high","present",NA
"RUN_020","SMP_020",9,"textured","high","absent",NA
"RUN_026","SMP_026",4,"smooth","high","present",NA
"RUN_013","SMP_013",2,"textured","high","absent",NA
"RUN_081","SMP_081",4,"textured","low","present",NA
"RUN_041","SMP_041",8,"textured","low","absent",NA
"RUN_084","SMP_084",7,"textured","low","present",NA
"RUN_064","SMP_064",9,"smooth","high","absent",NA
"RUN_022","SMP_022",11,"textured","high","absent",NA
"RUN_018","SMP_018",7,"textured","high","absent",NA
"RUN_017","SMP_017",6,"textured","high","absent",NA
"RUN_053","SMP_053",9,"smooth","low","absent",NA
"RUN_025","SMP_025",3,"smooth","high","present",NA
"RUN_038","SMP_038",5,"textured","low","absent",NA
"RUN_066","SMP_066",11,"smooth","high","absent",NA
"RUN_051","SMP_051",7,"smooth","low","absent",NA
"RUN_005","SMP_005",5,"smooth","low","present",NA
"RUN_034","SMP_034",1,"textured","low","absent",NA
"RUN_075","SMP_075",9,"textured","high","present",NA
"RUN_060","SMP_060",5,"smooth","high","absent",NA
"RUN_035","SMP_035",2,"textured","low","absent",NA
"RUN_071","SMP_071",5,"textured","high","present",NA
"RUN_055","SMP_055",11,"smooth","low","absent",NA
"RUN_047","SMP_047",3,"smooth","low","absent",NA
"RUN_009","SMP_009",9,"smooth","low","present",NA
"RUN_074","SMP_074",8,"textured","high","present",NA
"RUN_036","SMP_036",3,"textured","low","absent",NA
"RUN_083","SMP_083",6,"textured","low","present",NA
"RUN_008","SMP_008",8,"smooth","low","present",NA
"RUN_087","SMP_087",10,"textured","low","present",NA
"RUN_065","SMP_065",10,"smooth","high","absent",NA
"RUN_012","SMP_012",1,"textured","high","absent",NA
"RUN_006","SMP_006",6,"smooth","low","present",NA
"RUN_068","SMP_068",2,"textured","high","present",NA
"RUN_021","SMP_021",10,"textured","high","absent",NA
"RUN_039","SMP_039",6,"textured","low","absent",NA
"RUN_030","SMP_030",8,"smooth","high","present",NA
"RUN_007","SMP_007",7,"smooth","low","present",NA
"RUN_054","SMP_054",10,"smooth","low","absent",NA
"RUN_002","SMP_002",2,"smooth","low","present",NA
"RUN_040","SMP_040",7,"textured","low","absent",NA
"RUN_088","SMP_088",11,"textured","low","present",NA
"RUN_045","SMP_045",1,"smooth","low","absent",NA
"RUN_079","SMP_079",2,"textured","low","present",NA
"RUN_001","SMP_001",1,"smooth","low","present",NA
"RUN_080","SMP_080",3,"textured","low","present",NA
"RUN_078","SMP_078",1,"textured","low","present",NA
"RUN_028","SMP_028",6,"smooth","high","present",NA
"RUN_042","SMP_042",9,"textured","low","absent",NA
"RUN_019","SMP_019",8,"textured","high","absent",NA
"RUN_048","SMP_048",4,"smooth","low","absent",NA
