"RunID","SurfaceID","TestOrder","Surface_type","Pressure","Solvent","Recovery"
"RUN_011","Surface_02",1,"steel","high","absent",NA
"RUN_009","Surface_02",2,"steel","low","absent",NA
"RUN_014","Surface_02",3,"abs","low","present",NA
"RUN_012","Surface_02",4,"abs","high","absent",NA
"RUN_010","Surface_02",5,"abs","low","absent",NA
"RUN_015","Surface_02",6,"steel","high","present",NA
"RUN_013","Surface_02",7,"steel","low","present",NA
"RUN_016","Surface_02",8,"abs","high","present",NA
"RUN_075","Surface_10",1,"steel","high","absent",NA
"RUN_073","Surface_10",2,"steel","low","absent",NA
"RUN_079","Surface_10",3,"steel","high","present",NA
"RUN_074","Surface_10",4,"abs","low","absent",NA
"RUN_076","Surface_10",5,"abs","high","absent",NA
"RUN_078","Surface_10",6,"abs","low","present",NA
"RUN_080","Surface_10",7,"abs","high","present",NA
"RUN_077","Surface_10",8,"steel","low","present",NA
"RUN_084","Surface_11",1,"abs","high","absent",NA
"RUN_085","Surface_11",2,"steel","low","present",NA
"RUN_083","Surface_11",3,"steel","high","absent",NA
"RUN_087","Surface_11",4,"steel","high","present",NA
"RUN_088","Surface_11",5,"abs","high","present",NA
"RUN_082","Surface_11",6,"abs","low","absent",NA
"RUN_086","Surface_11",7,"abs","low","present",NA
"RUN_081","Surface_11",8,"steel","low","absent",NA
"RUN_068","Surface_09",1,"abs","high","absent",NA
"RUN_067","Surface_09",2,"steel","high","absent",NA
"RUN_072","Surface_09",3,"abs","high","present",NA
"RUN_070","Surface_09",4,"abs","low","present",NA
"RUN_069","Surface_09",5,"steel","low","present",NA
"RUN_066","Surface_09",6,"abs","low","absent",NA
"RUN_071","Surface_09",7,"steel","high","present",NA
"RUN_065","Surface_09",8,"steel","low","absent",NA
"RUN_050","Surface_07",1,"abs","low","absent",NA
"RUN_049","Surface_07",2,"steel","low","absent",NA
"RUN_051","Surface_07",3,"steel","high","absent",NA
"RUN_056","Surface_07",4,"abs","high","present",NA
"RUN_055","Surface_07",5,"steel","high","present",NA
"RUN_052","Surface_07",6,"abs","high","absent",NA
"RUN_053","Surface_07",7,"steel","low","present",NA
"RUN_054","Surface_07",8,"abs","low","present",NA
"RUN_005","Surface_01",1,"steel","low","present",NA
"RUN_004","Surface_01",2,"abs","high","absent",NA
"RUN_006","Surface_01",3,"abs","low","present",NA
"RUN_002","Surface_01",4,"abs","low","absent",NA
"RUN_001","Surface_01",5,"steel","low","absent",NA
"RUN_008","Surface_01",6,"abs","high","present",NA
"RUN_003","Surface_01",7,"steel","high","absent",NA
"RUN_007","Surface_01",8,"steel","high","present",NA
"RUN_038","Surface_05",1,"abs","low","present",NA
"RUN_036","Surface_05",2,"abs","high","absent",NA
"RUN_035","Surface_05",3,"steel","high","absent",NA
"RUN_034","Surface_05",4,"abs","low","absent",NA
"RUN_039","Surface_05",5,"steel","high","present",NA
"RUN_033","Surface_05",6,"steel","low","absent",NA
"RUN_040","Surface_05",7,"abs","high","present",NA
"RUN_037","Surface_05",8,"steel","low","present",NA
"RUN_027","Surface_04",1,"steel","high","absent",NA
"RUN_030","Surface_04",2,"abs","low","present",NA
"RUN_031","Surface_04",3,"steel","high","present",NA
"RUN_028","Surface_04",4,"abs","high","absent",NA
"RUN_026","Surface_04",5,"abs","low","absent",NA
"RUN_029","Surface_04",6,"steel","low","present",NA
"RUN_025","Surface_04",7,"steel","low","absent",NA
"RUN_032","Surface_04",8,"abs","high","present",NA
"RUN_096","Surface_12",1,"abs","high","present",NA
"RUN_095","Surface_12",2,"steel","high","present",NA
"RUN_093","Surface_12",3,"steel","low","present",NA
"RUN_089","Surface_12",4,"steel","low","absent",NA
"RUN_092","Surface_12",5,"abs","high","absent",NA
"RUN_091","Surface_12",6,"steel","high","absent",NA
"RUN_094","Surface_12",7,"abs","low","present",NA
"RUN_090","Surface_12",8,"abs","low","absent",NA
"RUN_023","Surface_03",1,"steel","high","present",NA
"RUN_022","Surface_03",2,"abs","low","present",NA
"RUN_019","Surface_03",3,"steel","high","absent",NA
"RUN_024","Surface_03",4,"abs","high","present",NA
"RUN_017","Surface_03",5,"steel","low","absent",NA
"RUN_020","Surface_03",6,"abs","high","absent",NA
"RUN_018","Surface_03",7,"abs","low","absent",NA
"RUN_021","Surface_03",8,"steel","low","present",NA
"RUN_045","Surface_06",1,"steel","low","present",NA
"RUN_043","Surface_06",2,"steel","high","absent",NA
"RUN_046","Surface_06",3,"abs","low","present",NA
"RUN_042","Surface_06",4,"abs","low","absent",NA
"RUN_041","Surface_06",5,"steel","low","absent",NA
"RUN_044","Surface_06",6,"abs","high","absent",NA
"RUN_047","Surface_06",7,"steel","high","present",NA
"RUN_048","Surface_06",8,"abs","high","present",NA
"RUN_063","Surface_08",1,"steel","high","present",NA
"RUN_058","Surface_08",2,"abs","low","absent",NA
"RUN_060","Surface_08",3,"abs","high","absent",NA
"RUN_057","Surface_08",4,"steel","low","absent",NA
"RUN_059","Surface_08",5,"steel","high","absent",NA
"RUN_061","Surface_08",6,"steel","low","present",NA
"RUN_064","Surface_08",7,"abs","high","present",NA
"RUN_062","Surface_08",8,"abs","low","present",NA
