"BatchNumber","SampleID","SurfaceID","Pressure_g","Solvent_detail","PETN_Recovery_pct","RDX_Recovery_pct","Test_DateTime","Operator","Temp_C","Humidity_pct","Notes"
1,"PILOT_009","Steel_03",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_029","Steel_01",200,"dry",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_001","Steel_04",200,"dry",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_005","Steel_02",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_013","ABS_03",200,"dry",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_017","ABS_02",200,"dry",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_021","ABS_04",50,"dry",NA,NA,NA,NA,NA,NA,NA
1,"PILOT_025","ABS_01",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_006","Steel_02",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_002","Steel_04",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_030","Steel_01",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_010","Steel_03",200,"dry",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_018","ABS_02",50,"dry",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_014","ABS_03",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_026","ABS_01",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
2,"PILOT_022","ABS_04",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_031","Steel_01",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_007","Steel_02",200,"dry",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_011","Steel_03",50,"dry",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_003","Steel_04",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_019","ABS_02",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_023","ABS_04",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_027","ABS_01",200,"dry",NA,NA,NA,NA,NA,NA,NA
3,"PILOT_015","ABS_03",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_004","Steel_04",50,"dry",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_032","Steel_01",50,"dry",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_012","Steel_03",50,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_008","Steel_02",50,"dry",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_016","ABS_03",50,"dry",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_020","ABS_02",200,"100uL_EtOH",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_028","ABS_01",50,"dry",NA,NA,NA,NA,NA,NA,NA
4,"PILOT_024","ABS_04",200,"dry",NA,NA,NA,NA,NA,NA,NA
