"BatchNumber","Surface_type","SurfaceNumber","RowType","RunID","SampleID","SurfaceID","Pressure_g","Solvent_detail"
1,"steel",2,"NegativeControl","MAIN_SteelBatch1_NC","MAIN_SteelBatch1_NC","Steel_03",NA,"100uL_EtOH"
1,"steel",1,"Sample","MAIN_012","MAIN_012","Steel_06",300,"100uL_EtOH"
1,"steel",2,"Sample","MAIN_009","MAIN_009","Steel_03",100,"100uL_EtOH"
1,"steel",3,"Sample","MAIN_011","MAIN_011","Steel_05",100,"100uL_EtOH"
1,"steel",4,"Sample","MAIN_008","MAIN_008","Steel_02",10,"100uL_EtOH"
1,"steel",5,"Sample","MAIN_010","MAIN_010","Steel_04",10,"100uL_EtOH"
1,"steel",6,"Sample","MAIN_007","MAIN_007","Steel_01",10,"100uL_EtOH"
1,"abs",2,"NegativeControl","MAIN_ABSBatch1_NC","MAIN_ABSBatch1_NC","ABS_03",NA,"100uL_EtOH"
1,"abs",1,"Sample","MAIN_002","MAIN_002","ABS_02",300,"100uL_EtOH"
1,"abs",2,"Sample","MAIN_003","MAIN_003","ABS_03",300,"100uL_EtOH"
1,"abs",3,"Sample","MAIN_005","MAIN_005","ABS_05",10,"100uL_EtOH"
1,"abs",4,"Sample","MAIN_001","MAIN_001","ABS_01",10,"100uL_EtOH"
1,"abs",5,"Sample","MAIN_004","MAIN_004","ABS_04",300,"100uL_EtOH"
1,"abs",6,"Sample","MAIN_006","MAIN_006","ABS_06",300,"100uL_EtOH"
2,"steel",2,"NegativeControl","MAIN_SteelBatch2_NC","MAIN_SteelBatch2_NC","Steel_05",NA,"100uL_EtOH"
2,"steel",1,"Sample","MAIN_019","MAIN_019","Steel_01",300,"100uL_EtOH"
2,"steel",2,"Sample","MAIN_023","MAIN_023","Steel_05",10,"100uL_EtOH"
2,"steel",3,"Sample","MAIN_021","MAIN_021","Steel_03",300,"100uL_EtOH"
2,"steel",4,"Sample","MAIN_024","MAIN_024","Steel_06",100,"100uL_EtOH"
2,"steel",5,"Sample","MAIN_022","MAIN_022","Steel_04",300,"100uL_EtOH"
2,"steel",6,"Sample","MAIN_020","MAIN_020","Steel_02",300,"100uL_EtOH"
2,"abs",5,"NegativeControl","MAIN_ABSBatch2_NC","MAIN_ABSBatch2_NC","ABS_05",NA,"100uL_EtOH"
2,"abs",1,"Sample","MAIN_013","MAIN_013","ABS_01",300,"100uL_EtOH"
2,"abs",2,"Sample","MAIN_014","MAIN_014","ABS_02",100,"100uL_EtOH"
2,"abs",3,"Sample","MAIN_016","MAIN_016","ABS_04",100,"100uL_EtOH"
2,"abs",4,"Sample","MAIN_018","MAIN_018","ABS_06",100,"100uL_EtOH"
2,"abs",5,"Sample","MAIN_017","MAIN_017","ABS_05",300,"100uL_EtOH"
2,"abs",6,"Sample","MAIN_015","MAIN_015","ABS_03",10,"100uL_EtOH"
3,"steel",3,"NegativeControl","MAIN_SteelBatch3_NC","MAIN_SteelBatch3_NC","Steel_02",NA,"100uL_EtOH"
3,"steel",1,"Sample","MAIN_035","MAIN_035","Steel_05",300,"100uL_EtOH"
3,"steel",2,"Sample","MAIN_034","MAIN_034","Steel_04",100,"100uL_EtOH"
3,"steel",3,"Sample","MAIN_032","MAIN_032","Steel_02",100,"100uL_EtOH"
3,"steel",4,"Sample","MAIN_031","MAIN_031","Steel_01",100,"100uL_EtOH"
3,"steel",5,"Sample","MAIN_033","MAIN_033","Steel_03",10,"100uL_EtOH"
3,"steel",6,"Sample","MAIN_036","MAIN_036","Steel_06",10,"100uL_EtOH"
3,"abs",2,"NegativeControl","MAIN_ABSBatch3_NC","MAIN_ABSBatch3_NC","ABS_06",NA,"100uL_EtOH"
3,"abs",1,"Sample","MAIN_028","MAIN_028","ABS_04",10,"100uL_EtOH"
3,"abs",2,"Sample","MAIN_030","MAIN_030","ABS_06",10,"100uL_EtOH"
3,"abs",3,"Sample","MAIN_026","MAIN_026","ABS_02",10,"100uL_EtOH"
3,"abs",4,"Sample","MAIN_029","MAIN_029","ABS_05",100,"100uL_EtOH"
3,"abs",5,"Sample","MAIN_027","MAIN_027","ABS_03",100,"100uL_EtOH"
3,"abs",6,"Sample","MAIN_025","MAIN_025","ABS_01",100,"100uL_EtOH"
4,"steel",1,"NegativeControl","MAIN_SteelBatch4_NC","MAIN_SteelBatch4_NC","Steel_05",NA,"100uL_EtOH"
4,"steel",1,"Sample","MAIN_039","MAIN_039","Steel_05",200,"100uL_EtOH"
4,"steel",2,"Sample","MAIN_040","MAIN_040","Steel_06",50,"100uL_EtOH"
4,"abs",2,"NegativeControl","MAIN_ABSBatch4_NC","MAIN_ABSBatch4_NC","ABS_05",NA,"100uL_EtOH"
4,"abs",1,"Sample","MAIN_038","MAIN_038","ABS_06",50,"100uL_EtOH"
4,"abs",2,"Sample","MAIN_037","MAIN_037","ABS_05",50,"100uL_EtOH"
5,"steel",2,"NegativeControl","MAIN_SteelBatch5_NC","MAIN_SteelBatch5_NC","Steel_06",NA,"100uL_EtOH"
5,"steel",1,"Sample","MAIN_043","MAIN_043","Steel_05",50,"100uL_EtOH"
5,"steel",2,"Sample","MAIN_044","MAIN_044","Steel_06",200,"100uL_EtOH"
5,"abs",2,"NegativeControl","MAIN_ABSBatch5_NC","MAIN_ABSBatch5_NC","ABS_06",NA,"100uL_EtOH"
5,"abs",1,"Sample","MAIN_041","MAIN_041","ABS_05",200,"100uL_EtOH"
5,"abs",2,"Sample","MAIN_042","MAIN_042","ABS_06",200,"100uL_EtOH"
