RunID,SampleID,SurfaceProcessingOrder,SurfaceID,Surface_type,TestOrder,Pressure_level,Pressure_g,Solvent_level,Solvent_detail,Test_DateTime,Operator,Temp_C,Humidity_pct,Time Cleaned,Time Spiked,Time Swabbed,Date Extracted
MAIN_SteelBatch1_NC,MAIN_SteelBatch1_NC,7,Steel_03,steel,1,NA,NA,NA,NA,12-Aug,,21.50,51,14:40,NA,14:50,14-Aug
MAIN_012,MAIN_012,3,Steel_06,steel,1,VeryHigh,300,present,100uL_EtOH,12-Aug,,21.60,50,14:40,15:00,15:19,14-Aug
MAIN_009,MAIN_009,7,Steel_03,steel,1,Medium,100,present,100uL_EtOH,12-Aug,,21.60,50,14:41,15:01,15:34,14-Aug
MAIN_011,MAIN_011,2,Steel_05,steel,1,Medium,100,present,100uL_EtOH,12-Aug,,21.60,50,14:42,15:02,15:43,14-Aug
MAIN_008,MAIN_008,12,Steel_02,steel,1,VeryLow,10,present,100uL_EtOH,12-Aug,,21.60,50,14:42,15:03,15:51,14-Aug
MAIN_010,MAIN_010,4,Steel_04,steel,1,VeryLow,10,present,100uL_EtOH,12-Aug,,21.70,50,14:43,15:04,15:59,14-Aug
MAIN_007,MAIN_007,11,Steel_01,steel,1,VeryLow,10,present,100uL_EtOH,12-Aug,,21.70,50,14:44,15:05,16:06,14-Aug
MAIN_ABSBatch1_NC,MAIN_ABSBatch1_NC,1,ABS_03,abs,1,NA,NA,NA,NA,13-Aug,,21.30,48,10:55,NA,11:01,14-Aug
MAIN_002,MAIN_002,6,ABS_02,abs,1,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.40,48,10:55,11:11,11:19,14-Aug
MAIN_003,MAIN_003,1,ABS_03,abs,1,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.20,46,10:56,11:11,11:37,14-Aug
MAIN_005,MAIN_005,10,ABS_05,abs,1,VeryLow,10,present,100uL_EtOH,13-Aug,,21.20,46,10:57,11:12,11:51,14-Aug
MAIN_001,MAIN_001,5,ABS_01,abs,1,VeryLow,10,present,100uL_EtOH,13-Aug,,21.20,46,10:58,11:13,11:56,14-Aug
MAIN_004,MAIN_004,8,ABS_04,abs,1,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.20,46,10:58,11:14,12:01,14-Aug
MAIN_006,MAIN_006,9,ABS_06,abs,1,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.20,46,10:59,11:15,12:19,14-Aug
MAIN_SteelBatch2_NC,MAIN_SteelBatch2_NC,2,Steel_05,steel,2,NA,NA,NA,NA,13-Aug,,21.30,49,13:36,NA,13:41,14-Aug
MAIN_019,MAIN_019,11,Steel_01,steel,2,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.30,49,13:36,13:52,14:01,14-Aug
MAIN_023,MAIN_023,2,Steel_05,steel,2,VeryLow,10,present,100uL_EtOH,13-Aug,,21.30,51,13:37,13:53,14:16,14-Aug
MAIN_021,MAIN_021,7,Steel_03,steel,2,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.30,52,13:38,13:54,14:22,14-Aug
MAIN_024,MAIN_024,3,Steel_06,steel,2,Medium,100,present,100uL_EtOH,13-Aug,,21.30,51,13:38,13:55,14:39,14-Aug
MAIN_022,MAIN_022,4,Steel_04,steel,2,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.30,50,13:39,13:56,14:50,14-Aug
MAIN_020,MAIN_020,12,Steel_02,steel,2,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.30,49,13:39,13:57,15:04,14-Aug
MAIN_ABSBatch2_NC,MAIN_ABSBatch2_NC,10,ABS_05,abs,2,NA,NA,NA,NA,13-Aug,,21.30,48,15:06,NA,15:19,14-Aug
MAIN_013,MAIN_013,5,ABS_01,abs,2,VeryHigh,300,present,100uL_EtOH,13-Aug,,21.30,48,15:07,15:24,15:38,14-Aug
MAIN_014,MAIN_014,6,ABS_02,abs,2,Medium,100,present,100uL_EtOH,13-Aug,,21.30,47,15:08,15:25,15:52,14-Aug
MAIN_016,MAIN_016,8,ABS_04,abs,2,Medium,100,present,100uL_EtOH,13-Aug,,21.30,47,15:09,15:26,16:00,14-Aug
