"RunID","SampleID","SurfaceID","Surface_type","BatchNumber","HostSurfaceGroup"
"MAIN_SteelBatch1_NC","MAIN_SteelBatch1_NC","Steel_03","steel",1,"Reused"
"MAIN_ABSBatch1_NC","MAIN_ABSBatch1_NC","ABS_03","abs",1,"Reused"
"MAIN_SteelBatch2_NC","MAIN_SteelBatch2_NC","Steel_05","steel",2,"New"
"MAIN_ABSBatch2_NC","MAIN_ABSBatch2_NC","ABS_05","abs",2,"New"
"MAIN_SteelBatch3_NC","MAIN_SteelBatch3_NC","Steel_02","steel",3,"Reused"
"MAIN_ABSBatch3_NC","MAIN_ABSBatch3_NC","ABS_06","abs",3,"New"
"MAIN_SteelBatch4_NC","MAIN_SteelBatch4_NC","Steel_05","steel",4,"New"
"MAIN_ABSBatch4_NC","MAIN_ABSBatch4_NC","ABS_05","abs",4,"New"
"MAIN_SteelBatch5_NC","MAIN_SteelBatch5_NC","Steel_06","steel",5,"New"
"MAIN_ABSBatch5_NC","MAIN_ABSBatch5_NC","ABS_06","abs",5,"New"
