AIKeywords	CorrectedAIKeywords	CorAIKeywordsAcronym
"1,2 INDANDIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2 INDANDIONE DERIVATIVE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2-INDANDIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2-INDANEDIONES"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,2-INDANEKIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,3 INDANDIONE DERIVATIVE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
2-INDANDIONE	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
2-INDANEDIONE	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"INDAN 1,2 DIONE"	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
INDANEDIONE	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
INDANEDIONES	"1,2-INDANEDIONE"	"1,2-INDANEDIONE"
"1,8 DIAZA 9 FLUORENONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZA FLUOREN 9 ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLOUREN 9 ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLUOREN 9 ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLUORENONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUOREN-9-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUORENE-9-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZAFLUOREN-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8-DIAZOFLUORENE-9-ONE"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
DFO	"1,8-DIAZAFLUOREN-9-ONE (DFO)"	"1,8-DIAZAFLUOREN-9-ONE (DFO)"
"1,8 DIAZAFLOREN 9 ONE ALANINE"	"1,8-DIAZAFLUOREN-9-ONE ALANINE(DFO-ALANINE)"	"1,8-DIAZAFLUOREN-9-ONE ALANINE(DFO-ALANINE)"
8-DIAZOFLUOREN	"1,8-DIAZAFLUOREN-9-ONE(DFO)"	"1,8-DIAZAFLUOREN-9-ONE(DFO)"
2-PHENOXYETHANOL	2 PHENOXYETHANOL	2 PHENOXYETHANOL
PHENOXYETHANOL	2 PHENOXYETHANOL	2 PHENOXYETHANOL
"2 ,4-DINITRO TOLUENES"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2 ,4-DINITROTOLUENE"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2 ,4-DNT"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
2 4-DINITROTOLENE	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
2 4-DINITROTOLUENE	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2,4 DINITROTOLUENE"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2,4 DINITROTOULENE"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2,4-DINITRO TOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2,4-DINITROTOLUENE"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2,4-DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2,4-DNT"	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
DINITROTOLUENE	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
DINITROTOLUENE (DNT)	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
DINITROTOLUENES	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
DNT	"2,4 DINITROTOLUENE (DNT)"	"2,4 DINITROTOLUENE (DNT)"
"2 ,4 ,6 TRINITROTOLUENE"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"2 ,4 ,6-TRINITROTOLUENE"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
2 4 6-TRINITROTOLUENE.	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"2,4,6 TRINITROTOLUENE"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"2,4,6 TRINITROTOLUENE N 15"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"2,4,6-TIRNITROTOLUENE"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
"2,4,6-TNT"	"2,4,6 TRINITROTOLUENE (TNT)"	"2,4,6 TRINITROTOLUENE (TNT)"
