"Year","Keyword","x","Incidenceweight"
2004,"2,4 DINITROTOLUENE (DNT)",1,"1"
2010,"2,4 DINITROTOLUENE (DNT)",1,"1"
2011,"2,4 DINITROTOLUENE (DNT)",1,"1"
2012,"2,4 DINITROTOLUENE (DNT)",1,"1"
2014,"2,4 DINITROTOLUENE (DNT)",2,"2"
2015,"2,4 DINITROTOLUENE (DNT)",1,"1"
2016,"2,4 DINITROTOLUENE (DNT)",2,"2"
2017,"2,4 DINITROTOLUENE (DNT)",2,"2"
2018,"2,4 DINITROTOLUENE (DNT)",2,"2"
2021,"2,4 DINITROTOLUENE (DNT)",2,"2"
2022,"2,4 DINITROTOLUENE (DNT)",1,"1"
2023,"2,4 DINITROTOLUENE (DNT)",1,"1"
1992,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
1995,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
1996,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
1997,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
1998,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
1999,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
2000,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
2001,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2002,"2,4,6 TRINITROTOLUENE (TNT)",1,"1"
2003,"2,4,6 TRINITROTOLUENE (TNT)",4,"4"
2004,"2,4,6 TRINITROTOLUENE (TNT)",3,"3"
2005,"2,4,6 TRINITROTOLUENE (TNT)",6,"6"
2006,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2007,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2008,"2,4,6 TRINITROTOLUENE (TNT)",12,">9"
2009,"2,4,6 TRINITROTOLUENE (TNT)",7,"7"
2010,"2,4,6 TRINITROTOLUENE (TNT)",3,"3"
2011,"2,4,6 TRINITROTOLUENE (TNT)",7,"7"
2012,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2013,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2014,"2,4,6 TRINITROTOLUENE (TNT)",7,"7"
2015,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2016,"2,4,6 TRINITROTOLUENE (TNT)",4,"4"
2017,"2,4,6 TRINITROTOLUENE (TNT)",2,"2"
2018,"2,4,6 TRINITROTOLUENE (TNT)",3,"3"
2019,"2,4,6 TRINITROTOLUENE (TNT)",6,"6"
2020,"2,4,6 TRINITROTOLUENE (TNT)",8,"8"
2021,"2,4,6 TRINITROTOLUENE (TNT)",3,"3"
2022,"2,4,6 TRINITROTOLUENE (TNT)",3,"3"
2003,"AMMONIUM NITRATE",1,"1"
2014,"AMMONIUM NITRATE",3,"3"
2015,"AMMONIUM NITRATE",2,"2"
2016,"AMMONIUM NITRATE",1,"1"
2017,"AMMONIUM NITRATE",1,"1"
2019,"AMMONIUM NITRATE",1,"1"
2021,"AMMONIUM NITRATE",1,"1"
2022,"AMMONIUM NITRATE",1,"1"
2005,"AVIATION SECURITY",1,"1"
2006,"AVIATION SECURITY",1,"1"
2016,"AVIATION SECURITY",2,"2"
2017,"AVIATION SECURITY",1,"1"
2020,"AVIATION SECURITY",1,"1"
2022,"AVIATION SECURITY",2,"2"
2017,"BACKSCATTER",1,"1"
2018,"BACKSCATTER",2,"2"
2020,"BACKSCATTER",2,"2"
2021,"BACKSCATTER",3,"3"
2022,"BACKSCATTER",1,"1"
2023,"BACKSCATTER",1,"1"
2005,"BIOLOGICAL",3,"3"
2006,"BIOLOGICAL",1,"1"
2009,"BIOLOGICAL",1,"1"
2014,"BIOLOGICAL",1,"1"
2019,"BIOLOGICAL",1,"1"
2022,"BIOLOGICAL",1,"1"
2000,"BIOSENSOR",1,"1"
2004,"BIOSENSOR",1,"1"
2005,"BIOSENSOR",2,"2"
2007,"BIOSENSOR",1,"1"
2010,"BIOSENSOR",1,"1"
2015,"BIOSENSOR",1,"1"
2018,"BIOSENSOR",1,"1"
2020,"BIOSENSOR",3,"3"
2021,"BIOSENSOR",1,"1"
2022,"BIOSENSOR",2,"2"
1998,"CAPILLARY ELECTROPHORESIS",1,"1"
1999,"CAPILLARY ELECTROPHORESIS",2,"2"
2001,"CAPILLARY ELECTROPHORESIS",2,"2"
2005,"CAPILLARY ELECTROPHORESIS",1,"1"
2006,"CAPILLARY ELECTROPHORESIS",1,"1"
2007,"CAPILLARY ELECTROPHORESIS",1,"1"
2010,"CAPILLARY ELECTROPHORESIS",1,"1"
2012,"CAPILLARY ELECTROPHORESIS",2,"2"
2014,"CAPILLARY ELECTROPHORESIS",1,"1"
2016,"CAPILLARY ELECTROPHORESIS",1,"1"
