Uncorrected Explosive,Corrected Explosive,No Practical Use?
1-[(2E)-3-(1H-TETRAZOL-5-YL)TRIAZ-2-EN-1-YLIDENE]METHANEDIAMINE,1-[(2e)-3-(1h-tetrazol-5-yl)triaz-2-en-1-ylidene]methanediamine,NA
1-AMINO-3-NITROGUANIDINE,1-Amino-3-Nitroguanidine (ANQ),NA
1-AMINO-3-NITROGUANIDINE (ANQ),1-Amino-3-Nitroguanidine (ANQ),NA
ANQ,1-Amino-3-Nitroguanidine (ANQ),NA
NITROAMINOGUANIDINE,1-Amino-3-Nitroguanidine (ANQ),NA
"1,1-DIAMINO-2,2-DINITROETHYLENE","1,1-Diamino-2,2-Dinitroethylene (FOX-7)",NA
"1,1-DIAMINO-2,2-DINITROETHYLENE (FOX-7)","1,1-Diamino-2,2-Dinitroethylene (FOX-7)",NA
DADNE,"1,1-Diamino-2,2-Dinitroethylene (FOX-7)",NA
FOX-7,"1,1-Diamino-2,2-Dinitroethylene (FOX-7)",NA
"1,3,3-TRINITROAZETIDINE","1,3,3-Trinitroazetidine (TNAZ)",NA
"1,3,3-TRINITROAZETIDINE (TNAZ)","1,3,3-Trinitroazetidine (TNAZ)",NA
TNAZ,"1,3,3-Trinitroazetidine (TNAZ)",NA
TRINITROAZETIDINE,"1,3,3-Trinitroazetidine (TNAZ)",NA
"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",NA
"1,3,5-TRIAMINO-2,4,6-TRINITROBENZENE (TATB)","1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",NA
TATB,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",NA
"1,3,5-TRIAZIDO-2,4,6-TRINITROBENZENE","1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
"1,3,5-TRIAZIDO-2,4,6-TRINITROBENZENE (TATNB)","1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
TATNB,"1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
TNTAZB,"1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
TRIAZIDOTRINITROBENZENE,"1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
TRIAZIDOTRINITROBENZOL,"1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
TRINITROTRIAZIDOBENZENE,"1,3,5-Triazido-2,4,6-Trinitrobenzene (TATNB)",NA
"1,3,5-TRINITROBENZENE","1,3,5-Trinitrobenzene (TNB)",No Practical Use
"1,3,5-TRINITROBENZENE (TNB)","1,3,5-Trinitrobenzene (TNB)",No Practical Use
5-TNB,"1,3,5-Trinitrobenzene (TNB)",No Practical Use
TNB,"1,3,5-Trinitrobenzene (TNB)",No Practical Use
TRINITROBENZENE (TNB),"1,3,5-Trinitrobenzene (TNB)",No Practical Use
"2,3,4,6-TETRANITROANILINE","2,3,4,6-Tetranitroaniline",NA
"2,4-DINITRO-2,4-DIAZAHEXANE","2,4-Dinitro-2,4-Diazahexane",NA
"2,4-DINITRO-2,4-DIAZAPENTANE","2,4-Dinitro-2,4-Diazapentane",NA
"2,4-DINITROANILISOLE (DNAN)","2,4-Dinitroanisole (DNAN)",NA
"2,4-DINITROANISOLE (DNAN)","2,4-Dinitroanisole (DNAN)",NA
DINITROANISOLE,"2,4-Dinitroanisole (DNAN)",NA
DINITROANISOLE (DNAN),"2,4-Dinitroanisole (DNAN)",NA
"2 ,4-DINITRO TOLUENES","2,4-Dinitrotoluene (DNT)",NA
"2 ,4-DINITROTOLUENE","2,4-Dinitrotoluene (DNT)",NA
"2 ,4-DNT","2,4-Dinitrotoluene (DNT)",NA
2 4-DINITROTOLENE,"2,4-Dinitrotoluene (DNT)",NA
2 4-DINITROTOLUENE,"2,4-Dinitrotoluene (DNT)",NA
"2,4 DINITROTOLUENE","2,4-Dinitrotoluene (DNT)",NA
"2,4 DINITROTOULENE","2,4-Dinitrotoluene (DNT)",NA
"2,4-DINITRO TOLUENE (DNT)","2,4-Dinitrotoluene (DNT)",NA
"2,4-DINITROTOLUENE","2,4-Dinitrotoluene (DNT)",NA
"2,4-DINITROTOLUENE (DNT)","2,4-Dinitrotoluene (DNT)",NA
"2,4-DNT","2,4-Dinitrotoluene (DNT)",NA
"2,4,6-TRINITROCRESOL","2,4,6-Trinitrocresol",NA
TRINITROCRESOL,"2,4,6-Trinitrocresol",NA
"2 ,4 ,6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",NA
"2 ,4 ,6-TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",NA
2 4 6-TRINITROTOLUENE.,"2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6 TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6 TRINITROTOLUENE N 15","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6-TIRNITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6-TNT","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6-TRINITRENOTOLUENE","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6-TRINITROTOLUENE","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6-TRINITROTOLUENE (TNT)","2,4,6-Trinitrotoluene (TNT)",NA
"2,4,6-TRINITROTOULENE","2,4,6-Trinitrotoluene (TNT)",NA
2.4.6-TNT,"2,4,6-Trinitrotoluene (TNT)",NA
