"DOI","Link","Abstract","EID"
"10.1016/j.aca.2018.07.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049984452&doi=10.1016%2fj.aca.2018.07.035&partnerID=40&md5=f5927d7969bf1f5dee9d30ae356cf0d2","While there is a large body of research on the properties and detection of traditional military high explosives and propellant low explosives, there is a dearth of research on homemade explosive (HME) materials, though they are prevalent today. The safety of working with these materials in the laboratory is the greatest limiting factor preventing HME research. A vapor delivery tool, the Mixed Vapor Generation Device (MV-Gen), was designed to safely contain the individual solid or liquid components that often compose homemade explosives vapor plumes and deliver the mixed component vapors for instrumental sampling and analysis. Within the MV-Gen, each component is separated and only the vapors mix as they are carried through the device by flowing air. The resulting mixed vapor is representative of either mixed explosive material or bulk explosives. Component materials are held in up to four individual, removable vials with vapor concentrations controlled by vial orifice size, temperature, and diluent airflow. The total concentration can be adjusted by altering vial temperature via a thermal water jacket surrounding the entirety of the device, or by adjusting the flow rate of diluent air through the device. The MV-Gen was evaluated first with surrogate compounds, followed by two types of homemade explosives, to include a binary explosive mixture and a peroxide explosive. To evaluate the device, vapors were cold-trapped on an online sampling system and analyzed by gas chromatography/mass spectrometry. It was determined that the device yielded reproducible vapor concentrations of both single and mixed components, and the ratio of these vapors can be easily adjusted to mimic varying forms of homemade explosives. © 2018","2-s2.0-85049984452"
"10.1117/12.2305234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049361770&doi=10.1117%2f12.2305234&partnerID=40&md5=e678973b81f7b4a85657fa41335a8548","Alakai Defense Systems has upgraded its short range UV Raman standoff explosive detection sensors called the Portable Raman Improvised Explosive Detection (PRIED) sensor by adding near trace detection capability. The PRIED sensor is a standoff detection sensor that works at ranges of 1-10m for a wide variety of explosives (50m for some selected chemicals). Recent improvements have focused on expanding PRIED's capabilities to include near-trace detection of explosives at 1-2m range on fluorescent substrates. Data will be presented showing this new capability along with a brief description of the design upgrades. © 2018 SPIE.","2-s2.0-85049361770"
"10.22211/cejem/78093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043387012&doi=10.22211%2fcejem%2f78093&partnerID=40&md5=88bf3e080302aaa49ee417c0ff3896f9","3,7-Dinitro-1,3,5,7-tetraazabicyclo[3,3,1]nonane (DPT) is one of the most important intermediates in the synthesis of octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX). A suitably modified Bachmann process, nitrolysis of solid hexamine in the presence of ammonium nitrate-nitric acid and acetic anhydride on a laboratory scale, is introduced to increase the efficiency, production capacity and purity of the DPT produced. Various quantitative and qualitative analytical methods were used for the identification and quality control of the product. A central composite design (CCD) of experiments was used to optimize the production process, increasing the production capacity, reducing the amount of acetic acid as the reaction medium to a suitable limit, and examining the effects of the main factors impacting on the efficiency of the nitration, e.g. the volume of ammonium nitrate-nitric acid solution, nitration temperature reactor addition time and volume of acetic anhydride. The overall results indicated that DPT was obtained with an efficiency of 64.58% and a production capacity of 20.77 (100 g·mL-1). © 2018 Institute of Industrial Organic Chemistry, Poland.","2-s2.0-85043387012"
"10.1109/LO.2018.8435629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052508751&doi=10.1109%2fLO.2018.8435629&partnerID=40&md5=09c16f5bb10becd89cc1892fc5f84ecf","The possibility of remote detection of traces of explosives using laser fragmentation/laser-induced fluorescence (LF/LIF) is studied. Experimental data on the remote visualization of traces of trinitrotoluene (TNT), hexogen (RDX), trotyl-hexogen (Comp B), octogen (HMX), and tetryl with a scanning lidar detector of traces of nitrogen-containing explosives at a distance of 5 m are presented. © 2018 IEEE.","2-s2.0-85052508751"
"10.1007/s11220-018-0208-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050815681&doi=10.1007%2fs11220-018-0208-9&partnerID=40&md5=67e4f9514c8aa32109cc933f7401f7d6","It is well known that under blue LED/laser illumination a class of synthetic conjugated polymers can create fluorescence, and after absorbing a certain class of explosive vapors the fluorescence will be quenched thus the explosives can be detected. The unsolved problems are how can we detect drug, TATP and nitro aromatic explosives with the same device, how can we distinguish different explosives and drugs, and how can we avoid false alarms; solving these problems are crucial for world security. We have developed a new synthetic conjugated polymer with single molecule layer and coated on porous silicon with large surface area to increase quenching signal at least one order, based on this new film a small handheld explosive detector with sensitivities of 0.1 pg for TNT and 0.1 ng for black gun powder are obtained. Many explosives and drugs (such as TNT, RDX, PETN, black gun powder, cocaine, etc.) have been tested, from their quenching curves and our data base we are able to distinguish them qualitatively and avoid false alarms. Therefore we believe our detector can be used not only for battle field but also for airports, government entrances and other security check points. Last year, after face to face competition, our device was selected as the only security detector for the G20 summit held in Hangzhou, China. Here, we will give our detailed designs to let readers develop detectors by themselves to counter terrorism in the world and save lives. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","2-s2.0-85050815681"
"10.1007/s10812-018-0587-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040945264&doi=10.1007%2fs10812-018-0587-7&partnerID=40&md5=e31202bb1eeb581b3febf26033460518","A multifunctional IR parametric laser system is developed and tested for remote detection and identification of atmospheric gases, including explosive and chemically aggressive substances. Calculations and experimental studies of remote determination of the spectroscopic parameters of the best known explosive substances TNT, RDX, and PETN are carried out. The feasibility of high sensitivity detection (~1 ppm) of these substances with the aid of a multifunctional IR parametric light source by differential absorption and scattering is demonstrated. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","2-s2.0-85040945264"
"10.1002/prep.201800239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055924106&doi=10.1002%2fprep.201800239&partnerID=40&md5=4badd2756e76cf8f7ff5cf90059088ac","A field ready colorimetric method of quantifying the concentration of aqueous 3-nitro-1,2,4-triazol-5-one (NTO), several orders of magnitude below its environmental toxicity level, has been developed. The test allows for the immediate evaluation of the level of contamination in aqueous solution without the need for analytical equipment such as high pressure liquid chromatography (HPLC). The observed colours have been explained by the different NTO species present over the range of pH; these observations are supported by modelling and experimental results. © 2019 Wiley-VCH Verlag GmbH & Co. KGaA, Weinheim","2-s2.0-85055924106"
"10.1063/1.5005997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044734841&doi=10.1063%2f1.5005997&partnerID=40&md5=56ba9282771ce8f799360f42f4c646ba","The shock and detonation response of high explosives has been an active research topic for more than a century. In recent years, high quality data from experiments using embedded gauges and other diagnostic techniques have inspired the development of a range of new high-fidelity computer models for explosives. The experiments and models have led to new insights, both at the continuum scale applicable to most shock and detonation experiments, and at the mesoscale relevant to hotspots and burning within explosive microstructures. This article reviews the continuum and mesoscale models, and their application to explosive phenomena, gaining insights to aid future model development and improved understanding of the physics of shock initiation and detonation propagation. In particular, it is argued that ""desensitization"" and the effect of porosity on high explosives can both be explained by the combined effect of thermodynamics and hydrodynamics, rather than the traditional hotspot-based explanations linked to pressure-dependent reaction rates. © British Crown Owned Copyright 2018/AWE.","2-s2.0-85044734841"
"10.1021/acs.jpca.8b01608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045690102&doi=10.1021%2facs.jpca.8b01608&partnerID=40&md5=33c244c9297682b61340e7188890ce6a","Thermochemistry, kinetics, and mechanism of thermal decomposition of 1,5-diaminotetrazole (DAT), a widely used ""building block"" of nitrogen-rich energetic compounds, were studied theoretically at a high and reliable level of theory (viz., using the explicitly correlated CCSD(T)-F12/aug-cc-pVTZ procedure). Quantum chemical calculations provided detailed insight into the thermolysis mechanism of DAT missing in the existing literature. Moreover, several contradictory assumptions on the mechanism and key intermediates of thermolysis were resolved. The unimolecular primary decomposition reactions of the seven isomers of DAT were studied in the gas phase and in the melt using a simplified model of the latter. The two-step reaction of N2 elimination from the diamino tautomer was found to be the primary decomposition process of DAT in the gas phase and melt. The effective Arrhenius parameters of this process were calculated to be Ea = 43.4 kcal mol-1 and log(A/s-1) = 15.2 in a good agreement with the experimental values. Contrary to the existing literature data, all other decomposition channels of DAT isomers turned out to be kinetically unimportant. Apart from this, a new primary decomposition channel yielding N2, cyanamide, and 1,1-diazene was found for some H-bonded dimers of DAT. We also determined a reliable and mutually consistent set of thermochemical values for DAT (ΔfHsolid0 = 74.5 ± 1.5 kcal·mol-1) by combining theoretically calculated (W1 multilevel procedure along with an isodesmic reaction) gas phase enthalpy of formation (ΔfHgas0 = 100.7 ± 1.0 kcal·mol-1) and experimentally measured sublimation enthalpy (ΔsubH0 = 26.2 ± 0.5 kcal·mol-1). © 2018 American Chemical Society.","2-s2.0-85045690102"
"10.1007/s00193-018-0814-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042419525&doi=10.1007%2fs00193-018-0814-4&partnerID=40&md5=570eb66b4da10b8e370b2aaacaf7cc30","After the detonation of an oxygen-deficient homogeneous high explosive, a phase of turbulent combustion, called afterburning, takes place at the interface between the rich detonation products and air. Its modelling is instrumental for the accurate prediction of the performance of these explosives. Because of the high temperature of detonation products, the chemical reactions are mixing-driven. Modelling afterburning thus relies on the precise description of the mixing process inside fireballs. This work presents a joint numerical and experimental study of a non-reacting reduced-scale set-up, which uses the compressed balloon analogy and does not involve the detonation of a high explosive. The set-up produces a flow similar to the one caused by a spherical detonation and allows focusing on the mixing process. The numerical work is composed of 2D and 3D LES simulations of the set-up. It is shown that grid independence can be reached by imposing perturbations at the edge of the fireball. The results compare well with the existing literature and give new insights on the mixing process inside fireballs. In particular, they highlight the fact that the mixing layer development follows an energetic scaling law but remains sensitive to the density ratio between the detonation products and air. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","2-s2.0-85042419525"
