"DOI","Link","Abstract","EID"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146295726&partnerID=40&md5=a22f821d86462c0a275db068304374ce","[No abstract available]","2-s2.0-85146295726"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146302067&partnerID=40&md5=5165393a82e9f92529d1b5755c10523a","[No abstract available]","2-s2.0-85146302067"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146277619&partnerID=40&md5=7cd742d1b38e901fc37e29903f95d9d6","[No abstract available]","2-s2.0-85146277619"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146264380&partnerID=40&md5=4bbe3fd360aec7bc473595f2907641f8","[No abstract available]","2-s2.0-85146264380"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131117524&partnerID=40&md5=790aad8922aec811efd790685682035d","[No abstract available]","2-s2.0-85131117524"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146275953&partnerID=40&md5=f4634f823ec927d7284ebce43402204d","[No abstract available]","2-s2.0-85146275953"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146290833&partnerID=40&md5=bd6bda8d17e2f7585cb7d1f6d77ae971","[No abstract available]","2-s2.0-85146290833"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146283907&partnerID=40&md5=9ff43ad95ab1782acdfc76da8c3fc88e","[No abstract available]","2-s2.0-85146283907"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146279911&partnerID=40&md5=d91eec2f1cc2e00c3a543fe328995974","[No abstract available]","2-s2.0-85146279911"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146278943&partnerID=40&md5=1cab6f2c0278db8c08a8610addf220e6","[No abstract available]","2-s2.0-85146278943"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146277732&partnerID=40&md5=94183020801dcf8c46ff1b29fe6a1c97","[No abstract available]","2-s2.0-85146277732"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146292900&partnerID=40&md5=56e3b4d4fe72a7cfbf0aab15248b100a","[No abstract available]","2-s2.0-85146292900"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146304016&partnerID=40&md5=d85515ad1529bfdc48ca00e29d591137","[No abstract available]","2-s2.0-85146304016"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146307009&partnerID=40&md5=223998fffb3063ec641466b1547093df","[No abstract available]","2-s2.0-85146307009"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146283518&partnerID=40&md5=4b1428e3fc021d97b05fce7908e786e5","[No abstract available]","2-s2.0-85146283518"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128176436&partnerID=40&md5=35b2282f5aa60781df5ccc569542f7f3","[No abstract available]","2-s2.0-85128176436"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146279902&partnerID=40&md5=62b061e3e52d034cb44d58d07e3f6608","[No abstract available]","2-s2.0-85146279902"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140821001&partnerID=40&md5=4874cab48fbf23a232d4eb4776f1a878","[No abstract available]","2-s2.0-85140821001"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146290204&partnerID=40&md5=34b5113dab62b9866750e64979ffa987","[No abstract available]","2-s2.0-85146290204"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146270772&partnerID=40&md5=b7695c7d2b778a49fe3d1d3a39f47022","[No abstract available]","2-s2.0-85146270772"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146290450&partnerID=40&md5=53a86749d97270d486bfc2a9085c28b7","[No abstract available]","2-s2.0-85146290450"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103423159&partnerID=40&md5=1a9a43bdc33a46952173586e3eba748a","[No abstract available]","2-s2.0-85103423159"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146288131&partnerID=40&md5=86c80b45907995634ef6fa9ad9fbe460","[No abstract available]","2-s2.0-85146288131"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146267592&partnerID=40&md5=60ae54803a1d048d3314373c9e9c1537","[No abstract available]","2-s2.0-85146267592"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146260565&partnerID=40&md5=938218014f52714e8d5746bff5c806b3","[No abstract available]","2-s2.0-85146260565"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146265217&partnerID=40&md5=71dd0125987a1d76f2115dcf172c5654","[No abstract available]","2-s2.0-85146265217"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146262347&partnerID=40&md5=4cfbd6d9a5d85a1d3e695a2b33d22d45","[No abstract available]","2-s2.0-85146262347"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146265215&partnerID=40&md5=de1d7f9456848a82534156186c9ca8f4","[No abstract available]","2-s2.0-85146265215"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146289864&partnerID=40&md5=3d0d17f8985e37d4b0b563da7634783f","[No abstract available]","2-s2.0-85146289864"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146282714&partnerID=40&md5=7775277b8010fe88adfa14613dbaa191","[No abstract available]","2-s2.0-85146282714"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146277792&partnerID=40&md5=044c2b5e7e3e50806ab21db98095e27d","[No abstract available]","2-s2.0-85146277792"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146276868&partnerID=40&md5=cafe4653d8a6962b41f62b17c927e5c0","[No abstract available]","2-s2.0-85146276868"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120620853&partnerID=40&md5=15297360db3f33d052afe90c137ce672","[No abstract available]","2-s2.0-85120620853"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122480699&partnerID=40&md5=2202f8077ccb7ecc5f580d06d27dfa99","[No abstract available]","2-s2.0-85122480699"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146299824&partnerID=40&md5=704411902b4c8ca84b5f5afc549e6321","[No abstract available]","2-s2.0-85146299824"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130651875&partnerID=40&md5=cae39d6fc56a42e720c64f06b8c66e08","[No abstract available]","2-s2.0-85130651875"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146288266&partnerID=40&md5=a15125ea863ae13b69b3ad4278ec30b5","[No abstract available]","2-s2.0-85146288266"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146291713&partnerID=40&md5=729a95b44c46fdac8e0224d02c6a65cd","[No abstract available]","2-s2.0-85146291713"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146288264&partnerID=40&md5=4a262efecb1b9d3832c0329611d99087","[No abstract available]","2-s2.0-85146288264"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146304476&partnerID=40&md5=d4176060ca20dd837cb0afb543065d1f","[No abstract available]","2-s2.0-85146304476"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146277949&partnerID=40&md5=c5f17e592c4fd0e82ca18bd770634a67","[No abstract available]","2-s2.0-85146277949"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146281352&partnerID=40&md5=3f69b08e2b0458cd882f253a4554f68e","[No abstract available]","2-s2.0-85146281352"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146268396&partnerID=40&md5=74ea47b11f789abeec63a69ed60e5ab8","[No abstract available]","2-s2.0-85146268396"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146262976&partnerID=40&md5=1f752ada3a6f2d7009272c1b4fe48dc9","[No abstract available]","2-s2.0-85146262976"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146304917&partnerID=40&md5=0a9b437180053b461b0c39783c7ddffc","[No abstract available]","2-s2.0-85146304917"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146287974&partnerID=40&md5=ec2fec09600c914bd09f89825d3ea1cc","[No abstract available]","2-s2.0-85146287974"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146268710&partnerID=40&md5=9f00cef7ae0a9a42ef74c311040d0db6","[No abstract available]","2-s2.0-85146268710"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098711315&partnerID=40&md5=5da5f6d4a03b17d1fe6cfdb55e761537","[No abstract available]","2-s2.0-85098711315"
"","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139857063&partnerID=40&md5=7bb65e94802594aa4d6b2a3f553ddf93","[No abstract available]","2-s2.0-85139857063"
