"Explosive","Explosives from Full Text","Explosives from Abstract, Title, and Keywords","Explosives that make up more than 10% of mentions","Ratio"
"1,1-Diamino-2,2-Dinitroethylene (FOX-7)",17,3,3,0.176470588235294
"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",73,20,38,0.273972602739726
"2,4,6-Trinitrotoluene (TNT)",118,23,77,0.194915254237288
"3-Nitro-1,2,4-Triazol-5-One (NTO)",19,4,8,0.210526315789474
"Ammonium Dinitramide (ADN)",18,6,8,0.333333333333333
"Ammonium Nitrate (AN)",50,12,25,0.24
"Ammonium Perchlorate",42,14,21,0.333333333333333
"Composition B",16,2,4,0.125
"Cyclotetramethylene-Tetranitramine (HMX)",155,38,88,0.245161290322581
"Cyclotrimethylene-Trinitramine (RDX)",184,53,130,0.28804347826087
"Dinitrotoluene (DNT)",14,2,4,0.142857142857143
"Hexanitrohexaazaisowurtzitane (CL-20)",68,20,28,0.294117647058824
"Hexanitrostilbene (HNS)",20,1,6,0.05
"Lead Azide",18,3,10,0.166666666666667
"Nitrocellulose (NC)",40,10,18,0.25
"Nitroglycerin (NG)",29,7,13,0.241379310344828
"Nitromethane (NM)",19,1,7,0.0526315789473684
"Pentaerythritol Tetranitrate (PETN)",87,19,42,0.218390804597701
"Tetryl",14,2,4,0.142857142857143
"Thermite",17,8,17,0.470588235294118
"Triacetone Triperoxide (TATP)",17,11,10,0.647058823529412
