"Title","Explosive_List_Corrected","Year","Country"
"","",2004,NA
"0D CU II AND 1D MIXED VALENCE CU I CU II COORDINATION COMPOUNDS BASED ON MIXED LIGANDS SYNTHESES STRUCTURES AND CATALYTIC THERMAL DECOMPOSITION FOR HMX","Cyclotetramethylene-Tetranitramine (HMX)",2013,"China"
"1 1 DIAMINO 2 2 DINTROETHENE FOX 7 NANOCRYSTALS EMBEDDED IN MESOPOROUS CARBON FDU 15","1,1-Diamino-2,2-Dinitroethylene (FOX-7)",2013,"China"
"1 2H TETRAZOLYL 1 2 4 TRIAZOLE 5 AMINE TZTA A THERMALLY STABLE NITROGEN RICH ENERGETIC MATERIAL SYNTHESIS CHARACTERIZATION AND THERMO CHEMICAL ANALYSIS","Cyclotetramethylene-Tetranitramine (HMX);",2015,"Singapore"
"1 3 5 TRINITROTOLUENE DETECTION BY A MOLECULARLY IMPRINTED POLYMER SENSOR BASED ON ELECTROPOLYMERIZATION OF A MICROPOROUS METAL ORGANIC FRAMEWORK","2,4,6-Trinitrotoluene (TNT)",2015,"France,Romania,China"
"1 4 BENZOQUINONE AS A HIGHLY EFFICIENT DOPANT FOR ENHANCED IONIZATION AND DETECTION OF NITRAMINE EXPLOSIVES ON A SINGLE QUADRUPOLE MASS SPECTROMETER FITTED WITH A HELIUM PLASMA IONIZATION HEPI SOURCE","Cyclotetramethylene-Tetranitramine (HMX);Cyclotrimethylene-Trinitramine (RDX);",2019,"USA,UK"
"1 AMINOTRIAZOLE TRANSITION METAL COMPLEXES AS LASER IGNITABLE AND LEAD FREE PRIMARY EXPLOSIVES","Pentaerythritol Tetranitrate (PETN);",2019,"Germany"
"1 METHYL 2 4 5 TRINITROIMIDAZOLE MTNI A MELT CAST EXPLOSIVE SYNTHESIS AND STUDIES ON THERMAL BEHAVIOR IN PRESENCE OF EXPLOSIVE INGREDIENTS","2,4,6-Trinitrotoluene (TNT);Cyclotrimethylene-Trinitramine (RDX);Hexanitrohexaazaisowurtzitane (CL-20);",2020,"India"
"1 NITRATOETHYL 5 NITRIMINOTETRAZOLE DERIVATIVES SHAPING FUTURE HIGH EXPLOSIVES","",2011,"Germany"
"100 M STANDOFF DETECTION OF A QCL INDUCED PHOTO VIBRATIONAL SIGNAL ON EXPLOSIVES USING A LASER VIBROMETER","",2018,"Singapore"
