Title,Year,Source.title,Authors,Affiliations,AuthorID,Abstract,AIKeywords,Index.Keywords,EID,DOI,Country,KeywordsCorrected
1 2H TETRAZOLYL 1 2 4 TRIAZOLE 5 AMINE TZTA A THERMALLY STABLE NITROGEN RICH ENERGETIC MATERIAL SYNTHESIS CHARACTERIZATION AND THERMO CHEMICAL ANALYSIS,2015,"Propellants, Explosives, Pyrotechnics","Nimesh S., Ang H.-G.","Energetics Research Institute, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore",55255867300;7006315381;,THE TARGETED HIGH NITROGEN ENERGETIC MATERIAL 1 2H TETRAZOL 5 YL 1 2 4 TRIAZOL 5 AMINE TZTA WAS SYNTHESIZED FROM 3 AMINO 1 2 4 TRIAZOLE VIA A TWO STEP PROCEDURE USING CYANOGEN BROMIDE AND SODIUM AZIDE TZTA WAS PREPARED IN GOOD YIELDS AND CHARACTERIZED USING ANALYTICAL ELEMENTAL AND SPECTROSCOPIC IR RAMAN NMR TECHNIQUES THE CRYSTAL STRUCTURE OF SULFATE SALT OF THE MOLECULE WAS SOLVED BY MEANS OF LOW TEMPERATURE X RAY CRYSTALLOGRAPHY WHICH SHOWED THE CO PLANARITY OF THE TWO RINGS THE SULFATE SALT OF THE MOLECULE CRYSTALLIZED IN MONOCLINIC SYSTEM P21 N WITH A CRYSTAL DENSITY OF 1 856GÂ CM 3 THE THERMAL STABILITY OF THE MOLECULE WAS ASSESSED BY DSC THE MOLECULE SHOWED EXCELLENT THERMAL STABILITY BETTER THAN MANY KNOWN NITROGEN RICH ENERGETIC MOLECULES AND SHOWED COMPARABLE THERMAL STABILITY WITH HMX NON ISOTHERMAL KINETICS WAS PERFORMED ON THE MOLECULE TO DERIVE THE ACTIVATION ENERGY CONSTANT VOLUME COMBUSTION ENERGY WAS DETERMINED USING OXYGEN BOMB CALORIMETER AND BACK CALCULATED THE HEAT OF FORMATION PRELIMINARY INSIGHT ON THE GAS GENERATING CAPABILITY OF THE MOLECULE WAS TESTED BY MEASURING THE DYNAMIC PRESSURE GENERATED INSIDE A CLOSED BOMB DYNAMIC PRESSURE OF AN OXYGEN BALANCED SYSTEM TZTA AND ADN WAS ALSO MEASURED USING THE PARR DYNAMIC PRESSURE MEASUREMENT SYSTEM 2015 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Explo5; High nitrogen content; Non-isothermal kinetics; P-t analysis,Activation energy; Bombs (ordnance); Calorimeters; Chemical analysis; Crystal structure; Crystallography; Isotherms; Molecules; Nitrogen; Thermodynamic stability; Constant volume combustion energy; Dynamic pressure measurements; Energetic molecules; Explo5; High nitrogen content; Non-isothermal kinetic; Oxygen bomb calorimeters; Two-step procedure; X ray crystallography,2-s2.0-84932647734,10.1002/prep.201400220,Singapore,EXPLO5 HIGH NITROGEN CONTENT NON ISOTHERMAL KINETICS P T ANALYSIS
4 AMINO 1 BUTYL 1 2 4 TRIAZOLIUM NITRATE SYNTHESIS AND CHARACTERIZATION,2019,"Propellants, Explosives, Pyrotechnics","Schaller U., Keicher T., Weiser V., Hürttlen J.","Fraunhofer Institute for Chemical Technology (ICT), Joseph-von-Fraunhofer Strasse 7, Pfinztal, 76327, Germany",57209135971;6506453588;56001252600;6508006688;,AN IMPROVED SYNTHESIS OF THE ENERGETIC IONIC LIQUID 4 AMINO 1 BUTYL 1 2 4 TRIAZOLIUM NITRATE C4 N IS PRESENTED VIA A ONE STEP METAL FREE ROUTE USING BUTYL NITRATE C4 N OFFERS PROMISING PROPERTIES LIKE VERY LOW VAPOUR PRESSURE COMBINED WITH GOOD INSENSITIVITY IN ADDITION LONG TERM AND THERMAL STABILITY WERE INVESTIGATED THE POTENTIAL USE AS AN ENERGETIC ADDITIVE TO IMPROVE THE RHEOLOGICAL PROPERTIES OF GAP BASED ENERGETIC POLYMERS WAS STUDIED RESULTING IN AN ALMOST FOUR TIMES LOWER VISCOSITY AT 15 WT C4 N CONTENT AS AN ADDITIVE TO A NITROMETHANE BASED MONOPROPELLANT C4 N WORKS AS BURNING RATE MODIFIER WHICH ADDITIONALLY REDUCES THE PROPELLANT SENSITIVITY 2019 THE AUTHORS PUBLISHED BY WILEY VCH VERLAG GMBH CO KGAA ,Additive; Characterization; Energetic Ionic Liquids; Nitrate; Triazolium,Additives; Ionic liquids; Burning rate modifier; Energetic additives; Energetic ionic liquids; Energetic polymers; Lower viscosities; Rheological property; Synthesis and characterizations; Triazolium; Nitrates,2-s2.0-85071435499,10.1002/prep.201900233,Germany,ADDITIVE CHARACTERIZATION ENERGETIC IONIC LIQUIDS NITRATE TRIAZOLIUM
A DECADE OF POROUS SILICON AS NANO EXPLOSIVE MATERIAL,2014,"Propellants, Explosives, Pyrotechnics",Du Plessis M.,"Department of Electrical, Electronic and Computer Engineering, Carl and Emily Fuchs Institute for Microelectronics, University of Pretoria, Pretoria 0002, South Africa",7005744663;,IT IS A DECADE SINCE THE ACCIDENTAL DISCOVERY OF THE ROOM TEMPERATURE EXPLOSIVE PROPERTIES OF POROUS SILICON IMPREGNATED WITH A SOLID STATE OXIDIZER WAS COMMUNICATED IN 2002 1 A SIGNIFICANT AMOUNT OF RESEARCH AND DEVELOPMENT HAVE FOLLOWED THIS ANNOUNCEMENT LEADING TO AN INNOVATIVE EXPLOSIVE TECHNOLOGY THAT MAY BE ON THE VERGE OF BEING APPLIED IN A NUMBER OF APPLICATIONS IT IS THUS NOW AN OPPORTUNE TIME TO REFLECT ON THE PROGRESS OF THIS NEW TECHNOLOGY OVER THE LAST DECADE JUST IN THE LAST TWO YEARS THERE HAS BEEN A SIGNIFICANT INCREASE IN THE NUMBER OF RESEARCH PAPERS REPORTING ON NEW DEVELOPMENTS AND EXCITING NEW APPLICATIONS IN THIS PAPER THE TECHNOLOGICAL DEVELOPMENT OF POROUS SILICON EXPLOSIVE DEVICES IS REVIEWED A DECADE OF TECHNOLOGICAL RESEARCH AND DEVELOPMENT DOCUMENTED AND THE CURRENT STATE OF THE TECHNOLOGY EVALUATED THE MOST IMPORTANT ASPECTS OF THE TECHNOLOGY ARE PRESENTED DEVICE PERFORMANCE CHARACTERISTICS ARE INVESTIGATED AND DIFFERENT APPLICATIONS ARE CONSIDERED TYPICAL DEVICE DESIGN AND MANUFACTURING TECHNIQUES ARE HIGHLIGHTED THAT ACTUALLY RESULTED IN RELIABLE EXPLOSIVE BEHAVIOR THE INFORMATION IN THIS PAPER SHOULD SERVE AS A SOURCE OF REFERENCE NOT ONLY FOR RESEARCHERS ALREADY ACTIVE IN THIS FIELD BUT ALSO TO NEW RESEARCHERS STARTING OR CONTEMPLATING TO EXPLOIT THIS TECHNOLOGY 2014 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Energetic materials; Nanotechnology; Porous silicon,Nanotechnology; Porous silicon; Research; Technology; Device performance; Explosive devices; Explosive properties; Manufacturing techniques; New applications; Research and development; Technological development; Technological researches; Explosives,2-s2.0-84902535862,10.1002/prep.201300053,South Africa,ENERGETIC MATERIAL NANOTECHNOLOGY POROUS SILICON
A DEVICE FOR TESTING THERMAL IMPACT SENSITIVITY OF HIGH EXPLOSIVES,2010,"Propellants, Explosives, Pyrotechnics","Zhang G., Weeks B.L.","Chemical Engineering, Texas Tech University, Lubbock, TX 79409, USA",57198462536;7005023958;,A DROP WEIGHT INSTRUMENT IS DESCRIBED TO INVESTIGATE THE IMPACT SENSITIVITY OF HIGH EXPLOSIVES AT ELEVATED TEMPERATURES THIS TEST IS TYPICALLY PERFORMED TO DISCOVER POTENTIAL SAFETY ASPECTS OF EITHER NEWLY SYNTHESIZED MATERIALS OF UNKNOWN BEHAVIOR NORMALLY DROP WEIGHT IMPACT SENSITIVITY TESTS ARE CONDUCTED AT ROOM TEMPERATURE SINCE HIGH EXPLOSIVES ARE OFTEN STORED OR HANDLED AT ROOM TEMPERATURE THE INSTRUMENT DESCRIBED HERE HAS THE CAPABILITY OF HEATING THE SAMPLES FROM AMBIENT TO 300 C PRIOR TO IMPACT THE THERMAL IMPACT SENSITIVITIES OF PETN TATP HMX AND SILVER AZIDE AGN3 AS A FUNCTION OF TEMPERATURE ARE OBTAINED THE PHASE TRANSITION OF HMX CAN CLEARLY BE OBSERVED BY A SIGNIFICANT DECREASE IN THE IMPACT HEIGHT IN SITU 2010 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Drop-Weight Machine; HMX; PETN; Thermal Sensitivity Analysis,Drop weight; Elevated temperature; High explosives; Impact sensitivities; In-situ; PETN; Room temperature; Safety aspects; Silver azides; Synthesized materials; Thermal impacts; Thermal sensitivity analysis; Drops; Explosives; Heating; Phase transitions; Sensitivity analysis,2-s2.0-78249260661,10.1002/prep.201000030,USA,DROP WEIGHT MACHINE CYCLOTETRAMETHYLENE TETRANITRAMINE HMX PENTAERYTHRITOL TETRANITRATE PETN THERMAL SENSITIVITY ANALYSIS
A DSC ANALYSIS OF INVERSE SALT PAIR EXPLOSIVE COMPOSITION,2004,"Propellants, Explosives, Pyrotechnics","Suresh Babu E., Kaur S.","Central Forensic Science Laboratory, Explosives Division, Ramanthapur, Hyderabad 500013, India",6507319652;7201934360;,ALKALI NITRATES ARE USED AS AN INGREDIENT IN LOW EXPLOSIVE COMPOSITIONS AND PYROTECHNICS IT HAS BEEN SUGGESTED THAT ALKALI NITRATES CAN FORM INVERSE SALT PAIR EXPLOSIVES WITH THE ADDITION OF AMMONIUM CHLORIDE THEREFORE THE THERMAL BEHAVIOR OF LOW EXPLOSIVE COMPOSITIONS CONTAINING POTASSIUM NITRATE MIXED WITH AMMONIUM CHLORIDE HAS BEEN STUDIED USING DIFFERENTIAL SCANNING CALORIMETRY DSC RESULTS PROVIDE INFORMATION ABOUT THE ION EXCHANGE REACTION BETWEEN THESE TWO CHEMICAL SUBSTANCES AND THE TEMPERATURE REGION AT WHICH THE FORMATION OF A CLOUD OF SALT PARTICLES OF POTASSIUM CHLORIDE TAKES PLACE FURTHERMORE THE ADDITION OF AMMONIUM CHLORIDE QUENCHES THE FLAME OF DEFLAGRATING COMPOSITIONS AND CAUSES THE MIXTURE TO UNDERGO EXPLOSIVE DECOMPOSITION AT RELATIVELY LOW TEMPERATURES ,Alkali Nitrates; Deflagrating Composition; Explosive Decomposition; Inverse Salt-pair Explosives; Thermal Behavior,Air; Ammonium compounds; Charcoal; Composition; Differential scanning calorimetry; Dust; Ion exchange; Thermoanalysis; Alkali nitrates; Deflagrating composition; Explosive decomposition; Inverse salt-pair explosives; Thermal behavior; Explosives,2-s2.0-1842457014,10.1002/prep.200400023,India,ALKALI NITRATES DEFLAGRATING COMPOSITION EXPLOSIVE DECOMPOSITION INVERSE SALT PAIR EXPLOSIVES THERMAL BEHAVIOR
A METHOD FOR THE SYNTHESIS OF TETRANITROGLYCOLURIL FROM IMIDAZO 4 5 D IMIDAZOLES WITH LOSS OF DINITROGEN OXIDE,2014,"Propellants, Explosives, Pyrotechnics","Sherrill W.M., Johnson E.C., Banning J.E.","US Army Research Laboratory (ARL), Bldg 1119B Spesutie Island Rd, Aberdeen Proving Ground, MD  21005, USA, Bowhead Science and Technology, 103 Bata Boulevard, Suite K, Belcamp, MD  21017, USA",24462711800;57212861761;35077514700;,A NEW METHOD FOR THE PREPARATION OF TETRANITROGLYCOLURIL TNGU SORGUYL IS DESCRIBED IN WHICH IMIDAZO 4 5 D IMIDAZOLES ARE NITRATED WITH THE ELIMINATION OF N2O TO GENERATE TNGU THIS METHOD OF TNGU SYNTHESIS RESULTS IN MATERIAL THAT IS LESS SENSITIVE THAN MATERIAL PRODUCED WITH ALTERNATIVE ROUTES ADDITIONALLY A NEW SPHERICAL MORPHOLOGY OF TNGU IS DISCLOSED THIS MORPHOLOGY EXHIBITS AN EVEN HIGHER RESISTANCE TO EXTERNAL INSULT EVEN THAN MATERIAL SYNTHESIZED WITH THE NEW METHOD 2014 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM ,Sorguyl; Tetranitroglycoluril; TNGU,Explosives; Alternative routes; Dinitrogen oxide; Sorguyl; Spherical morphologies; Tetranitroglycoluril; TNGU; Morphology,2-s2.0-84911969869,10.1002/prep.201400041,USA,TETRANITROGLYCOLURILE SORGUYL TETRANITROGLYCOLURILE SORGUYL TNGU
A NEW COMPUTER CODE FOR PREDICTION OF ENTHALPY OF FUSION AND MELTING POINT OF ENERGETIC MATERIALS,2015,"Propellants, Explosives, Pyrotechnics",Keshavarz M.H.,"Department of Chemistry, Malek-ashtar University of Technology, P O Box 83145/115, Shahin-shahr, Iran",6603541399;,THE PREDICTION OF PHASE CHANGE PROPERTIES OF ENERGETIC MATERIALS IS IMPORTANT FOR THE ASSESSMENT OF HAZARDOUS ENERGETIC MATERIALS A NOVEL USER FRIENDLY COMPUTER CODE WRITTEN IN VISUAL BASIC IS INTRODUCED TO PREDICT THE MELTING POINT AND THE ENTHALPY OF FUSION OF ENERGETIC MATERIALS BY ONLY USING THEIR MOLECULAR STRUCTURE PARAMETERS IT CAN BE USED FOR DIFFERENT TYPES OF ENERGETIC COMPOUNDS INCLUDING POLYNITRO ARENES POLYNITRO HETEROARENES ACYCLIC AND CYCLIC NITRAMINES NITRATE ESTERS AND NITROALIPHATIC THE PREDICTED RESULTS WERE COMPARED WITH SEVERAL OF THE BEST AVAILABLE METHODS WHICH CONFIRMED THE HIGHER RELIABILITY OF THE NEW COMPUTER CODE FOR SOME NEW AND WELL KNOWN ENERGETIC COMPOUNDS WITH COMPLEX MOLECULAR STRUCTURES THIS CODE CAN BE USED FOR DESIGNING OF ENERGETIC COMPOUNDS WITH DESIRABLE PHASE CHANGE PROPERTIES 2015 WILEY VCH VERLAG GMBH CO KGAA ,Computer code; Energetic material; Enthalpy of fusion; Melting point,Codes (symbols); Enthalpy; Explosives; Forecasting; Materials properties; Melting point; Molecular structure; Computer codes; Cyclic nitramines; Energetic compounds; Enthalpy of fusion; Nitrate esters; Phase change property; Structure parameter; User friendly; Phase change materials,2-s2.0-84924048487,10.1002/prep.201400038,Iran,COMPUTER CODE ENERGETIC MATERIAL ENTHALPY OF FUSION MELTING POINT
A NEW EQUATION OF STATE FOR DETONATION PRODUCTS OF RDX BASED ALUMINIZED EXPLOSIVES,2019,"Propellants, Explosives, Pyrotechnics","Liu Y., Wang H.-F., Bai F., Huang F.-L., Hussain T.","State Key Laboratory of Explosion Science and Technology, Beijing Institute of Technology, Beijing, 100081, China",57188644654;57209860713;57193202228;7401516511;56825212400;,IN ORDER TO EXPLAIN THE DETONATION PERFORMANCE OF RDX BASED ALUMINIZED EXPLOSIVES WITH DIFFERENT ALUMINUM PARTICLE SIZES A NEW EQUATION OF STATE EOS FOR ALUMINIZED EXPLOSIVES IS PROPOSED THE PROPOSED EOS REGARDS THE GASIFICATION OF ALUMINUM PARTICLES AS A REAL REACTION THE PROPOSED EOS TAKES ACCOUNT OF CONSTITUENT ALUMINUM PARTICLE SIZES THE PROPOSED EOS WAS IMPLEMENTED IN LS DYNA AS A USER DEFINED EOS AND VALIDATED BY SIMULATING THE EXPERIMENTS OF METAL PLATES ACCELERATION CAUSED BY DETONATION OF RDX BASED ALUMINIZED EXPLOSIVES THE NUMERICAL RESULTS REPRODUCE THE EXPERIMENTAL FINDING THAT THE REACTION RATE OF ALUMINUM PARTICLES INCREASES WITH THE DECREASE OF ALUMINUM PARTICLE SIZE THE PROPOSED EOS HAS SEVERAL ADVANTAGES OVER THE PREVIOUSLY REPORTED EQUATIONS OF STATE FOR ALUMINIZED EXPLOSIVES THE REACTION RATE OF ALUMINUM CONSTITUENTS IS CALCULATED THEORETICALLY FROM THEIR GASIFICATION REACTION RATE EQUATION ELIMINATING THE NEED FOR EXPERIMENTAL CALIBRATION OF THE CORRESPONDING EMPIRICAL PARAMETERS 2019 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM,Aluminized Explosives; Aluminum Particle size; Equation of State; Numerical Simulation; Reaction rate,Aluminum; Aluminum powder metallurgy; Computer simulation; Detonation; Gasification; Particle size; Reaction rates; Aluminized explosives; Aluminum particle; Detonation performance; Detonation product; Empirical parameters; Equation of state; Experimental calibration; Gasification reaction rate; Equations of state,2-s2.0-85068904183,10.1002/prep.201800126,China,ALUMINIZED EXPLOSIVE ALUMINUM PARTICLE SIZE EQUATION OF STATE NUMERICAL SIMULATION REACTION RATE
A NEW METHOD FOR PREDICTING THE DETONATION VELOCITY OF EXPLOSIVES WITH MICROMETER ALUMINUM POWDERS,2018,"Propellants, Explosives, Pyrotechnics","Li X.-H., Zhao F., Qin J.-C., Pei H.-B.","National Key Laboratory for shock wave and Detonation Physics, Mianyang, Sichuan Province, China, Institute of Fluids Physics, China Academy of Engineering Physics, Mianyang, Sichuan Province, China",57214906275;55377204900;57201727763;55759152700;,IN THE PRESENT STUDY WE CARRIED OUT A THERMODYNAMIC ANALYSIS FOR EXPLOSIVES WITH MICROMETER ALUMINUM AL POWDERS AND FOUND THAT THE ACCELERATION OF AL POWDERS AND HEAT EXCHANGE BETWEEN AL POWDERS AND THE DETONATION PRODUCTS MAY HAVE A SIGNIFICANT INFLUENCE ON THE DETONATION VELOCITY RELYING ON VELOCITY DISEQUILIBRIUM BETWEEN THE TWO PHASES AT THE C J PLANE AND HEAT ABSORPTION OF INERT AL POWDERS IN THE DETONATION ZONE THIS PAPER HAS INTRODUCED A NEW METHOD TO STUDY THE DETONATION VELOCITY OF EXPLOSIVES WITH MICROMETER AL ADDITIVES THE METHOD IS A CLOSED SYSTEM OF ALGEBRAIC EQUATIONS AND THE DETONATION VELOCITY CAN BE SOLVED EFFICIENTLY BY NUMERICAL CODES THE DETONATION VELOCITIES PREDICTED BY THE NEW METHOD ARE IN EXCELLENT AGREEMENT WITH EXPERIMENTAL DATA OF RDX HMX NM AND TNT BASED ALUMINIZED EXPLOSIVES AND THE HEAT EXCHANGE HAS BEEN PROVED SIGNIFICANT ON THE DETONATION VELOCITY WHILE THE ACCELERATION OF AL POWDERS IS OF LITTLE EFFECT 2018 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM,Al acceleration; aluminized explosives; detonation velocity; heat exchange; micrometer Al powders,Algebra; Aluminum; Heat exchangers; Micrometers; Numerical methods; Powders; Thermoanalysis; Velocity; Al powder; Algebraic equations; Aluminized explosives; Detonation product; Detonation velocity; Heat exchange; Thermo dynamic analysis; Velocity disequilibria; Detonation,2-s2.0-85045935954,10.1002/prep.201700221,China,AL ACCELERATION ALUMINIZED EXPLOSIVE DETONATION VELOCITY HEAT EXCHANGE MICROMETER AL POWDERS
A RAPID AND SENSITIVE QUANTITATIVE ANALYSIS METHOD FOR TNT USING RAMAN SPECTROSCOPY,2019,"Propellants, Explosives, Pyrotechnics","Gao F., Liu W., Meng Z., Su P., Li Z., Wang M.","School of Chemistry and Chemical Engineering, Beijing Institute of Technology, Beijing, 102488, China, Xi'an Modern Chemistry Research Institute, Xi'an, 710075, China, Liaoning Qingyang Special Chemical Co, Ltd Wensheng District, Liaoyang, 111002, China",57208603860;22234579900;7201894774;36245388900;57207886128;57207886043;,RAMAN SPECTROSCOPY AS A RAPID AND SENSITIVE QUALITATIVE DETECTION METHOD HAS BEEN APPLIED IN MANY FIELDS HOWEVER IT IS RARELY USED FOR THE QUANTITATIVE PURPOSE DUE TO POOR REPRODUCIBILITY OF PEAK AREA HERE 2 4 6 TRINITROTOLUENE TNT AND ITS TWO BYPRODUCTS 2 4 DINITROTOLUENCE DNT AND 2 6 DNT WERE FIRSTLY QUALITATIVELY ANALYZED BY RAMAN SPECTROSCOPY AND THE CHARACTERISTIC PARAMETERS WERE EXTRACTED THEN IN THE RANGE OF 2 9 AND 10 90 THE STANDARD CURVES WERE ESTABLISHED BETWEEN THE AREA RATIO OF THE CHARACTERISTIC PEAKS AND THE CONTENT OF 2 4 DNT OR 2 6 DNT USING SILVER NANOFLOWERS AS THE ENHANCING SUBSTRATE THE FITTING CORRELATION FOR TNT 2 4 DNT OR TNT 2 6 DNT SYSTEM IS AROUND 0 99 THE PEAK AREA RATIO OF THE COMPONENTS EXHIBITS MUCH BETTER DADA REPRODUCIBILITY THAN PEAK AREA AND THE RELATIVE ERROR DOES NOT EXCEED 9 3 FOR AT LEAST SIX GROUPS OF PARALLEL EXPERIMENTS 2019 WILEY VCH VERLAG GMBH CO KGAA WEINHEIM,"2,4-DNT; 2,6-DNT; Quantitative analysis; Raman spectroscopy; TNT","Chemical analysis; Raman spectroscopy; 2 ,4 ,6-trinitrotoluene; 2 ,4-DNT; 2,6-DNT; Characteristic peaks; Detection methods; Fitting correlations; Peak area ratios; Reproducibilities; Spectrum analysis",2-s2.0-85059894078,10.1002/prep.201800281,China,2 4 DINITROTOLUENE DNT 2 6 DNT QUANTITATIVE ANALYSIS RAMAN SPECTROSCOPY 2 4 6 TRINITROTOLUENE TNT 
