"Year","Keyword","x","Incidenceweight"
2001,"2,4-DINITROTOLUENE (DNT)",2,"1-2"
2002,"2,4-DINITROTOLUENE (DNT)",1,"1-2"
2003,"2,4-DINITROTOLUENE (DNT)",2,"1-2"
2005,"2,4-DINITROTOLUENE (DNT)",3,"3-5"
2006,"2,4-DINITROTOLUENE (DNT)",1,"1-2"
2007,"2,4-DINITROTOLUENE (DNT)",10,"6-10"
2008,"2,4-DINITROTOLUENE (DNT)",6,"6-10"
2009,"2,4-DINITROTOLUENE (DNT)",7,"6-10"
2010,"2,4-DINITROTOLUENE (DNT)",10,"6-10"
2011,"2,4-DINITROTOLUENE (DNT)",23,"21-30"
2012,"2,4-DINITROTOLUENE (DNT)",22,"21-30"
2013,"2,4-DINITROTOLUENE (DNT)",4,"3-5"
2014,"2,4-DINITROTOLUENE (DNT)",10,"6-10"
2015,"2,4-DINITROTOLUENE (DNT)",9,"6-10"
2016,"2,4-DINITROTOLUENE (DNT)",8,"6-10"
2017,"2,4-DINITROTOLUENE (DNT)",11,"11-20"
2018,"2,4-DINITROTOLUENE (DNT)",8,"6-10"
2019,"2,4-DINITROTOLUENE (DNT)",5,"3-5"
2020,"2,4-DINITROTOLUENE (DNT)",7,"6-10"
2021,"2,4-DINITROTOLUENE (DNT)",7,"6-10"
2001,"2,4,6-TRINITROTOLUENE (TNT)",6,"6-10"
2002,"2,4,6-TRINITROTOLUENE (TNT)",7,"6-10"
2003,"2,4,6-TRINITROTOLUENE (TNT)",6,"6-10"
2004,"2,4,6-TRINITROTOLUENE (TNT)",3,"3-5"
2005,"2,4,6-TRINITROTOLUENE (TNT)",3,"3-5"
2006,"2,4,6-TRINITROTOLUENE (TNT)",4,"3-5"
2007,"2,4,6-TRINITROTOLUENE (TNT)",27,"21-30"
2008,"2,4,6-TRINITROTOLUENE (TNT)",37,"31-40"
2009,"2,4,6-TRINITROTOLUENE (TNT)",36,"31-40"
2010,"2,4,6-TRINITROTOLUENE (TNT)",44,"41-50"
2011,"2,4,6-TRINITROTOLUENE (TNT)",53,"51-75"
2012,"2,4,6-TRINITROTOLUENE (TNT)",77,"76-100"
2013,"2,4,6-TRINITROTOLUENE (TNT)",37,"31-40"
2014,"2,4,6-TRINITROTOLUENE (TNT)",42,"41-50"
2015,"2,4,6-TRINITROTOLUENE (TNT)",33,"31-40"
2016,"2,4,6-TRINITROTOLUENE (TNT)",35,"31-40"
2017,"2,4,6-TRINITROTOLUENE (TNT)",41,"41-50"
2018,"2,4,6-TRINITROTOLUENE (TNT)",28,"21-30"
2019,"2,4,6-TRINITROTOLUENE (TNT)",37,"31-40"
2020,"2,4,6-TRINITROTOLUENE (TNT)",39,"31-40"
2021,"2,4,6-TRINITROTOLUENE (TNT)",27,"21-30"
2022,"2,4,6-TRINITROTOLUENE (TNT)",1,"1-2"
2007,"ACTIVATION ENERGY",3,"3-5"
2008,"ACTIVATION ENERGY",4,"3-5"
2009,"ACTIVATION ENERGY",8,"6-10"
2010,"ACTIVATION ENERGY",2,"1-2"
2011,"ACTIVATION ENERGY",6,"6-10"
2012,"ACTIVATION ENERGY",9,"6-10"
2013,"ACTIVATION ENERGY",8,"6-10"
2014,"ACTIVATION ENERGY",1,"1-2"
2015,"ACTIVATION ENERGY",7,"6-10"
2016,"ACTIVATION ENERGY",3,"3-5"
2017,"ACTIVATION ENERGY",1,"1-2"
2018,"ACTIVATION ENERGY",16,"11-20"
2019,"ACTIVATION ENERGY",6,"6-10"
2020,"ACTIVATION ENERGY",11,"11-20"
2021,"ACTIVATION ENERGY",11,"11-20"
2022,"ACTIVATION ENERGY",1,"1-2"
