"Year","Keyword","x","Incidenceweight"
2005,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2007,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2008,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2009,"2,4 DINITROTOLUENE (DNT)",5,"3-5"
2010,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2011,"2,4 DINITROTOLUENE (DNT)",11,"10-14"
2012,"2,4 DINITROTOLUENE (DNT)",5,"3-5"
2013,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2014,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2015,"2,4 DINITROTOLUENE (DNT)",2,"1-2"
2016,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2017,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2018,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2019,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2020,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2021,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2001,"2,4,6 TRINITROTOLUENE (TNT)",1,"1-2"
2002,"2,4,6 TRINITROTOLUENE (TNT)",2,"1-2"
2003,"2,4,6 TRINITROTOLUENE (TNT)",3,"3-5"
2004,"2,4,6 TRINITROTOLUENE (TNT)",1,"1-2"
2005,"2,4,6 TRINITROTOLUENE (TNT)",2,"1-2"
2007,"2,4,6 TRINITROTOLUENE (TNT)",13,"10-14"
2008,"2,4,6 TRINITROTOLUENE (TNT)",17,"15-19"
2009,"2,4,6 TRINITROTOLUENE (TNT)",23,"20-24"
2010,"2,4,6 TRINITROTOLUENE (TNT)",26,"25-29"
2011,"2,4,6 TRINITROTOLUENE (TNT)",21,"20-24"
2012,"2,4,6 TRINITROTOLUENE (TNT)",29,"25-29"
2013,"2,4,6 TRINITROTOLUENE (TNT)",16,"15-19"
2014,"2,4,6 TRINITROTOLUENE (TNT)",23,"20-24"
2015,"2,4,6 TRINITROTOLUENE (TNT)",16,"15-19"
2016,"2,4,6 TRINITROTOLUENE (TNT)",12,"10-14"
2017,"2,4,6 TRINITROTOLUENE (TNT)",14,"10-14"
2018,"2,4,6 TRINITROTOLUENE (TNT)",10,"10-14"
2019,"2,4,6 TRINITROTOLUENE (TNT)",18,"15-19"
2020,"2,4,6 TRINITROTOLUENE (TNT)",17,"15-19"
2021,"2,4,6 TRINITROTOLUENE (TNT)",12,"10-14"
2007,"ACTIVATION ENERGY",1,"1-2"
2008,"ACTIVATION ENERGY",1,"1-2"
2009,"ACTIVATION ENERGY",2,"1-2"
2011,"ACTIVATION ENERGY",1,"1-2"
2012,"ACTIVATION ENERGY",3,"3-5"
2013,"ACTIVATION ENERGY",2,"1-2"
2014,"ACTIVATION ENERGY",1,"1-2"
2016,"ACTIVATION ENERGY",1,"1-2"
2018,"ACTIVATION ENERGY",1,"1-2"
2020,"ACTIVATION ENERGY",2,"1-2"
2021,"ACTIVATION ENERGY",1,"1-2"
2005,"ADSORPTION",1,"1-2"
2010,"ADSORPTION",2,"1-2"
2011,"ADSORPTION",4,"3-5"
2012,"ADSORPTION",2,"1-2"
2013,"ADSORPTION",1,"1-2"
2014,"ADSORPTION",1,"1-2"
2015,"ADSORPTION",1,"1-2"
2018,"ADSORPTION",2,"1-2"
2019,"ADSORPTION",1,"1-2"
2021,"ADSORPTION",2,"1-2"
2011,"AGGREGATION-INDUCED EMISSION (AIE)",1,"1-2"
2014,"AGGREGATION-INDUCED EMISSION (AIE)",2,"1-2"
2015,"AGGREGATION-INDUCED EMISSION (AIE)",1,"1-2"
2017,"AGGREGATION-INDUCED EMISSION (AIE)",3,"3-5"
2018,"AGGREGATION-INDUCED EMISSION (AIE)",5,"3-5"
2019,"AGGREGATION-INDUCED EMISSION (AIE)",2,"1-2"
2020,"AGGREGATION-INDUCED EMISSION (AIE)",4,"3-5"
2021,"AGGREGATION-INDUCED EMISSION (AIE)",5,"3-5"
2001,"AMMONIUM NITRATE",1,"1-2"
2003,"AMMONIUM NITRATE",1,"1-2"
2004,"AMMONIUM NITRATE",1,"1-2"
2007,"AMMONIUM NITRATE",1,"1-2"
2008,"AMMONIUM NITRATE",2,"1-2"
2009,"AMMONIUM NITRATE",2,"1-2"
2010,"AMMONIUM NITRATE",3,"3-5"
2012,"AMMONIUM NITRATE",1,"1-2"
2013,"AMMONIUM NITRATE",1,"1-2"
2014,"AMMONIUM NITRATE",5,"3-5"
2015,"AMMONIUM NITRATE",3,"3-5"
2016,"AMMONIUM NITRATE",3,"3-5"
2017,"AMMONIUM NITRATE",3,"3-5"
2018,"AMMONIUM NITRATE",12,"10-14"
2019,"AMMONIUM NITRATE",6,"6-9"
2020,"AMMONIUM NITRATE",7,"6-9"
2021,"AMMONIUM NITRATE",8,"6-9"
2022,"AMMONIUM NITRATE",1,"1-2"
2012,"AMMONIUM PERCHLORATE",1,"1-2"
2013,"AMMONIUM PERCHLORATE",1,"1-2"
2014,"AMMONIUM PERCHLORATE",2,"1-2"
2015,"AMMONIUM PERCHLORATE",1,"1-2"
2018,"AMMONIUM PERCHLORATE",4,"3-5"
2020,"AMMONIUM PERCHLORATE",5,"3-5"
