"Year","Keyword","x","Incidenceweight"
2003,"ALUMINUM",2,"1-2"
2004,"ALUMINUM",5,"3-5"
2005,"ALUMINUM",1,"1-2"
2006,"ALUMINUM",5,"3-5"
2007,"ALUMINUM",3,"3-5"
2008,"ALUMINUM",3,"3-5"
2009,"ALUMINUM",8,"6-10"
2010,"ALUMINUM",7,"6-10"
2011,"ALUMINUM",7,"6-10"
2012,"ALUMINUM",10,"6-10"
2013,"ALUMINUM",8,"6-10"
2014,"ALUMINUM",8,"6-10"
2015,"ALUMINUM",9,"6-10"
2016,"ALUMINUM",6,"6-10"
2017,"ALUMINUM",7,"6-10"
2018,"ALUMINUM",7,"6-10"
2019,"ALUMINUM",7,"6-10"
2020,"ALUMINUM",6,"6-10"
2021,"ALUMINUM",4,"3-5"
2022,"ALUMINUM",9,"6-10"
2023,"ALUMINUM",6,"6-10"
1996,"AMMONIUM NITRATE",1,"1-2"
1998,"AMMONIUM NITRATE",1,"1-2"
1999,"AMMONIUM NITRATE",1,"1-2"
2001,"AMMONIUM NITRATE",1,"1-2"
2002,"AMMONIUM NITRATE",4,"3-5"
2003,"AMMONIUM NITRATE",5,"3-5"
2004,"AMMONIUM NITRATE",3,"3-5"
2005,"AMMONIUM NITRATE",3,"3-5"
2006,"AMMONIUM NITRATE",3,"3-5"
2007,"AMMONIUM NITRATE",4,"3-5"
2008,"AMMONIUM NITRATE",6,"6-10"
2009,"AMMONIUM NITRATE",6,"6-10"
2010,"AMMONIUM NITRATE",6,"6-10"
2011,"AMMONIUM NITRATE",7,"6-10"
2012,"AMMONIUM NITRATE",7,"6-10"
2013,"AMMONIUM NITRATE",4,"3-5"
2014,"AMMONIUM NITRATE",11,"11-20"
2015,"AMMONIUM NITRATE",7,"6-10"
2016,"AMMONIUM NITRATE",12,"11-20"
2017,"AMMONIUM NITRATE",8,"6-10"
2018,"AMMONIUM NITRATE",13,"11-20"
2019,"AMMONIUM NITRATE",13,"11-20"
2020,"AMMONIUM NITRATE",15,"11-20"
2021,"AMMONIUM NITRATE",13,"11-20"
2022,"AMMONIUM NITRATE",13,"11-20"
2023,"AMMONIUM NITRATE",6,"6-10"
1994,"BLAST",1,"1-2"
1996,"BLAST",1,"1-2"
1997,"BLAST",1,"1-2"
2002,"BLAST",2,"1-2"
2003,"BLAST",2,"1-2"
2004,"BLAST",3,"3-5"
2005,"BLAST",5,"3-5"
2006,"BLAST",10,"6-10"
2007,"BLAST",6,"6-10"
2008,"BLAST",10,"6-10"
2009,"BLAST",20,"11-20"
2010,"BLAST",16,"11-20"
2011,"BLAST",25,"21-30"
2012,"BLAST",15,"11-20"
2013,"BLAST",21,"21-30"
2014,"BLAST",26,"21-30"
2015,"BLAST",14,"11-20"
2016,"BLAST",21,"21-30"
2017,"BLAST",19,"11-20"
2018,"BLAST",18,"11-20"
2019,"BLAST",16,"11-20"
2020,"BLAST",27,"21-30"
2021,"BLAST",25,"21-30"
2022,"BLAST",20,"11-20"
2023,"BLAST",18,"11-20"
2001,"BLAST LOAD",1,"1-2"
2004,"BLAST LOAD",3,"3-5"
2006,"BLAST LOAD",2,"1-2"
2007,"BLAST LOAD",1,"1-2"
2008,"BLAST LOAD",5,"3-5"
2009,"BLAST LOAD",6,"6-10"
2010,"BLAST LOAD",7,"6-10"
2011,"BLAST LOAD",5,"3-5"
2012,"BLAST LOAD",7,"6-10"
2013,"BLAST LOAD",9,"6-10"
2014,"BLAST LOAD",8,"6-10"
2015,"BLAST LOAD",2,"1-2"
2016,"BLAST LOAD",7,"6-10"
2017,"BLAST LOAD",18,"11-20"
2018,"BLAST LOAD",7,"6-10"
2019,"BLAST LOAD",13,"11-20"
2020,"BLAST LOAD",11,"11-20"
2021,"BLAST LOAD",15,"11-20"
2022,"BLAST LOAD",18,"11-20"
2023,"BLAST LOAD",8,"6-10"
1996,"BLAST LOADING",1,"1-2"
1999,"BLAST LOADING",1,"1-2"
2002,"BLAST LOADING",2,"1-2"
2004,"BLAST LOADING",1,"1-2"
2006,"BLAST LOADING",1,"1-2"
2007,"BLAST LOADING",6,"6-10"
2008,"BLAST LOADING",12,"11-20"
2009,"BLAST LOADING",19,"11-20"
2010,"BLAST LOADING",10,"6-10"
2011,"BLAST LOADING",25,"21-30"
2012,"BLAST LOADING",14,"11-20"
2013,"BLAST LOADING",15,"11-20"
2014,"BLAST LOADING",17,"11-20"
2015,"BLAST LOADING",17,"11-20"
2016,"BLAST LOADING",15,"11-20"
2017,"BLAST LOADING",21,"21-30"
2018,"BLAST LOADING",11,"11-20"
2019,"BLAST LOADING",16,"11-20"
2020,"BLAST LOADING",15,"11-20"
2021,"BLAST LOADING",22,"21-30"
2022,"BLAST LOADING",28,"21-30"
2023,"BLAST LOADING",25,"21-30"
1992,"BLAST WAVE",1,"1-2"
1996,"BLAST WAVE",1,"1-2"
2000,"BLAST WAVE",1,"1-2"
2001,"BLAST WAVE",1,"1-2"
2002,"BLAST WAVE",1,"1-2"
2004,"BLAST WAVE",2,"1-2"
2005,"BLAST WAVE",1,"1-2"
2006,"BLAST WAVE",5,"3-5"
2007,"BLAST WAVE",7,"6-10"
2008,"BLAST WAVE",6,"6-10"
2009,"BLAST WAVE",5,"3-5"
2010,"BLAST WAVE",15,"11-20"
2011,"BLAST WAVE",15,"11-20"
2012,"BLAST WAVE",9,"6-10"
2013,"BLAST WAVE",12,"11-20"
2014,"BLAST WAVE",12,"11-20"
2015,"BLAST WAVE",11,"11-20"
2016,"BLAST WAVE",8,"6-10"
2017,"BLAST WAVE",26,"21-30"
2018,"BLAST WAVE",7,"6-10"
2019,"BLAST WAVE",12,"11-20"
2020,"BLAST WAVE",18,"11-20"
2021,"BLAST WAVE",15,"11-20"
2022,"BLAST WAVE",3,"3-5"
2023,"BLAST WAVE",11,"11-20"
1984,"BLASTING",1,"1-2"
1986,"BLASTING",1,"1-2"
1987,"BLASTING",1,"1-2"
1988,"BLASTING",1,"1-2"
1990,"BLASTING",1,"1-2"
1996,"BLASTING",1,"1-2"
1997,"BLASTING",1,"1-2"
1998,"BLASTING",9,"6-10"
1999,"BLASTING",5,"3-5"
2000,"BLASTING",4,"3-5"
2001,"BLASTING",4,"3-5"
2002,"BLASTING",3,"3-5"
2003,"BLASTING",7,"6-10"
2004,"BLASTING",11,"11-20"
2005,"BLASTING",13,"11-20"
2006,"BLASTING",13,"11-20"
2007,"BLASTING",8,"6-10"
2008,"BLASTING",13,"11-20"
2009,"BLASTING",10,"6-10"
2010,"BLASTING",10,"6-10"
2011,"BLASTING",19,"11-20"
2012,"BLASTING",28,"21-30"
2013,"BLASTING",12,"11-20"
2014,"BLASTING",16,"11-20"
2015,"BLASTING",10,"6-10"
2016,"BLASTING",16,"11-20"
2017,"BLASTING",15,"11-20"
2018,"BLASTING",19,"11-20"
2019,"BLASTING",25,"21-30"
2020,"BLASTING",28,"21-30"
2021,"BLASTING",28,"21-30"
2022,"BLASTING",30,"21-30"
2023,"BLASTING",26,"21-30"
2002,"CL-20",1,"1-2"
2003,"CL-20",4,"3-5"
2004,"CL-20",2,"1-2"
2005,"CL-20",3,"3-5"
2006,"CL-20",6,"6-10"
2007,"CL-20",5,"3-5"
2008,"CL-20",4,"3-5"
2009,"CL-20",5,"3-5"
2011,"CL-20",4,"3-5"
2012,"CL-20",6,"6-10"
2013,"CL-20",7,"6-10"
2014,"CL-20",7,"6-10"
2015,"CL-20",9,"6-10"
2016,"CL-20",13,"11-20"
2017,"CL-20",20,"11-20"
2018,"CL-20",13,"11-20"
2019,"CL-20",8,"6-10"
2020,"CL-20",14,"11-20"
2021,"CL-20",12,"11-20"
2022,"CL-20",12,"11-20"
2023,"CL-20",10,"6-10"
1997,"CLASSIFICATION",1,"1-2"
1998,"CLASSIFICATION",1,"1-2"
1999,"CLASSIFICATION",1,"1-2"
2001,"CLASSIFICATION",1,"1-2"
2003,"CLASSIFICATION",1,"1-2"
2004,"CLASSIFICATION",3,"3-5"
2005,"CLASSIFICATION",3,"3-5"
2006,"CLASSIFICATION",1,"1-2"
2007,"CLASSIFICATION",4,"3-5"
2008,"CLASSIFICATION",7,"6-10"
2009,"CLASSIFICATION",7,"6-10"
2010,"CLASSIFICATION",5,"3-5"
2011,"CLASSIFICATION",7,"6-10"
2012,"CLASSIFICATION",7,"6-10"
2013,"CLASSIFICATION",7,"6-10"
2014,"CLASSIFICATION",4,"3-5"
2015,"CLASSIFICATION",2,"1-2"
2016,"CLASSIFICATION",3,"3-5"
2017,"CLASSIFICATION",7,"6-10"
2018,"CLASSIFICATION",8,"6-10"
2019,"CLASSIFICATION",4,"3-5"
2020,"CLASSIFICATION",8,"6-10"
2021,"CLASSIFICATION",4,"3-5"
2022,"CLASSIFICATION",4,"3-5"
2023,"CLASSIFICATION",7,"6-10"
1987,"COMBUSTION",1,"1-2"
1992,"COMBUSTION",1,"1-2"
1996,"COMBUSTION",1,"1-2"
1999,"COMBUSTION",1,"1-2"
2001,"COMBUSTION",1,"1-2"
2002,"COMBUSTION",2,"1-2"
2003,"COMBUSTION",6,"6-10"
2005,"COMBUSTION",2,"1-2"
2006,"COMBUSTION",9,"6-10"
2007,"COMBUSTION",12,"11-20"
2008,"COMBUSTION",7,"6-10"
2009,"COMBUSTION",21,"21-30"
2010,"COMBUSTION",23,"21-30"
2011,"COMBUSTION",19,"11-20"
2012,"COMBUSTION",8,"6-10"
2013,"COMBUSTION",9,"6-10"
2014,"COMBUSTION",7,"6-10"
2015,"COMBUSTION",15,"11-20"
2016,"COMBUSTION",12,"11-20"
2017,"COMBUSTION",14,"11-20"
2018,"COMBUSTION",10,"6-10"
2019,"COMBUSTION",14,"11-20"
2020,"COMBUSTION",10,"6-10"
2021,"COMBUSTION",14,"11-20"
2022,"COMBUSTION",26,"21-30"
2023,"COMBUSTION",12,"11-20"
1990,"CONCRETE",1,"1-2"
1997,"CONCRETE",1,"1-2"
1998,"CONCRETE",1,"1-2"
2000,"CONCRETE",2,"1-2"
2001,"CONCRETE",1,"1-2"
2002,"CONCRETE",2,"1-2"
2003,"CONCRETE",6,"6-10"
2004,"CONCRETE",2,"1-2"
2005,"CONCRETE",6,"6-10"
2006,"CONCRETE",8,"6-10"
2007,"CONCRETE",6,"6-10"
2008,"CONCRETE",12,"11-20"
2009,"CONCRETE",9,"6-10"
2010,"CONCRETE",11,"11-20"
2011,"CONCRETE",10,"6-10"
2012,"CONCRETE",7,"6-10"
2013,"CONCRETE",6,"6-10"
2014,"CONCRETE",8,"6-10"
2015,"CONCRETE",4,"3-5"
2016,"CONCRETE",4,"3-5"
2017,"CONCRETE",12,"11-20"
2018,"CONCRETE",9,"6-10"
2019,"CONCRETE",9,"6-10"
2020,"CONCRETE",11,"11-20"
2021,"CONCRETE",9,"6-10"
2022,"CONCRETE",6,"6-10"
2023,"CONCRETE",13,"11-20"
1988,"CRYSTAL STRUCTURE",1,"1-2"
1996,"CRYSTAL STRUCTURE",1,"1-2"
1997,"CRYSTAL STRUCTURE",1,"1-2"
