"Year","Keyword","x","Incidenceweight"
2001,"",643,">400"
2002,"",684,">400"
2003,"",719,">400"
2004,"",926,">400"
2005,"",928,">400"
2006,"",1012,">400"
2007,"",914,">400"
2008,"",970,">400"
2009,"",770,">400"
2010,"",945,">400"
2011,"",802,">400"
2012,"",694,">400"
2013,"",858,">400"
2014,"",870,">400"
2015,"",738,">400"
2016,"",855,">400"
2017,"",812,">400"
2018,"",880,">400"
2019,"",835,">400"
2020,"",824,">400"
2021,"",694,">400"
2022,"",664,">400"
2001,"2,4,6-TRINITROTOLUENE (TNT)",39,"26-50"
2002,"2,4,6-TRINITROTOLUENE (TNT)",39,"26-50"
2003,"2,4,6-TRINITROTOLUENE (TNT)",39,"26-50"
2004,"2,4,6-TRINITROTOLUENE (TNT)",52,"51-75"
2005,"2,4,6-TRINITROTOLUENE (TNT)",48,"26-50"
2006,"2,4,6-TRINITROTOLUENE (TNT)",47,"26-50"
2007,"2,4,6-TRINITROTOLUENE (TNT)",54,"51-75"
2008,"2,4,6-TRINITROTOLUENE (TNT)",65,"51-75"
2009,"2,4,6-TRINITROTOLUENE (TNT)",51,"51-75"
2010,"2,4,6-TRINITROTOLUENE (TNT)",68,"51-75"
2011,"2,4,6-TRINITROTOLUENE (TNT)",73,"51-75"
2012,"2,4,6-TRINITROTOLUENE (TNT)",82,"76-100"
2013,"2,4,6-TRINITROTOLUENE (TNT)",83,"76-100"
2014,"2,4,6-TRINITROTOLUENE (TNT)",86,"76-100"
2015,"2,4,6-TRINITROTOLUENE (TNT)",89,"76-100"
2016,"2,4,6-TRINITROTOLUENE (TNT)",76,"76-100"
2017,"2,4,6-TRINITROTOLUENE (TNT)",80,"76-100"
2018,"2,4,6-TRINITROTOLUENE (TNT)",62,"51-75"
2019,"2,4,6-TRINITROTOLUENE (TNT)",77,"76-100"
2020,"2,4,6-TRINITROTOLUENE (TNT)",72,"51-75"
2021,"2,4,6-TRINITROTOLUENE (TNT)",55,"51-75"
2022,"2,4,6-TRINITROTOLUENE (TNT)",38,"26-50"
2001,"ACCIDENT PREVENTION",28,"26-50"
2002,"ACCIDENT PREVENTION",45,"26-50"
2003,"ACCIDENT PREVENTION",49,"26-50"
2004,"ACCIDENT PREVENTION",59,"51-75"
2005,"ACCIDENT PREVENTION",47,"26-50"
2006,"ACCIDENT PREVENTION",36,"26-50"
2007,"ACCIDENT PREVENTION",13,"11-25"
2008,"ACCIDENT PREVENTION",11,"11-25"
2009,"ACCIDENT PREVENTION",7,"6-10"
2010,"ACCIDENT PREVENTION",10,"6-10"
2011,"ACCIDENT PREVENTION",17,"11-25"
2012,"ACCIDENT PREVENTION",10,"6-10"
2013,"ACCIDENT PREVENTION",17,"11-25"
2014,"ACCIDENT PREVENTION",14,"11-25"
2015,"ACCIDENT PREVENTION",17,"11-25"
2016,"ACCIDENT PREVENTION",27,"26-50"
2017,"ACCIDENT PREVENTION",30,"26-50"
2018,"ACCIDENT PREVENTION",15,"11-25"
2019,"ACCIDENT PREVENTION",24,"11-25"
2020,"ACCIDENT PREVENTION",19,"11-25"
2021,"ACCIDENT PREVENTION",17,"11-25"
2022,"ACCIDENT PREVENTION",15,"11-25"
2001,"ACTIVATION ENERGY",6,"6-10"
2002,"ACTIVATION ENERGY",11,"11-25"
2003,"ACTIVATION ENERGY",14,"11-25"
2004,"ACTIVATION ENERGY",13,"11-25"
2005,"ACTIVATION ENERGY",14,"11-25"
2006,"ACTIVATION ENERGY",8,"6-10"
2007,"ACTIVATION ENERGY",12,"11-25"
2008,"ACTIVATION ENERGY",11,"11-25"
2009,"ACTIVATION ENERGY",15,"11-25"
2010,"ACTIVATION ENERGY",22,"11-25"
2011,"ACTIVATION ENERGY",16,"11-25"
2012,"ACTIVATION ENERGY",19,"11-25"
2013,"ACTIVATION ENERGY",21,"11-25"
2014,"ACTIVATION ENERGY",21,"11-25"
2015,"ACTIVATION ENERGY",27,"26-50"
2016,"ACTIVATION ENERGY",36,"26-50"
2017,"ACTIVATION ENERGY",37,"26-50"
2018,"ACTIVATION ENERGY",37,"26-50"
2019,"ACTIVATION ENERGY",25,"11-25"
2020,"ACTIVATION ENERGY",43,"26-50"
2021,"ACTIVATION ENERGY",41,"26-50"
2022,"ACTIVATION ENERGY",46,"26-50"
2001,"ALGORITHM",17,"11-25"
2002,"ALGORITHM",25,"11-25"
2003,"ALGORITHM",26,"26-50"
2004,"ALGORITHM",25,"11-25"
2005,"ALGORITHM",30,"26-50"
2006,"ALGORITHM",35,"26-50"
2007,"ALGORITHM",24,"11-25"
2008,"ALGORITHM",32,"26-50"
2009,"ALGORITHM",12,"11-25"
2010,"ALGORITHM",35,"26-50"
2011,"ALGORITHM",36,"26-50"
