"Year","Keyword","x","Incidenceweight"
1990,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
1996,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
1997,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
1998,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2001,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2002,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2003,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2004,"2,4 DINITROTOLUENE (DNT)",9,"6-10"
2005,"2,4 DINITROTOLUENE (DNT)",7,"6-10"
2006,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2007,"2,4 DINITROTOLUENE (DNT)",6,"6-10"
2008,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2009,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2010,"2,4 DINITROTOLUENE (DNT)",9,"6-10"
2011,"2,4 DINITROTOLUENE (DNT)",5,"3-5"
2012,"2,4 DINITROTOLUENE (DNT)",5,"3-5"
2013,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2014,"2,4 DINITROTOLUENE (DNT)",7,"6-10"
2015,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2016,"2,4 DINITROTOLUENE (DNT)",3,"3-5"
2017,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2018,"2,4 DINITROTOLUENE (DNT)",7,"6-10"
2019,"2,4 DINITROTOLUENE (DNT)",4,"3-5"
2020,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2021,"2,4 DINITROTOLUENE (DNT)",2,"1-2"
2022,"2,4 DINITROTOLUENE (DNT)",5,"3-5"
2023,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
2024,"2,4 DINITROTOLUENE (DNT)",1,"1-2"
1983,"2,4,6 TRINITROTOLUENE (TNT)",1,"1-2"
1990,"2,4,6 TRINITROTOLUENE (TNT)",1,"1-2"
1992,"2,4,6 TRINITROTOLUENE (TNT)",2,"1-2"
1994,"2,4,6 TRINITROTOLUENE (TNT)",3,"3-5"
1995,"2,4,6 TRINITROTOLUENE (TNT)",6,"6-10"
1996,"2,4,6 TRINITROTOLUENE (TNT)",5,"3-5"
1997,"2,4,6 TRINITROTOLUENE (TNT)",11,"11-20"
1998,"2,4,6 TRINITROTOLUENE (TNT)",14,"11-20"
1999,"2,4,6 TRINITROTOLUENE (TNT)",10,"6-10"
2000,"2,4,6 TRINITROTOLUENE (TNT)",6,"6-10"
2001,"2,4,6 TRINITROTOLUENE (TNT)",11,"11-20"
2002,"2,4,6 TRINITROTOLUENE (TNT)",21,"21-30"
2003,"2,4,6 TRINITROTOLUENE (TNT)",16,"11-20"
2004,"2,4,6 TRINITROTOLUENE (TNT)",31,"31-40"
2005,"2,4,6 TRINITROTOLUENE (TNT)",27,"21-30"
