"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",7,"41",17.0731707317073,2001
2002,"2,4,6-Trinitrotoluene (TNT)",7,"36",19.4444444444444,2001
2003,"2,4,6-Trinitrotoluene (TNT)",8,"51",15.6862745098039,2001
2004,"2,4,6-Trinitrotoluene (TNT)",3,"30",10,2001
2005,"2,4,6-Trinitrotoluene (TNT)",8,"60",13.3333333333333,2001
2006,"2,4,6-Trinitrotoluene (TNT)",6,"39",15.3846153846154,2001
2007,"2,4,6-Trinitrotoluene (TNT)",40,"216",18.5185185185185,2001
2008,"2,4,6-Trinitrotoluene (TNT)",53,"226",23.4513274336283,2001
2009,"2,4,6-Trinitrotoluene (TNT)",58,"287",20.2090592334495,2001
2010,"2,4,6-Trinitrotoluene (TNT)",81,"342",23.6842105263158,2001
2011,"2,4,6-Trinitrotoluene (TNT)",94,"421",22.3277909738717,2001
2012,"2,4,6-Trinitrotoluene (TNT)",133,"623",21.3483146067416,2001
2013,"2,4,6-Trinitrotoluene (TNT)",73,"355",20.5633802816901,2001
2014,"2,4,6-Trinitrotoluene (TNT)",90,"466",19.31330472103,2001
2015,"2,4,6-Trinitrotoluene (TNT)",54,"293",18.4300341296928,2001
2016,"2,4,6-Trinitrotoluene (TNT)",63,"369",17.0731707317073,2001
2017,"2,4,6-Trinitrotoluene (TNT)",77,"417",18.4652278177458,2001
2018,"2,4,6-Trinitrotoluene (TNT)",84,"555",15.1351351351351,2001
2019,"2,4,6-Trinitrotoluene (TNT)",70,"481",14.5530145530146,2001
2020,"2,4,6-Trinitrotoluene (TNT)",98,"504",19.4444444444444,2001
2021,"2,4,6-Trinitrotoluene (TNT)",61,"484",12.603305785124,2001
2022,"2,4,6-Trinitrotoluene (TNT)",4,"27",14.8148148148148,2001
2001,"Ammonium Nitrate (AN)",1,"41",2.4390243902439,2001
2002,"Ammonium Nitrate (AN)",1,"36",2.77777777777778,2001
2003,"Ammonium Nitrate (AN)",2,"51",3.92156862745098,2001
2004,"Ammonium Nitrate (AN)",2,"30",6.66666666666667,2001
2006,"Ammonium Nitrate (AN)",2,"39",5.12820512820513,2001
2007,"Ammonium Nitrate (AN)",4,"216",1.85185185185185,2001
2008,"Ammonium Nitrate (AN)",3,"226",1.32743362831858,2001
2009,"Ammonium Nitrate (AN)",8,"287",2.78745644599303,2001
2010,"Ammonium Nitrate (AN)",8,"342",2.33918128654971,2001
2011,"Ammonium Nitrate (AN)",10,"421",2.37529691211401,2001
2012,"Ammonium Nitrate (AN)",15,"623",2.40770465489567,2001
2013,"Ammonium Nitrate (AN)",9,"355",2.53521126760563,2001
2014,"Ammonium Nitrate (AN)",19,"466",4.07725321888412,2001
2015,"Ammonium Nitrate (AN)",12,"293",4.09556313993174,2001
2016,"Ammonium Nitrate (AN)",9,"369",2.4390243902439,2001
2017,"Ammonium Nitrate (AN)",22,"417",5.2757793764988,2001
2018,"Ammonium Nitrate (AN)",28,"555",5.04504504504505,2001
2019,"Ammonium Nitrate (AN)",15,"481",3.11850311850312,2001
2020,"Ammonium Nitrate (AN)",22,"504",4.36507936507936,2001
2021,"Ammonium Nitrate (AN)",25,"484",5.16528925619835,2001
2022,"Ammonium Nitrate (AN)",4,"27",14.8148148148148,2001
2001,"Cyclotetramethylene-Tetranitramine (HMX)",1,"41",2.4390243902439,2001
2002,"Cyclotetramethylene-Tetranitramine (HMX)",2,"36",5.55555555555556,2001
2003,"Cyclotetramethylene-Tetranitramine (HMX)",3,"51",5.88235294117647,2001
2004,"Cyclotetramethylene-Tetranitramine (HMX)",1,"30",3.33333333333333,2001
2005,"Cyclotetramethylene-Tetranitramine (HMX)",4,"60",6.66666666666667,2001
2006,"Cyclotetramethylene-Tetranitramine (HMX)",3,"39",7.69230769230769,2001
2007,"Cyclotetramethylene-Tetranitramine (HMX)",14,"216",6.48148148148148,2001
2008,"Cyclotetramethylene-Tetranitramine (HMX)",12,"226",5.30973451327434,2001
2009,"Cyclotetramethylene-Tetranitramine (HMX)",13,"287",4.52961672473868,2001
2010,"Cyclotetramethylene-Tetranitramine (HMX)",17,"342",4.97076023391813,2001
2011,"Cyclotetramethylene-Tetranitramine (HMX)",18,"421",4.27553444180523,2001
2012,"Cyclotetramethylene-Tetranitramine (HMX)",46,"623",7.38362760834671,2001
2013,"Cyclotetramethylene-Tetranitramine (HMX)",27,"355",7.6056338028169,2001
2014,"Cyclotetramethylene-Tetranitramine (HMX)",17,"466",3.6480686695279,2001
2015,"Cyclotetramethylene-Tetranitramine (HMX)",18,"293",6.14334470989761,2001
2016,"Cyclotetramethylene-Tetranitramine (HMX)",13,"369",3.5230352303523,2001
2017,"Cyclotetramethylene-Tetranitramine (HMX)",20,"417",4.79616306954436,2001
2018,"Cyclotetramethylene-Tetranitramine (HMX)",42,"555",7.56756756756757,2001
2019,"Cyclotetramethylene-Tetranitramine (HMX)",40,"481",8.31600831600832,2001
2020,"Cyclotetramethylene-Tetranitramine (HMX)",37,"504",7.34126984126984,2001
2021,"Cyclotetramethylene-Tetranitramine (HMX)",45,"484",9.29752066115702,2001
2022,"Cyclotetramethylene-Tetranitramine (HMX)",1,"27",3.7037037037037,2001
2001,"Cyclotrimethylene-Trinitramine (RDX)",6,"41",14.6341463414634,2001
2002,"Cyclotrimethylene-Trinitramine (RDX)",4,"36",11.1111111111111,2001
2003,"Cyclotrimethylene-Trinitramine (RDX)",6,"51",11.7647058823529,2001
2004,"Cyclotrimethylene-Trinitramine (RDX)",3,"30",10,2001
2005,"Cyclotrimethylene-Trinitramine (RDX)",7,"60",11.6666666666667,2001
2006,"Cyclotrimethylene-Trinitramine (RDX)",6,"39",15.3846153846154,2001
2007,"Cyclotrimethylene-Trinitramine (RDX)",31,"216",14.3518518518519,2001
2008,"Cyclotrimethylene-Trinitramine (RDX)",37,"226",16.3716814159292,2001
2009,"Cyclotrimethylene-Trinitramine (RDX)",31,"287",10.801393728223,2001
2010,"Cyclotrimethylene-Trinitramine (RDX)",41,"342",11.9883040935673,2001
2011,"Cyclotrimethylene-Trinitramine (RDX)",52,"421",12.3515439429929,2001
2012,"Cyclotrimethylene-Trinitramine (RDX)",86,"623",13.8041733547352,2001
2013,"Cyclotrimethylene-Trinitramine (RDX)",51,"355",14.3661971830986,2001
2014,"Cyclotrimethylene-Trinitramine (RDX)",47,"466",10.0858369098712,2001
2015,"Cyclotrimethylene-Trinitramine (RDX)",44,"293",15.0170648464164,2001
2016,"Cyclotrimethylene-Trinitramine (RDX)",36,"369",9.75609756097561,2001
2017,"Cyclotrimethylene-Trinitramine (RDX)",43,"417",10.3117505995204,2001
2018,"Cyclotrimethylene-Trinitramine (RDX)",65,"555",11.7117117117117,2001
2019,"Cyclotrimethylene-Trinitramine (RDX)",49,"481",10.1871101871102,2001
2020,"Cyclotrimethylene-Trinitramine (RDX)",62,"504",12.3015873015873,2001
2021,"Cyclotrimethylene-Trinitramine (RDX)",51,"484",10.5371900826446,2001
2022,"Cyclotrimethylene-Trinitramine (RDX)",1,"27",3.7037037037037,2001
2001,"Pentaerythritol Tetranitrate (PETN)",2,"41",4.8780487804878,2001
2002,"Pentaerythritol Tetranitrate (PETN)",2,"36",5.55555555555556,2001
2003,"Pentaerythritol Tetranitrate (PETN)",4,"51",7.84313725490196,2001
2004,"Pentaerythritol Tetranitrate (PETN)",1,"30",3.33333333333333,2001
2005,"Pentaerythritol Tetranitrate (PETN)",4,"60",6.66666666666667,2001
2006,"Pentaerythritol Tetranitrate (PETN)",1,"39",2.56410256410256,2001
2007,"Pentaerythritol Tetranitrate (PETN)",12,"216",5.55555555555556,2001
2008,"Pentaerythritol Tetranitrate (PETN)",12,"226",5.30973451327434,2001
2009,"Pentaerythritol Tetranitrate (PETN)",12,"287",4.18118466898955,2001
2010,"Pentaerythritol Tetranitrate (PETN)",15,"342",4.3859649122807,2001
2011,"Pentaerythritol Tetranitrate (PETN)",16,"421",3.80047505938242,2001
2012,"Pentaerythritol Tetranitrate (PETN)",36,"623",5.7784911717496,2001
2013,"Pentaerythritol Tetranitrate (PETN)",21,"355",5.91549295774648,2001
2014,"Pentaerythritol Tetranitrate (PETN)",21,"466",4.50643776824034,2001
2015,"Pentaerythritol Tetranitrate (PETN)",14,"293",4.77815699658703,2001
2016,"Pentaerythritol Tetranitrate (PETN)",27,"369",7.31707317073171,2001
2017,"Pentaerythritol Tetranitrate (PETN)",26,"417",6.23501199040767,2001
2018,"Pentaerythritol Tetranitrate (PETN)",36,"555",6.48648648648649,2001
2019,"Pentaerythritol Tetranitrate (PETN)",26,"481",5.4054054054054,2001
2020,"Pentaerythritol Tetranitrate (PETN)",21,"504",4.16666666666667,2001
2021,"Pentaerythritol Tetranitrate (PETN)",23,"484",4.75206611570248,2001
2001,"Triacetone Triperoxide (TATP)",1,"41",2.4390243902439,2001
2002,"Triacetone Triperoxide (TATP)",2,"36",5.55555555555556,2001
2003,"Triacetone Triperoxide (TATP)",2,"51",3.92156862745098,2001
2004,"Triacetone Triperoxide (TATP)",2,"30",6.66666666666667,2001
2005,"Triacetone Triperoxide (TATP)",3,"60",5,2001
2006,"Triacetone Triperoxide (TATP)",4,"39",10.2564102564103,2001
2007,"Triacetone Triperoxide (TATP)",2,"216",0.925925925925926,2001
2008,"Triacetone Triperoxide (TATP)",10,"226",4.42477876106195,2001
2009,"Triacetone Triperoxide (TATP)",11,"287",3.83275261324042,2001
2010,"Triacetone Triperoxide (TATP)",22,"342",6.4327485380117,2001
2011,"Triacetone Triperoxide (TATP)",13,"421",3.08788598574822,2001
2012,"Triacetone Triperoxide (TATP)",20,"623",3.21027287319422,2001
2013,"Triacetone Triperoxide (TATP)",10,"355",2.8169014084507,2001
2014,"Triacetone Triperoxide (TATP)",13,"466",2.78969957081545,2001
2015,"Triacetone Triperoxide (TATP)",8,"293",2.73037542662116,2001
2016,"Triacetone Triperoxide (TATP)",9,"369",2.4390243902439,2001
2017,"Triacetone Triperoxide (TATP)",12,"417",2.87769784172662,2001
2018,"Triacetone Triperoxide (TATP)",18,"555",3.24324324324324,2001
2019,"Triacetone Triperoxide (TATP)",16,"481",3.32640332640333,2001
2020,"Triacetone Triperoxide (TATP)",14,"504",2.77777777777778,2001
2021,"Triacetone Triperoxide (TATP)",14,"484",2.89256198347107,2001
2022,"Triacetone Triperoxide (TATP)",3,"27",11.1111111111111,2001
