"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",7,27,18.4210526315789,2001
2002,"2,4,6-Trinitrotoluene (TNT)",7,21,19.4444444444444,2001
2003,"2,4,6-Trinitrotoluene (TNT)",8,20,15.3846153846154,2001
2004,"2,4,6-Trinitrotoluene (TNT)",3,24,10.7142857142857,2001
2005,"2,4,6-Trinitrotoluene (TNT)",8,31,13.5593220338983,2001
2006,"2,4,6-Trinitrotoluene (TNT)",6,31,15,2001
2007,"2,4,6-Trinitrotoluene (TNT)",39,148,20,2001
2008,"2,4,6-Trinitrotoluene (TNT)",53,167,23.6607142857143,2001
2009,"2,4,6-Trinitrotoluene (TNT)",58,199,20.4225352112676,2001
2010,"2,4,6-Trinitrotoluene (TNT)",81,318,24.6951219512195,2001
2011,"2,4,6-Trinitrotoluene (TNT)",94,358,22.8155339805825,2001
2012,"2,4,6-Trinitrotoluene (TNT)",133,457,22.2780569514238,2001
2013,"2,4,6-Trinitrotoluene (TNT)",73,252,21.6617210682493,2001
2014,"2,4,6-Trinitrotoluene (TNT)",90,337,19.8675496688742,2001
2015,"2,4,6-Trinitrotoluene (TNT)",54,220,18.5567010309278,2001
2016,"2,4,6-Trinitrotoluene (TNT)",63,235,18,2001
2017,"2,4,6-Trinitrotoluene (TNT)",77,285,19.25,2001
2018,"2,4,6-Trinitrotoluene (TNT)",84,413,15.1624548736462,2001
2019,"2,4,6-Trinitrotoluene (TNT)",70,341,15.1187904967603,2001
2020,"2,4,6-Trinitrotoluene (TNT)",98,380,20.2061855670103,2001
2021,"2,4,6-Trinitrotoluene (TNT)",61,380,13.0901287553648,2001
2022,"2,4,6-Trinitrotoluene (TNT)",4,21,15.3846153846154,2001
2001,"Cyclotetramethylene-Tetranitramine (HMX)",1,27,2.63157894736842,2001
2002,"Cyclotetramethylene-Tetranitramine (HMX)",2,21,5.55555555555556,2001
2003,"Cyclotetramethylene-Tetranitramine (HMX)",3,20,5.76923076923077,2001
2004,"Cyclotetramethylene-Tetranitramine (HMX)",1,24,3.57142857142857,2001
2005,"Cyclotetramethylene-Tetranitramine (HMX)",4,31,6.77966101694915,2001
2006,"Cyclotetramethylene-Tetranitramine (HMX)",3,31,7.5,2001
2007,"Cyclotetramethylene-Tetranitramine (HMX)",14,148,7.17948717948718,2001
2008,"Cyclotetramethylene-Tetranitramine (HMX)",12,167,5.35714285714286,2001
2009,"Cyclotetramethylene-Tetranitramine (HMX)",13,199,4.5774647887324,2001
2010,"Cyclotetramethylene-Tetranitramine (HMX)",17,318,5.18292682926829,2001
2011,"Cyclotetramethylene-Tetranitramine (HMX)",18,358,4.36893203883495,2001
2012,"Cyclotetramethylene-Tetranitramine (HMX)",45,457,7.53768844221105,2001
2013,"Cyclotetramethylene-Tetranitramine (HMX)",27,252,8.01186943620178,2001
2014,"Cyclotetramethylene-Tetranitramine (HMX)",17,337,3.75275938189845,2001
2015,"Cyclotetramethylene-Tetranitramine (HMX)",18,220,6.18556701030928,2001
2016,"Cyclotetramethylene-Tetranitramine (HMX)",13,235,3.71428571428571,2001
2017,"Cyclotetramethylene-Tetranitramine (HMX)",20,285,5,2001
2018,"Cyclotetramethylene-Tetranitramine (HMX)",42,413,7.5812274368231,2001
