"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",65,1010,20.1238390092879,2001
2002,"2,4,6-Trinitrotoluene (TNT)",61,1079,17.5287356321839,2001
2003,"2,4,6-Trinitrotoluene (TNT)",69,1272,16.4677804295943,2001
2004,"2,4,6-Trinitrotoluene (TNT)",101,1624,21.3983050847458,2001
2005,"2,4,6-Trinitrotoluene (TNT)",102,1764,17.3764906303237,2001
2006,"2,4,6-Trinitrotoluene (TNT)",107,1999,15.5523255813953,2001
2007,"2,4,6-Trinitrotoluene (TNT)",134,1967,19.364161849711,2001
2008,"2,4,6-Trinitrotoluene (TNT)",159,2303,21.2566844919786,2001
2009,"2,4,6-Trinitrotoluene (TNT)",188,2372,20.7964601769912,2001
2010,"2,4,6-Trinitrotoluene (TNT)",190,2566,19.3877551020408,2001
2011,"2,4,6-Trinitrotoluene (TNT)",210,2615,22.0820189274448,2001
2012,"2,4,6-Trinitrotoluene (TNT)",237,2455,19.8992443324937,2001
2013,"2,4,6-Trinitrotoluene (TNT)",235,2496,20.9447415329768,2001
2014,"2,4,6-Trinitrotoluene (TNT)",226,2552,18.2552504038772,2001
2015,"2,4,6-Trinitrotoluene (TNT)",222,2453,18.7341772151899,2001
2016,"2,4,6-Trinitrotoluene (TNT)",197,2768,14.1828653707703,2001
2017,"2,4,6-Trinitrotoluene (TNT)",223,2933,15.4005524861878,2001
2018,"2,4,6-Trinitrotoluene (TNT)",214,2933,15.2204836415363,2001
2019,"2,4,6-Trinitrotoluene (TNT)",220,3144,16.5413533834586,2001
2020,"2,4,6-Trinitrotoluene (TNT)",263,3043,17.842605156038,2001
2021,"2,4,6-Trinitrotoluene (TNT)",217,2976,16.9796557120501,2001
2022,"2,4,6-Trinitrotoluene (TNT)",237,3063,16.6549543218552,2001
2001,"Cyclotetramethylene-Tetranitramine (HMX)",27,1010,8.35913312693498,2001
2002,"Cyclotetramethylene-Tetranitramine (HMX)",34,1079,9.77011494252874,2001
2003,"Cyclotetramethylene-Tetranitramine (HMX)",42,1272,10.0238663484487,2001
2004,"Cyclotetramethylene-Tetranitramine (HMX)",55,1624,11.6525423728814,2001
2005,"Cyclotetramethylene-Tetranitramine (HMX)",55,1764,9.36967632027257,2001
2006,"Cyclotetramethylene-Tetranitramine (HMX)",87,1999,12.6453488372093,2001
2007,"Cyclotetramethylene-Tetranitramine (HMX)",69,1967,9.97109826589595,2001
2008,"Cyclotetramethylene-Tetranitramine (HMX)",69,2303,9.22459893048128,2001
2009,"Cyclotetramethylene-Tetranitramine (HMX)",78,2372,8.6283185840708,2001
2010,"Cyclotetramethylene-Tetranitramine (HMX)",90,2566,9.18367346938776,2001
2011,"Cyclotetramethylene-Tetranitramine (HMX)",71,2615,7.465825446898,2001
2012,"Cyclotetramethylene-Tetranitramine (HMX)",124,2455,10.4114189756507,2001
2013,"Cyclotetramethylene-Tetranitramine (HMX)",112,2496,9.98217468805704,2001
2014,"Cyclotetramethylene-Tetranitramine (HMX)",113,2552,9.12762520193861,2001
2015,"Cyclotetramethylene-Tetranitramine (HMX)",100,2453,8.43881856540084,2001
2016,"Cyclotetramethylene-Tetranitramine (HMX)",122,2768,8.7832973362131,2001
2017,"Cyclotetramethylene-Tetranitramine (HMX)",173,2933,11.9475138121547,2001
2018,"Cyclotetramethylene-Tetranitramine (HMX)",145,2933,10.3129445234708,2001
2019,"Cyclotetramethylene-Tetranitramine (HMX)",137,3144,10.3007518796992,2001
2020,"Cyclotetramethylene-Tetranitramine (HMX)",159,3043,10.78697421981,2001
2021,"Cyclotetramethylene-Tetranitramine (HMX)",123,2976,9.62441314553991,2001
2022,"Cyclotetramethylene-Tetranitramine (HMX)",139,3063,9.76809557273366,2001
2001,"Cyclotrimethylene-Trinitramine (RDX)",39,1010,12.0743034055728,2001
2002,"Cyclotrimethylene-Trinitramine (RDX)",47,1079,13.5057471264368,2001
2003,"Cyclotrimethylene-Trinitramine (RDX)",40,1272,9.54653937947494,2001
2004,"Cyclotrimethylene-Trinitramine (RDX)",72,1624,15.2542372881356,2001
2005,"Cyclotrimethylene-Trinitramine (RDX)",82,1764,13.96933560477,2001
2006,"Cyclotrimethylene-Trinitramine (RDX)",95,1999,13.8081395348837,2001
2007,"Cyclotrimethylene-Trinitramine (RDX)",102,1967,14.7398843930636,2001
2008,"Cyclotrimethylene-Trinitramine (RDX)",97,2303,12.9679144385027,2001
2009,"Cyclotrimethylene-Trinitramine (RDX)",103,2372,11.3938053097345,2001
2010,"Cyclotrimethylene-Trinitramine (RDX)",118,2566,12.0408163265306,2001
2011,"Cyclotrimethylene-Trinitramine (RDX)",114,2615,11.98738170347,2001
2012,"Cyclotrimethylene-Trinitramine (RDX)",149,2455,12.5104953820319,2001
2013,"Cyclotrimethylene-Trinitramine (RDX)",151,2496,13.458110516934,2001
2014,"Cyclotrimethylene-Trinitramine (RDX)",154,2552,12.4394184168013,2001
2015,"Cyclotrimethylene-Trinitramine (RDX)",151,2453,12.7426160337553,2001
2016,"Cyclotrimethylene-Trinitramine (RDX)",183,2768,13.1749460043197,2001
2017,"Cyclotrimethylene-Trinitramine (RDX)",192,2933,13.2596685082873,2001
2018,"Cyclotrimethylene-Trinitramine (RDX)",174,2933,12.375533428165,2001
2019,"Cyclotrimethylene-Trinitramine (RDX)",150,3144,11.2781954887218,2001
2020,"Cyclotrimethylene-Trinitramine (RDX)",152,3043,10.3120759837178,2001
2021,"Cyclotrimethylene-Trinitramine (RDX)",129,2976,10.093896713615,2001
2022,"Cyclotrimethylene-Trinitramine (RDX)",137,3063,9.62754743499649,2001
2001,"Dinitrotoluene (DNT)",17,1010,5.26315789473684,2001
2002,"Dinitrotoluene (DNT)",14,1079,4.02298850574713,2001
2003,"Dinitrotoluene (DNT)",15,1272,3.5799522673031,2001
2004,"Dinitrotoluene (DNT)",27,1624,5.72033898305085,2001
2005,"Dinitrotoluene (DNT)",25,1764,4.25894378194208,2001
2006,"Dinitrotoluene (DNT)",20,1999,2.90697674418605,2001
2007,"Dinitrotoluene (DNT)",32,1967,4.6242774566474,2001
2008,"Dinitrotoluene (DNT)",40,2303,5.3475935828877,2001
2009,"Dinitrotoluene (DNT)",47,2372,5.19911504424779,2001
2010,"Dinitrotoluene (DNT)",61,2566,6.22448979591837,2001
2011,"Dinitrotoluene (DNT)",55,2615,5.78338590956888,2001
2012,"Dinitrotoluene (DNT)",54,2455,4.53400503778338,2001
2013,"Dinitrotoluene (DNT)",47,2496,4.18894830659537,2001
2014,"Dinitrotoluene (DNT)",57,2552,4.60420032310178,2001
2015,"Dinitrotoluene (DNT)",47,2453,3.9662447257384,2001
2016,"Dinitrotoluene (DNT)",63,2768,4.53563714902808,2001
2017,"Dinitrotoluene (DNT)",43,2933,2.96961325966851,2001
2018,"Dinitrotoluene (DNT)",49,2933,3.4850640113798,2001
2019,"Dinitrotoluene (DNT)",37,3144,2.78195488721805,2001
2020,"Dinitrotoluene (DNT)",47,3043,3.18860244233379,2001
2021,"Dinitrotoluene (DNT)",37,2976,2.89514866979656,2001
2022,"Dinitrotoluene (DNT)",38,3063,2.67041461700632,2001
2001,"Pentaerythritol Tetranitrate (PETN)",16,1010,4.95356037151703,2001
2002,"Pentaerythritol Tetranitrate (PETN)",12,1079,3.44827586206897,2001
2003,"Pentaerythritol Tetranitrate (PETN)",20,1272,4.77326968973747,2001
2004,"Pentaerythritol Tetranitrate (PETN)",21,1624,4.44915254237288,2001
2005,"Pentaerythritol Tetranitrate (PETN)",24,1764,4.08858603066439,2001
2006,"Pentaerythritol Tetranitrate (PETN)",38,1999,5.52325581395349,2001
2007,"Pentaerythritol Tetranitrate (PETN)",33,1967,4.76878612716763,2001
2008,"Pentaerythritol Tetranitrate (PETN)",43,2303,5.74866310160428,2001
2009,"Pentaerythritol Tetranitrate (PETN)",46,2372,5.08849557522124,2001
2010,"Pentaerythritol Tetranitrate (PETN)",67,2566,6.83673469387755,2001
2011,"Pentaerythritol Tetranitrate (PETN)",45,2615,4.73186119873817,2001
2012,"Pentaerythritol Tetranitrate (PETN)",74,2455,6.21326616288833,2001
2013,"Pentaerythritol Tetranitrate (PETN)",61,2496,5.4367201426025,2001
2014,"Pentaerythritol Tetranitrate (PETN)",65,2552,5.25040387722132,2001
2015,"Pentaerythritol Tetranitrate (PETN)",64,2453,5.40084388185654,2001
2016,"Pentaerythritol Tetranitrate (PETN)",68,2768,4.89560835133189,2001
2017,"Pentaerythritol Tetranitrate (PETN)",62,2933,4.28176795580111,2001
2018,"Pentaerythritol Tetranitrate (PETN)",68,2933,4.83641536273115,2001
2019,"Pentaerythritol Tetranitrate (PETN)",61,3144,4.58646616541353,2001
2020,"Pentaerythritol Tetranitrate (PETN)",72,3043,4.88466757123474,2001
2021,"Pentaerythritol Tetranitrate (PETN)",44,2976,3.44287949921753,2001
2022,"Pentaerythritol Tetranitrate (PETN)",50,3063,3.51370344342937,2001
