"Year","Sampling_List","Count","YearTotal","Percentage","graphorder"
2001,"COLLECTION",1,27,9.09090909090909,2001
2003,"COLLECTION",1,20,25,2001
2004,"COLLECTION",1,24,25,2001
2007,"COLLECTION",2,148,25,2001
2008,"COLLECTION",2,167,15.3846153846154,2001
2009,"COLLECTION",4,199,23.5294117647059,2001
2010,"COLLECTION",5,318,17.2413793103448,2001
2011,"COLLECTION",8,358,28.5714285714286,2001
2012,"COLLECTION",15,457,30,2001
2013,"COLLECTION",7,252,20,2001
2014,"COLLECTION",7,337,25,2001
2015,"COLLECTION",6,220,22.2222222222222,2001
2016,"COLLECTION",11,235,29.7297297297297,2001
2017,"COLLECTION",19,285,38,2001
2018,"COLLECTION",9,413,36,2001
2019,"COLLECTION",10,341,23.2558139534884,2001
2020,"COLLECTION",8,380,22.2222222222222,2001
2021,"COLLECTION",10,380,28.5714285714286,2001
2001,"RECOVERY",4,27,36.3636363636364,2001
2002,"RECOVERY",2,21,33.3333333333333,2001
2004,"RECOVERY",1,24,25,2001
2005,"RECOVERY",3,31,60,2001
2006,"RECOVERY",1,31,50,2001
2007,"RECOVERY",3,148,37.5,2001
2008,"RECOVERY",2,167,15.3846153846154,2001
2009,"RECOVERY",4,199,23.5294117647059,2001
2010,"RECOVERY",6,318,20.6896551724138,2001
2011,"RECOVERY",8,358,28.5714285714286,2001
2012,"RECOVERY",12,457,24,2001
2013,"RECOVERY",6,252,17.1428571428571,2001
2014,"RECOVERY",6,337,21.4285714285714,2001
2015,"RECOVERY",6,220,22.2222222222222,2001
2016,"RECOVERY",3,235,8.10810810810811,2001
2017,"RECOVERY",9,285,18,2001
2018,"RECOVERY",5,413,20,2001
2019,"RECOVERY",8,341,18.6046511627907,2001
2020,"RECOVERY",9,380,25,2001
2021,"RECOVERY",4,380,11.4285714285714,2001
2001,"SAMPLING",5,27,45.4545454545455,2001
2002,"SAMPLING",4,21,66.6666666666667,2001
2003,"SAMPLING",3,20,75,2001
2004,"SAMPLING",2,24,50,2001
2005,"SAMPLING",2,31,40,2001
2006,"SAMPLING",1,31,50,2001
2007,"SAMPLING",1,148,12.5,2001
2008,"SAMPLING",6,167,46.1538461538462,2001
2009,"SAMPLING",8,199,47.0588235294118,2001
2010,"SAMPLING",15,318,51.7241379310345,2001
2011,"SAMPLING",9,358,32.1428571428571,2001
2012,"SAMPLING",20,457,40,2001
2013,"SAMPLING",16,252,45.7142857142857,2001
2014,"SAMPLING",11,337,39.2857142857143,2001
2015,"SAMPLING",14,220,51.8518518518518,2001
2016,"SAMPLING",17,235,45.945945945946,2001
2017,"SAMPLING",16,285,32,2001
2018,"SAMPLING",8,413,32,2001
2019,"SAMPLING",17,341,39.5348837209302,2001
2020,"SAMPLING",11,380,30.5555555555556,2001
2021,"SAMPLING",15,380,42.8571428571429,2001
2022,"SAMPLING",3,21,100,2001
2001,"SWAB",1,27,9.09090909090909,2001
2007,"SWAB",2,148,25,2001
2008,"SWAB",3,167,23.0769230769231,2001
2009,"SWAB",1,199,5.88235294117647,2001
2010,"SWAB",3,318,10.3448275862069,2001
2011,"SWAB",3,358,10.7142857142857,2001
2012,"SWAB",3,457,6,2001
2013,"SWAB",6,252,17.1428571428571,2001
2014,"SWAB",4,337,14.2857142857143,2001
2015,"SWAB",1,220,3.7037037037037,2001
2016,"SWAB",6,235,16.2162162162162,2001
2017,"SWAB",6,285,12,2001
2018,"SWAB",3,413,12,2001
2019,"SWAB",8,341,18.6046511627907,2001
2020,"SWAB",8,380,22.2222222222222,2001
2021,"SWAB",6,380,17.1428571428571,2001
