Label,Lngx,Laty,Continent,ID
Munich Germany,11.58,48.14,Europe,Munich Germany
Warsaw Poland,21.02,52.26,Europe,Warsaw Poland
Algiers Algeria,3.04,36.77,Africa,Algiers Algeria
Mianyang China,104.77,31.47,Asia,Mianyang China
Beijing China,116.4,39.93,Asia,Beijing China
Guangzhou China,113.25,23.12,Asia,Guangzhou China
Washington USA,-77.02,38.91,Americas,Washington USA
Kharagpur India,87.31,22.34,Asia,Kharagpur India
Hyderabad India,78.48,17.4,Asia,Hyderabad India
Chennai India,80.27,13.09,Asia,Chennai India
Nanjing China,118.78,32.05,Asia,Nanjing China
Palermo Italy,13.36,38.12,Europe,Palermo Italy
Moscow Russia,37.62,55.75,Europe,Moscow Russia
Pune India,73.84,18.53,Asia,Pune India
Zagreb Croatia,15.97,45.8,Europe,Zagreb Croatia
Xiaolingwei China,118.85,32.02,Asia,Xiaolingwei China
Zhuhai China,113.57,22.28,Asia,Zhuhai China
Harbin China,126.65,45.75,Asia,Harbin China
Shenzhen China,114.13,22.53,Asia,Shenzhen China
Bratislava Slovakia,17.13,48.16,Europe,Bratislava Slovakia
Lyon France,4.83,45.76,Europe,Lyon France
Villeurbanne France,4.88,45.77,Europe,Villeurbanne France
Cluj-Napoca Romania,23.59,46.78,Europe,Cluj-Napoca Romania
Saint-Etienne France,4.39,45.43,Europe,Saint-Etienne France
Wuhan China,114.27,30.58,Asia,Wuhan China
Bombay India,72.82,18.96,Asia,Bombay India
Bangalore India,77.56,12.97,Asia,Bangalore India
Xinyang China,114.07,32.13,Asia,Xinyang China
Taichung Taiwan,120.68,24.15,Asia,Taichung Taiwan
Changzhou China,119.97,31.78,Asia,Changzhou China
Hoboken USA,-74.03,40.74,Americas,Hoboken USA
Wilmslow UK,-2.23,53.34,Europe,Wilmslow UK
Swisttal Germany,6.91,50.7,Europe,Swisttal Germany
Chernogolovka Russia,38.37,56,Europe,Chernogolovka Russia
Yokohama Japan,139.62,35.47,Asia,Yokohama Japan
Chemnitz Germany,12.92,50.83,Europe,Chemnitz Germany
Yekaterinburg Russia,60.6,56.85,Europe,Yekaterinburg Russia
Mansa India,75.39,29.98,Asia,Mansa India
Bathinda India,74.97,30.17,Asia,Bathinda India
Buxton UK,-1.92,53.26,Europe,Buxton UK
Barcelona Spain,2.17,41.4,Europe,Barcelona Spain
Lafayette USA,-92.03,30.22,Americas,Lafayette USA
Dayton USA,-84.2,39.78,Americas,Dayton USA
Singapore Singapore,103.85,1.3,Asia,Singapore Singapore
Gdynia Poland,18.53,54.52,Europe,Gdynia Poland
London UK,-0.1,51.52,Europe,London UK
Ljubljana Slovenia,14.51,46.06,Europe,Ljubljana Slovenia
Crawley UK,-0.2,51.13,Europe,Crawley UK
Poway USA,-117.02,32.99,Americas,Poway USA
Turin Italy,7.68,45.08,Europe,Turin Italy
Collegno Italy,7.6,45.09,Europe,Collegno Italy
Catania Italy,15.08,37.5,Europe,Catania Italy
Paris France,2.34,48.86,Europe,Paris France
Orsay France,2.18,48.7,Europe,Orsay France
Enna Italy,14.28,37.6,Europe,Enna Italy
Topi Pakistan,72.62,34.07,Asia,Topi Pakistan
Swabi Pakistan,72.47,34.13,Asia,Swabi Pakistan
Debrecen Hungary,21.63,47.54,Europe,Debrecen Hungary
Shanghai China,121.47,31.23,Asia,Shanghai China
Ningbo China,121.55,29.88,Asia,Ningbo China
Ames USA,-93.63,42.02,Americas,Ames USA
Suzhou China,120.62,31.3,Asia,Suzhou China
Athens Greece,23.73,37.98,Europe,Athens Greece
Hsinchu Taiwan,120.98,24.82,Asia,Hsinchu Taiwan
Hangzhou China,120.17,30.25,Asia,Hangzhou China
Taipei Taiwan,121.45,25.02,Asia,Taipei Taiwan
Ottawa Canada,-75.71,45.42,Americas,Ottawa Canada
Youngstown USA,-80.65,41.1,Americas,Youngstown USA
Champaign USA,-88.26,40.11,Americas,Champaign USA
Columbia USA,-80.89,34.04,Americas,Columbia USA
Chandigarh India,76.78,30.75,Asia,Chandigarh India
Chongqing China,106.58,29.57,Asia,Chongqing China
Fukuoka Japan,130.41,33.59,Asia,Fukuoka Japan
Pfinztal Germany,8.55,48.98,Europe,Pfinztal Germany
Quebec Canada,-71.23,46.82,Americas,Quebec Canada
Melbourne Australia,144.96,-37.81,Oceania,Melbourne Australia
Melbourne USA,-80.64,28.11,Americas,Melbourne USA
Salisbury Canada,-65.05,46.03,Americas,Salisbury Canada
Hanover Canada,-81.03,44.15,Americas,Hanover Canada
Delhi India,77.21,28.67,Asia,Delhi India
Bhopal India,77.4,23.24,Asia,Bhopal India
York UK,-1.11,53.96,Europe,York UK
Philadelphia USA,-75.13,40.01,Americas,Philadelphia USA
Osaka Japan,135.5,34.68,Asia,Osaka Japan
Suita Japan,135.52,34.75,Asia,Suita Japan
Sarov Russia,43.83,55.38,Europe,Sarov Russia
