"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",5,27,17.2413793103448,2001
2002,"2,4,6-Trinitrotoluene (TNT)",7,21,23.3333333333333,2001
2003,"2,4,6-Trinitrotoluene (TNT)",6,20,15,2001
2004,"2,4,6-Trinitrotoluene (TNT)",3,24,15,2001
2005,"2,4,6-Trinitrotoluene (TNT)",8,31,14.5454545454545,2001
2006,"2,4,6-Trinitrotoluene (TNT)",5,31,14.7058823529412,2001
2007,"2,4,6-Trinitrotoluene (TNT)",38,148,20.4301075268817,2001
2008,"2,4,6-Trinitrotoluene (TNT)",50,167,23.9234449760766,2001
2009,"2,4,6-Trinitrotoluene (TNT)",56,199,21.7054263565891,2001
2010,"2,4,6-Trinitrotoluene (TNT)",77,318,25.8389261744966,2001
2011,"2,4,6-Trinitrotoluene (TNT)",92,358,23.8341968911917,2001
2012,"2,4,6-Trinitrotoluene (TNT)",127,457,23.0909090909091,2001
2013,"2,4,6-Trinitrotoluene (TNT)",72,252,22.1538461538462,2001
2014,"2,4,6-Trinitrotoluene (TNT)",89,337,20.4597701149425,2001
2015,"2,4,6-Trinitrotoluene (TNT)",53,220,18.8612099644128,2001
2016,"2,4,6-Trinitrotoluene (TNT)",60,235,18.018018018018,2001
2017,"2,4,6-Trinitrotoluene (TNT)",74,285,19.7860962566845,2001
2018,"2,4,6-Trinitrotoluene (TNT)",80,413,15.180265654649,2001
2019,"2,4,6-Trinitrotoluene (TNT)",68,341,14.9779735682819,2001
2020,"2,4,6-Trinitrotoluene (TNT)",96,380,20.2959830866808,2001
2021,"2,4,6-Trinitrotoluene (TNT)",61,380,13.2897603485839,2001
2022,"2,4,6-Trinitrotoluene (TNT)",4,21,15.3846153846154,2001
2001,"Cyclotetramethylene-Tetranitramine (HMX)",1,27,3.44827586206897,2001
2002,"Cyclotetramethylene-Tetranitramine (HMX)",2,21,6.66666666666667,2001
2003,"Cyclotetramethylene-Tetranitramine (HMX)",3,20,7.5,2001
2004,"Cyclotetramethylene-Tetranitramine (HMX)",1,24,5,2001
2005,"Cyclotetramethylene-Tetranitramine (HMX)",4,31,7.27272727272727,2001
2006,"Cyclotetramethylene-Tetranitramine (HMX)",3,31,8.82352941176471,2001
2007,"Cyclotetramethylene-Tetranitramine (HMX)",14,148,7.52688172043011,2001
2008,"Cyclotetramethylene-Tetranitramine (HMX)",12,167,5.74162679425837,2001
2009,"Cyclotetramethylene-Tetranitramine (HMX)",13,199,5.03875968992248,2001
2010,"Cyclotetramethylene-Tetranitramine (HMX)",17,318,5.70469798657718,2001
2011,"Cyclotetramethylene-Tetranitramine (HMX)",18,358,4.66321243523316,2001
2012,"Cyclotetramethylene-Tetranitramine (HMX)",44,457,8,2001
2013,"Cyclotetramethylene-Tetranitramine (HMX)",27,252,8.30769230769231,2001
2014,"Cyclotetramethylene-Tetranitramine (HMX)",16,337,3.67816091954023,2001
2015,"Cyclotetramethylene-Tetranitramine (HMX)",18,220,6.40569395017794,2001
2016,"Cyclotetramethylene-Tetranitramine (HMX)",13,235,3.9039039039039,2001
2017,"Cyclotetramethylene-Tetranitramine (HMX)",19,285,5.08021390374332,2001
2018,"Cyclotetramethylene-Tetranitramine (HMX)",41,413,7.77988614800759,2001
2019,"Cyclotetramethylene-Tetranitramine (HMX)",40,341,8.81057268722467,2001
2020,"Cyclotetramethylene-Tetranitramine (HMX)",37,380,7.82241014799154,2001
2021,"Cyclotetramethylene-Tetranitramine (HMX)",45,380,9.80392156862745,2001
2022,"Cyclotetramethylene-Tetranitramine (HMX)",1,21,3.84615384615385,2001
2001,"Cyclotrimethylene-Trinitramine (RDX)",5,27,17.2413793103448,2001
2002,"Cyclotrimethylene-Trinitramine (RDX)",3,21,10,2001
2003,"Cyclotrimethylene-Trinitramine (RDX)",5,20,12.5,2001
2004,"Cyclotrimethylene-Trinitramine (RDX)",3,24,15,2001
2005,"Cyclotrimethylene-Trinitramine (RDX)",7,31,12.7272727272727,2001
2006,"Cyclotrimethylene-Trinitramine (RDX)",6,31,17.6470588235294,2001
2007,"Cyclotrimethylene-Trinitramine (RDX)",31,148,16.6666666666667,2001
2008,"Cyclotrimethylene-Trinitramine (RDX)",34,167,16.2679425837321,2001
2009,"Cyclotrimethylene-Trinitramine (RDX)",28,199,10.8527131782946,2001
2010,"Cyclotrimethylene-Trinitramine (RDX)",38,318,12.751677852349,2001
2011,"Cyclotrimethylene-Trinitramine (RDX)",50,358,12.9533678756477,2001
2012,"Cyclotrimethylene-Trinitramine (RDX)",80,457,14.5454545454545,2001
2013,"Cyclotrimethylene-Trinitramine (RDX)",50,252,15.3846153846154,2001
2014,"Cyclotrimethylene-Trinitramine (RDX)",46,337,10.5747126436782,2001
2015,"Cyclotrimethylene-Trinitramine (RDX)",43,220,15.3024911032028,2001
2016,"Cyclotrimethylene-Trinitramine (RDX)",36,235,10.8108108108108,2001
2017,"Cyclotrimethylene-Trinitramine (RDX)",41,285,10.9625668449198,2001
2018,"Cyclotrimethylene-Trinitramine (RDX)",63,413,11.9544592030361,2001
2019,"Cyclotrimethylene-Trinitramine (RDX)",47,341,10.352422907489,2001
2020,"Cyclotrimethylene-Trinitramine (RDX)",62,380,13.107822410148,2001
2021,"Cyclotrimethylene-Trinitramine (RDX)",51,380,11.1111111111111,2001
2022,"Cyclotrimethylene-Trinitramine (RDX)",1,21,3.84615384615385,2001
2001,"Dinitrotoluene (DNT)",1,27,3.44827586206897,2001
2002,"Dinitrotoluene (DNT)",1,21,3.33333333333333,2001
2003,"Dinitrotoluene (DNT)",2,20,5,2001
2004,"Dinitrotoluene (DNT)",1,24,5,2001
2005,"Dinitrotoluene (DNT)",4,31,7.27272727272727,2001
2006,"Dinitrotoluene (DNT)",1,31,2.94117647058824,2001
2007,"Dinitrotoluene (DNT)",17,148,9.13978494623656,2001
2008,"Dinitrotoluene (DNT)",17,167,8.13397129186603,2001
2009,"Dinitrotoluene (DNT)",25,199,9.68992248062016,2001
2010,"Dinitrotoluene (DNT)",28,318,9.39597315436242,2001
2011,"Dinitrotoluene (DNT)",45,358,11.6580310880829,2001
2012,"Dinitrotoluene (DNT)",41,457,7.45454545454545,2001
2013,"Dinitrotoluene (DNT)",23,252,7.07692307692308,2001
2014,"Dinitrotoluene (DNT)",37,337,8.50574712643678,2001
2015,"Dinitrotoluene (DNT)",18,220,6.40569395017794,2001
2016,"Dinitrotoluene (DNT)",31,235,9.30930930930931,2001
2017,"Dinitrotoluene (DNT)",29,285,7.75401069518717,2001
2018,"Dinitrotoluene (DNT)",20,413,3.79506641366224,2001
2019,"Dinitrotoluene (DNT)",21,341,4.62555066079295,2001
2020,"Dinitrotoluene (DNT)",22,380,4.65116279069767,2001
2021,"Dinitrotoluene (DNT)",23,380,5.01089324618736,2001
2001,"Pentaerythritol Tetranitrate (PETN)",1,27,3.44827586206897,2001
2002,"Pentaerythritol Tetranitrate (PETN)",1,21,3.33333333333333,2001
2003,"Pentaerythritol Tetranitrate (PETN)",3,20,7.5,2001
2004,"Pentaerythritol Tetranitrate (PETN)",1,24,5,2001
2005,"Pentaerythritol Tetranitrate (PETN)",4,31,7.27272727272727,2001
2006,"Pentaerythritol Tetranitrate (PETN)",1,31,2.94117647058824,2001
2007,"Pentaerythritol Tetranitrate (PETN)",12,148,6.45161290322581,2001
2008,"Pentaerythritol Tetranitrate (PETN)",11,167,5.26315789473684,2001
2009,"Pentaerythritol Tetranitrate (PETN)",10,199,3.87596899224806,2001
2010,"Pentaerythritol Tetranitrate (PETN)",13,318,4.36241610738255,2001
2011,"Pentaerythritol Tetranitrate (PETN)",16,358,4.14507772020725,2001
2012,"Pentaerythritol Tetranitrate (PETN)",32,457,5.81818181818182,2001
2013,"Pentaerythritol Tetranitrate (PETN)",20,252,6.15384615384615,2001
2014,"Pentaerythritol Tetranitrate (PETN)",20,337,4.59770114942529,2001
2015,"Pentaerythritol Tetranitrate (PETN)",14,220,4.98220640569395,2001
2016,"Pentaerythritol Tetranitrate (PETN)",26,235,7.80780780780781,2001
2017,"Pentaerythritol Tetranitrate (PETN)",25,285,6.68449197860963,2001
2018,"Pentaerythritol Tetranitrate (PETN)",34,413,6.45161290322581,2001
2019,"Pentaerythritol Tetranitrate (PETN)",25,341,5.50660792951542,2001
2020,"Pentaerythritol Tetranitrate (PETN)",21,380,4.43974630021142,2001
2021,"Pentaerythritol Tetranitrate (PETN)",23,380,5.01089324618736,2001
