"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",65,1010,20.1238390092879,2001
2002,"2,4,6-Trinitrotoluene (TNT)",61,1079,17.5287356321839,2001
2003,"2,4,6-Trinitrotoluene (TNT)",69,1272,16.2735849056604,2001
2004,"2,4,6-Trinitrotoluene (TNT)",101,1624,21.3530655391121,2001
2005,"2,4,6-Trinitrotoluene (TNT)",102,1764,17.3469387755102,2001
2006,"2,4,6-Trinitrotoluene (TNT)",107,1999,15.4178674351585,2001
2007,"2,4,6-Trinitrotoluene (TNT)",134,1967,19.170243204578,2001
2008,"2,4,6-Trinitrotoluene (TNT)",159,2303,21.2,2001
2009,"2,4,6-Trinitrotoluene (TNT)",188,2372,20.6820682068207,2001
2010,"2,4,6-Trinitrotoluene (TNT)",190,2566,19.2502532928065,2001
2011,"2,4,6-Trinitrotoluene (TNT)",210,2615,21.875,2001
2012,"2,4,6-Trinitrotoluene (TNT)",237,2455,19.76647206005,2001
2013,"2,4,6-Trinitrotoluene (TNT)",235,2496,20.814880425155,2001
2014,"2,4,6-Trinitrotoluene (TNT)",226,2552,17.9507545671168,2001
2015,"2,4,6-Trinitrotoluene (TNT)",222,2453,18.6868686868687,2001
2016,"2,4,6-Trinitrotoluene (TNT)",197,2768,14.1117478510029,2001
2017,"2,4,6-Trinitrotoluene (TNT)",223,2933,15.3159340659341,2001
2018,"2,4,6-Trinitrotoluene (TNT)",214,2933,15.1129943502825,2001
2019,"2,4,6-Trinitrotoluene (TNT)",220,3144,16.4056674123788,2001
2020,"2,4,6-Trinitrotoluene (TNT)",263,3043,17.8063642518619,2001
2021,"2,4,6-Trinitrotoluene (TNT)",217,2976,16.9134840218238,2001
2022,"2,4,6-Trinitrotoluene (TNT)",237,3063,16.5502793296089,2001
2001,"Cyclotetramethylene-Tetranitramine (HMX)",27,1010,8.35913312693498,2001
2002,"Cyclotetramethylene-Tetranitramine (HMX)",34,1079,9.77011494252874,2001
2003,"Cyclotetramethylene-Tetranitramine (HMX)",42,1272,9.90566037735849,2001
2004,"Cyclotetramethylene-Tetranitramine (HMX)",55,1624,11.6279069767442,2001
2005,"Cyclotetramethylene-Tetranitramine (HMX)",55,1764,9.35374149659864,2001
2006,"Cyclotetramethylene-Tetranitramine (HMX)",87,1999,12.536023054755,2001
2007,"Cyclotetramethylene-Tetranitramine (HMX)",69,1967,9.87124463519313,2001
2008,"Cyclotetramethylene-Tetranitramine (HMX)",69,2303,9.2,2001
2009,"Cyclotetramethylene-Tetranitramine (HMX)",78,2372,8.58085808580858,2001
2010,"Cyclotetramethylene-Tetranitramine (HMX)",90,2566,9.11854103343465,2001
2011,"Cyclotetramethylene-Tetranitramine (HMX)",71,2615,7.39583333333333,2001
2012,"Cyclotetramethylene-Tetranitramine (HMX)",124,2455,10.3419516263553,2001
2013,"Cyclotetramethylene-Tetranitramine (HMX)",112,2496,9.92028343666962,2001
2014,"Cyclotetramethylene-Tetranitramine (HMX)",113,2552,8.97537728355838,2001
2015,"Cyclotetramethylene-Tetranitramine (HMX)",100,2453,8.41750841750842,2001
2016,"Cyclotetramethylene-Tetranitramine (HMX)",122,2768,8.73925501432665,2001
2017,"Cyclotetramethylene-Tetranitramine (HMX)",173,2933,11.8818681318681,2001
2018,"Cyclotetramethylene-Tetranitramine (HMX)",145,2933,10.2401129943503,2001
2019,"Cyclotetramethylene-Tetranitramine (HMX)",137,3144,10.2162565249814,2001
2020,"Cyclotetramethylene-Tetranitramine (HMX)",159,3043,10.7650643195667,2001
2021,"Cyclotetramethylene-Tetranitramine (HMX)",123,2976,9.58690568978956,2001
2022,"Cyclotetramethylene-Tetranitramine (HMX)",139,3063,9.70670391061453,2001
2001,"Cyclotrimethylene-Trinitramine (RDX)",39,1010,12.0743034055728,2001
2002,"Cyclotrimethylene-Trinitramine (RDX)",47,1079,13.5057471264368,2001
2003,"Cyclotrimethylene-Trinitramine (RDX)",40,1272,9.43396226415094,2001
2004,"Cyclotrimethylene-Trinitramine (RDX)",72,1624,15.2219873150106,2001
2005,"Cyclotrimethylene-Trinitramine (RDX)",82,1764,13.9455782312925,2001
2006,"Cyclotrimethylene-Trinitramine (RDX)",95,1999,13.6887608069164,2001
2007,"Cyclotrimethylene-Trinitramine (RDX)",102,1967,14.5922746781116,2001
2008,"Cyclotrimethylene-Trinitramine (RDX)",97,2303,12.9333333333333,2001
2009,"Cyclotrimethylene-Trinitramine (RDX)",103,2372,11.3311331133113,2001
2010,"Cyclotrimethylene-Trinitramine (RDX)",118,2566,11.9554204660588,2001
2011,"Cyclotrimethylene-Trinitramine (RDX)",114,2615,11.875,2001
2012,"Cyclotrimethylene-Trinitramine (RDX)",149,2455,12.4270225187656,2001
2013,"Cyclotrimethylene-Trinitramine (RDX)",151,2496,13.3746678476528,2001
2014,"Cyclotrimethylene-Trinitramine (RDX)",154,2552,12.2319301032566,2001
2015,"Cyclotrimethylene-Trinitramine (RDX)",151,2453,12.7104377104377,2001
2016,"Cyclotrimethylene-Trinitramine (RDX)",183,2768,13.10888252149,2001
2017,"Cyclotrimethylene-Trinitramine (RDX)",192,2933,13.1868131868132,2001
2018,"Cyclotrimethylene-Trinitramine (RDX)",174,2933,12.2881355932203,2001
2019,"Cyclotrimethylene-Trinitramine (RDX)",150,3144,11.1856823266219,2001
2020,"Cyclotrimethylene-Trinitramine (RDX)",152,3043,10.2911306702776,2001
2021,"Cyclotrimethylene-Trinitramine (RDX)",129,2976,10.0545596258769,2001
2022,"Cyclotrimethylene-Trinitramine (RDX)",137,3063,9.56703910614525,2001
2001,"Dinitrotoluene (DNT)",17,1010,5.26315789473684,2001
2002,"Dinitrotoluene (DNT)",14,1079,4.02298850574713,2001
2003,"Dinitrotoluene (DNT)",15,1272,3.5377358490566,2001
2004,"Dinitrotoluene (DNT)",27,1624,5.70824524312896,2001
2005,"Dinitrotoluene (DNT)",25,1764,4.25170068027211,2001
2006,"Dinitrotoluene (DNT)",20,1999,2.88184438040346,2001
2007,"Dinitrotoluene (DNT)",32,1967,4.57796852646638,2001
2008,"Dinitrotoluene (DNT)",40,2303,5.33333333333333,2001
2009,"Dinitrotoluene (DNT)",47,2372,5.17051705170517,2001
2010,"Dinitrotoluene (DNT)",61,2566,6.18034447821682,2001
2011,"Dinitrotoluene (DNT)",55,2615,5.72916666666667,2001
2012,"Dinitrotoluene (DNT)",54,2455,4.50375312760634,2001
2013,"Dinitrotoluene (DNT)",47,2496,4.162976085031,2001
2014,"Dinitrotoluene (DNT)",57,2552,4.527402700556,2001
2015,"Dinitrotoluene (DNT)",47,2453,3.95622895622896,2001
2016,"Dinitrotoluene (DNT)",63,2768,4.51289398280802,2001
2017,"Dinitrotoluene (DNT)",43,2933,2.9532967032967,2001
2018,"Dinitrotoluene (DNT)",49,2933,3.46045197740113,2001
2019,"Dinitrotoluene (DNT)",37,3144,2.75913497390007,2001
2020,"Dinitrotoluene (DNT)",47,3043,3.1821259309411,2001
2021,"Dinitrotoluene (DNT)",37,2976,2.88386593920499,2001
2022,"Dinitrotoluene (DNT)",38,3063,2.6536312849162,2001
2001,"Pentaerythritol Tetranitrate (PETN)",16,1010,4.95356037151703,2001
2002,"Pentaerythritol Tetranitrate (PETN)",12,1079,3.44827586206897,2001
2003,"Pentaerythritol Tetranitrate (PETN)",20,1272,4.71698113207547,2001
2004,"Pentaerythritol Tetranitrate (PETN)",21,1624,4.43974630021142,2001
2005,"Pentaerythritol Tetranitrate (PETN)",24,1764,4.08163265306122,2001
2006,"Pentaerythritol Tetranitrate (PETN)",38,1999,5.47550432276657,2001
2007,"Pentaerythritol Tetranitrate (PETN)",33,1967,4.72103004291846,2001
2008,"Pentaerythritol Tetranitrate (PETN)",43,2303,5.73333333333333,2001
2009,"Pentaerythritol Tetranitrate (PETN)",46,2372,5.06050605060506,2001
2010,"Pentaerythritol Tetranitrate (PETN)",67,2566,6.78824721377913,2001
2011,"Pentaerythritol Tetranitrate (PETN)",45,2615,4.6875,2001
2012,"Pentaerythritol Tetranitrate (PETN)",74,2455,6.17180984153461,2001
2013,"Pentaerythritol Tetranitrate (PETN)",61,2496,5.4030115146147,2001
2014,"Pentaerythritol Tetranitrate (PETN)",65,2552,5.16282764098491,2001
2015,"Pentaerythritol Tetranitrate (PETN)",64,2453,5.38720538720539,2001
2016,"Pentaerythritol Tetranitrate (PETN)",68,2768,4.87106017191977,2001
2017,"Pentaerythritol Tetranitrate (PETN)",62,2933,4.25824175824176,2001
2018,"Pentaerythritol Tetranitrate (PETN)",68,2933,4.80225988700565,2001
2019,"Pentaerythritol Tetranitrate (PETN)",61,3144,4.54884414615958,2001
2020,"Pentaerythritol Tetranitrate (PETN)",72,3043,4.8747461069736,2001
2021,"Pentaerythritol Tetranitrate (PETN)",44,2976,3.4294621979735,2001
2022,"Pentaerythritol Tetranitrate (PETN)",50,3063,3.49162011173184,2001
