"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Liu H.; Chen Z.; Ma Y.; Lv M.; Yin S.; Shang F.; Liu J.","Liu, Huaxin (58779370800); Chen, Zhiyang (59343052700); Ma, Yinhua (57200660685); Lv, Meiheng (57197824789); Yin, Shuhui (14053332500); Shang, Fangjian (57214764092); Liu, Jianyong (27171647000)","58779370800; 59343052700; 57200660685; 57197824789; 14053332500; 57214764092; 27171647000","Theoretical Study on the Synthesis Efficiency and Yield of Imidazole Derivatives Based on the Glyoxal and Diamine","2024","International Journal of Quantum Chemistry","124","19","e27476","","","","0","10.1002/qua.27476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204933567&doi=10.1002%2fqua.27476&partnerID=40&md5=226d090d8c344b74acc74ab13cc51143","Article","Final","","Scopus","2-s2.0-85204933567"
"Endraß S.M.J.; Klapötke T.M.; Lommel M.; Stierstorfer J.; Weidemann M.L.; Werner M.","Endraß, Simon M. J. (57218353039); Klapötke, Thomas M. (7102225410); Lommel, Marcus (57203504231); Stierstorfer, Jörg (22956620000); Weidemann, Martin L. (57249839500); Werner, Melanie (58961254300)","57218353039; 7102225410; 57203504231; 22956620000; 57249839500; 58961254300","1- and 2-Tetrazolylacetonitrile as Versatile Ligands for Laser Ignitable Energetic Coordination Compounds","2024","ChemPlusChem","89","7","e202400031","","","","0","10.1002/cplu.202400031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188958134&doi=10.1002%2fcplu.202400031&partnerID=40&md5=9e61815665e20adbd3c42e00a63a408e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188958134"
"Chen J.; Zhou S.-Y.; Jiang L.; Xie L.-F.; Yang G.-C.; Zhang D.","Chen, Jiu (57219027484); Zhou, Si-Yuan (57384991100); Jiang, Lin (55868484200); Xie, Li-Feng (36128136100); Yang, Guang-Cheng (11641266300); Zhang, Dan (58018066600)","57219027484; 57384991100; 55868484200; 36128136100; 11641266300; 58018066600","Pyrolysis kinetics and reaction mechanism studies of 5-Amino-1H-Tetrazole with thermogravimetry/ differential scanning calorimetry/ Fourier transform infrared analysis","2024","Journal of Analytical and Applied Pyrolysis","181","","106588","","","","1","10.1016/j.jaap.2024.106588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195427724&doi=10.1016%2fj.jaap.2024.106588&partnerID=40&md5=70bf269900faf996010908b8e9dc0ee5","Article","Final","","Scopus","2-s2.0-85195427724"
"Li J.; Wang Y.; Lin K.; Luo Y.","Li, Junzhuo (57202025118); Wang, Yuanjing (58906386000); Lin, Kaifeng (57204324919); Luo, Yiming (55799403000)","57202025118; 58906386000; 57204324919; 55799403000","Recent application of porous materials in explosives: A mini-review","2024","FirePhysChem","4","3","","264","275","11","2","10.1016/j.fpc.2024.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188597956&doi=10.1016%2fj.fpc.2024.03.001&partnerID=40&md5=09c162b83acede6ecad0bde6e774b8f5","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85188597956"
"Wang J.; Xie Z.; Liu J.","Wang, Jingcheng (59169209800); Xie, Zhongyuan (7402267541); Liu, Jing (59169209900)","59169209800; 7402267541; 59169209900","A comprehensive review on flow field properties in polymer mixing processes: a focus on applications in energetic materials","2024","Materials Research Express","11","6","062001","","","","0","10.1088/2053-1591/ad48dc","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195809923&doi=10.1088%2f2053-1591%2fad48dc&partnerID=40&md5=649cce512b63a1323fc2f06d98d04a39","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85195809923"
"Lawrence J.R.; Montoya G.A.; Koeblitz A.D.; Son S.F.","Lawrence, Joseph R. (57222372750); Montoya, Gabriel A. (58184160300); Koeblitz, Austin D. (59124343000); Son, Steven F. (7202529994)","57222372750; 58184160300; 59124343000; 7202529994","Influence and comparison of cylindrical engineered defects on detonation waveshape in a rubberized RDX explosive","2024","Propellants, Explosives, Pyrotechnics","49","6","e202300292","","","","2","10.1002/prep.202300292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192880984&doi=10.1002%2fprep.202300292&partnerID=40&md5=9db925b4e4afc806fefcb5e7e9b117aa","Article","Final","","Scopus","2-s2.0-85192880984"
"Lou W.; Li Z.; Feng H.; Li M.","Lou, Wenzhong (15757538600); Li, Zhipeng (59187986500); Feng, Hengzhen (56978567500); Li, Mingyu (57188823675)","15757538600; 59187986500; 56978567500; 57188823675","Research on Self-Destruction Module of Information Storage Media Based on Semiconductor Bridge and Energetic Materials; [基于半导体桥和含能材料的信息储存介质自毁模块研究]","2024","Beijing Ligong Daxue Xuebao/Transaction of Beijing Institute of Technology","44","6","","579","587","8","0","10.15918/j.tbit1001-0645.2023.151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196790627&doi=10.15918%2fj.tbit1001-0645.2023.151&partnerID=40&md5=305fc020404c0c5638bc2411aa432830","Article","Final","","Scopus","2-s2.0-85196790627"
"Liu Y.; Guo Y.; Li J.; Han K.; An C.; Ma Z.; Wu B.","Liu, Yi (57933180800); Guo, Yunyan (57337850900); Li, Jiafei (58959473700); Han, Kai (57933261600); An, Chongwei (16401020400); Ma, Zhongliang (7403600431); Wu, Bidong (59296074100)","57933180800; 57337850900; 58959473700; 57933261600; 16401020400; 7403600431; 59296074100","Controllable preparation of hexanitrostilbene (HNS) microspheres with multi-cavity structure to enhance safety and combustion performance","2025","Powder Technology","449","","120397","","","","0","10.1016/j.powtec.2024.120397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207365513&doi=10.1016%2fj.powtec.2024.120397&partnerID=40&md5=43de6cc6f25ac8d14de9a24c458f4a44","Article","Final","","Scopus","2-s2.0-85207365513"
"Yu P.-D.; Liu Q.-Q.; Ding X.-Y.; Liu Y.-L.; Gao H.-X.","Yu, Pei-Dong (57956380000); Liu, Qiang-Qiang (7406293731); Ding, Xiao-Yong (55972010600); Liu, Ying-Le (55207246600); Gao, Hai-Xiang (7402971664)","57956380000; 7406293731; 55972010600; 55207246600; 7402971664","Intriguing Fluorine Effect：An Important Factor for Effective Construction Insensitive Energetic Materials; [奇 特 氟 效 应 ：一 个 有 效 构 筑 不 敏 感 含 能 材 料 的 重 要 因 素]","2024","Hanneng Cailiao/Chinese Journal of Energetic Materials","32","6","","641","650","9","1","10.11943/CJEM2024061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197565224&doi=10.11943%2fCJEM2024061&partnerID=40&md5=d561797b3c2f9fe64788abe76f31174f","Article","Final","","Scopus","2-s2.0-85197565224"
"Thoenen M.; Scherschel N.F.; Piercey D.G.","Thoenen, Michael (57219319606); Scherschel, Nicholas F. (57226503129); Piercey, Davin G. (16231187300)","57219319606; 57226503129; 16231187300","Economic, One-Pot Synthesis of Diethyl Furoxan Dicarboxylate","2024","Organic Process Research and Development","28","10","","3808","3812","4","0","10.1021/acs.oprd.4c00191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205935561&doi=10.1021%2facs.oprd.4c00191&partnerID=40&md5=66c3f9f8e9c29d195321bc1cee055c35","Article","Final","","Scopus","2-s2.0-85205935561"
