Country,SE_Percentage
World,23.4309494
Canada,57.91373723
Mexico,45.41006777
USA,39.8871433
Argentina,50.93635596
Brazil,34.94082668
Chile,65.95717563
Colombia,51.82603645
UK,64.3988475
Austria,69.75571927
Belgium,72.0763433
Czechia,54.76770526
Denmark,68.58180041
Finland,66.43262623
France,60.4865888
Germany,55.28224838
Greece,54.53125
Ireland,65.14385692
Italy,49.92558663
Netherlands,66.22151599
Poland,38.20233976
Portugal,57.09240949
Spain,52.399105
Sweden,68.53019203
Norway,65.49604177
Russia,24.43923765
Switzerland,73.06894821
Turkey,27.36725492
Iran,31.27946627
Israel,53.12749284
Saudi Arabia,75.9431608
Egypt,56.83557895
South Africa,57.0218351
China,21.97982035
India,21.80707689
Indonesia,19.96528719
Japan,32.75904485
Malaysia,50.0298904
Pakistan,62.17204219
Singapore,70.43820074
Korea South,30.93224183
Taiwan,41.85163551
Thailand,44.14677369
Vietnam,70.43747529
Australia,61.58866269
New Zealand,63.27453641
