"CountryName","Explosive_List","Frequency","ColourCode","Graph_order_Keywords","Graph_order_Countries","groups","KeywordsCorrected","countfactor","HighResExplosive"
"Australia","2 4 6 trinitrotoluene tnt",5,"black",11,15,"3-5","2 4 6 TRINITROTOLUENE TNT","3-5","2 4 6 trinitrotoluene tnt"
"Australia","2 4 6 trinitrotoluene tnt",5,"black",11,15,"3-5","2 4 6 TRINITROTOLUENE TNT","3-5","2 4 6 trinitrotoluene tnt"
"Brazil","2 4 6 trinitrotoluene tnt",3,"black",11,5,"3-5","2 4 6 TRINITROTOLUENE TNT","3-5","2 4 6 trinitrotoluene tnt"
"Canada","2 4 6 trinitrotoluene tnt",1,"white",11,13,"1","2 4 6 TRINITROTOLUENE TNT","1","2 4 6 trinitrotoluene tnt"
"China","2 4 6 trinitrotoluene tnt",2,"black",11,9,"2","2 4 6 TRINITROTOLUENE TNT","2","2 4 6 trinitrotoluene tnt"
"Israel","2 4 6 trinitrotoluene tnt",1,"black",11,7,"1","2 4 6 TRINITROTOLUENE TNT","1","2 4 6 trinitrotoluene tnt"
"Japan","2 4 6 trinitrotoluene tnt",1,"black",11,3,"1","2 4 6 TRINITROTOLUENE TNT","1","2 4 6 trinitrotoluene tnt"
"Korea South","2 4 6 trinitrotoluene tnt",1,"black",11,1,"1","2 4 6 TRINITROTOLUENE TNT","1","2 4 6 trinitrotoluene tnt"
"Russia","2 4 6 trinitrotoluene tnt",1,"black",11,1,"1","2 4 6 TRINITROTOLUENE TNT","1","2 4 6 trinitrotoluene tnt"
"Spain","2 4 6 trinitrotoluene tnt",1,"black",11,8,"1","2 4 6 TRINITROTOLUENE TNT","1","2 4 6 trinitrotoluene tnt"
"USA","2 4 6 trinitrotoluene tnt",12,"black",11,27,"11-50","2 4 6 TRINITROTOLUENE TNT","11-50","2 4 6 trinitrotoluene tnt"
"Australia","2 4 dinitrotoluene dnt",1,"white",3,15,"1","2 4 DINITROTOLUENE DNT","1","2 4 dinitrotoluene dnt"
"UK","2 4 dinitrotoluene dnt",1,"white",3,13,"1","2 4 DINITROTOLUENE DNT","1","2 4 dinitrotoluene dnt"
"USA","2 4 dinitrotoluene dnt",1,"white",3,27,"1","2 4 DINITROTOLUENE DNT","1","2 4 dinitrotoluene dnt"
"Australia","ammonium nitrate",2,"white",5,15,"2","AMMONIUM NITRATE","2","Ammonium Nitrate"
"France","ammonium nitrate",1,"black",5,6,"1","AMMONIUM NITRATE","1","Ammonium Nitrate"
"Germany","ammonium nitrate",1,"black",5,8,"1","AMMONIUM NITRATE","1","Ammonium Nitrate"
"UK","ammonium nitrate",2,"black",5,13,"2","AMMONIUM NITRATE","2","Ammonium Nitrate"
"USA","ammonium nitrate",3,"white",5,27,"3-5","AMMONIUM NITRATE","3-5","Ammonium Nitrate"
"Malaysia","black powder",1,"black",3,3,"1","BLACK POWDER","1","Black Powder"
"Netherlands","black powder",1,"black",3,6,"1","BLACK POWDER","1","Black Powder"
"USA","black powder",1,"white",3,27,"1","BLACK POWDER","1","Black Powder"
"China","c4",1,"black",2,9,"1","C4","1","C4"
"USA","c4",1,"white",2,27,"1","C4","1","C4"
"Australia","chlorate",3,"white",5,15,"3-5","CHLORATE","3-5","Chlorate"
"France","chlorate",1,"black",5,6,"1","CHLORATE","1","Chlorate"
"Germany","chlorate",2,"black",5,8,"2","CHLORATE","2","Chlorate"
"Spain","chlorate",1,"black",5,8,"1","CHLORATE","1","Chlorate"
"UK","chlorate",1,"white",5,13,"1","CHLORATE","1","Chlorate"
"USA","cyclotrimethylene trinitramine rdx",1,"white",1,27,"1","CYCLOTRIMETHYLENE TRINITRAMINE RDX","1","cyclotrimethylene trinitramine rdx"
"Australia","ethylene glycol dinitrate egdn",1,"white",2,15,"1","ETHYLENE GLYCOL DINITRATE EGDN","1","ethylene glycol dinitrate egdn"
"UK","ethylene glycol dinitrate egdn",1,"white",2,13,"1","ETHYLENE GLYCOL DINITRATE EGDN","1","ethylene glycol dinitrate egdn"
"China","firework",1,"black",9,9,"1","FIREWORK","1","Firework"
"India","firework",2,"black",9,3,"2","FIREWORK","2","Firework"
"Ireland","firework",1,"black",9,1,"1","FIREWORK","1","Firework"
"Italy","firework",1,"black",9,5,"1","FIREWORK","1","Firework"
"Netherlands","firework",1,"black",9,6,"1","FIREWORK","1","Firework"
"Spain","firework",1,"black",9,8,"1","FIREWORK","1","Firework"
"Switzerland","firework",1,"black",9,6,"1","FIREWORK","1","Firework"
"UK","firework",2,"black",9,13,"2","FIREWORK","2","Firework"
"USA","firework",1,"white",9,27,"1","FIREWORK","1","Firework"
"Netherlands","flash powder",1,"black",1,6,"1","FLASH POWDER","1","Flash Powder"
"Brazil","gunpowder",1,"black",6,5,"1","GUNPOWDER","1","Gunpowder"
"India","gunpowder",1,"black",6,3,"1","GUNPOWDER","1","Gunpowder"
"Israel","gunpowder",1,"black",6,7,"1","GUNPOWDER","1","Gunpowder"
"Switzerland","gunpowder",1,"black",6,6,"1","GUNPOWDER","1","Gunpowder"
"UK","gunpowder",1,"white",6,13,"1","GUNPOWDER","1","Gunpowder"
"USA","gunpowder",3,"white",6,27,"3-5","GUNPOWDER","3-5","Gunpowder"
"Canada","hexamethylene triperoxide diamine hmtd",1,"white",1,13,"1","HEXAMETHYLENE TRIPEROXIDE DIAMINE HMTD","1","hexamethylene triperoxide diamine hmtd"
"Canada","homemade explosive hme",1,"white",1,13,"1","HOMEMADE EXPLOSIVE HME","1","homemade explosive hme"
"Canada","homemade explosives",1,"white",6,13,"1","HOMEMADE EXPLOSIVES","1","Homemade Explosives"
"Germany","homemade explosives",1,"black",6,8,"1","HOMEMADE EXPLOSIVES","1","Homemade Explosives"
"Italy","homemade explosives",1,"black",6,5,"1","HOMEMADE EXPLOSIVES","1","Homemade Explosives"
"Malaysia","homemade explosives",1,"black",6,3,"1","HOMEMADE EXPLOSIVES","1","Homemade Explosives"
"Portugal","homemade explosives",1,"black",6,3,"1","HOMEMADE EXPLOSIVES","1","Homemade Explosives"
"USA","homemade explosives",5,"white",6,27,"3-5","HOMEMADE EXPLOSIVES","3-5","Homemade Explosives"
"USA","hydrogen peroxide",2,"white",1,27,"2","HYDROGEN PEROXIDE","2","Hydrogen Peroxide"
"China","inorganic explosives",1,"black",4,9,"1","INORGANIC EXPLOSIVES","1","Inorganic Explosives"
"Netherlands","inorganic explosives",1,"black",4,6,"1","INORGANIC EXPLOSIVES","1","Inorganic Explosives"
"UK","inorganic explosives",1,"white",4,13,"1","INORGANIC EXPLOSIVES","1","Inorganic Explosives"
"USA","inorganic explosives",1,"white",4,27,"1","INORGANIC EXPLOSIVES","1","Inorganic Explosives"
"Canada","methyl ethyl ketone peroxide mekp",1,"white",1,13,"1","METHYL ETHYL KETONE PEROXIDE MEKP","1","methyl ethyl ketone peroxide mekp"
"Czech Republic","nitramine",1,"black",2,3,"1","NITRAMINE","1","Nitramine"
"USA","nitramine",5,"white",2,27,"3-5","NITRAMINE","3-5","Nitramine"
"Australia","nitrate",4,"black",14,15,"3-5","NITRATE","3-5","Nitrate"
"Australia","nitrate",4,"black",14,15,"3-5","NITRATE","3-5","Nitrate"
"Brazil","nitrate",2,"black",14,5,"2","NITRATE","2","Nitrate"
"Canada","nitrate",2,"black",14,13,"2","NITRATE","2","Nitrate"
"China","nitrate",1,"black",14,9,"1","NITRATE","1","Nitrate"
"Czech Republic","nitrate",1,"black",14,3,"1","NITRATE","1","Nitrate"
"France","nitrate",1,"black",14,6,"1","NITRATE","1","Nitrate"
"Germany","nitrate",2,"black",14,8,"2","NITRATE","2","Nitrate"
"India","nitrate",1,"black",14,3,"1","NITRATE","1","Nitrate"
"Israel","nitrate",1,"black",14,7,"1","NITRATE","1","Nitrate"
"Spain","nitrate",1,"black",14,8,"1","NITRATE","1","Nitrate"
"Switzerland","nitrate",2,"black",14,6,"2","NITRATE","2","Nitrate"
"UK","nitrate",4,"black",14,13,"3-5","NITRATE","3-5","Nitrate"
"USA","nitrate",10,"black",14,27,"6-10","NITRATE","6-10","Nitrate"
"China","nitrite",1,"black",2,9,"1","NITRITE","1","Nitrite"
"Malaysia","nitrite",1,"black",2,3,"1","NITRITE","1","Nitrite"
"Australia","nitroaromatic",1,"white",13,15,"1","NITROAROMATIC","1","Nitroaromatic"
"Bosnia and Herzegovina","nitroaromatic",1,"black",13,1,"1","NITROAROMATIC","1","Nitroaromatic"
"China","nitroaromatic",1,"black",13,9,"1","NITROAROMATIC","1","Nitroaromatic"
"Croatia","nitroaromatic",2,"black",13,1,"2","NITROAROMATIC","2","Nitroaromatic"
"France","nitroaromatic",1,"black",13,6,"1","NITROAROMATIC","1","Nitroaromatic"
"Germany","nitroaromatic",1,"black",13,8,"1","NITROAROMATIC","1","Nitroaromatic"
"Iran","nitroaromatic",1,"black",13,1,"1","NITROAROMATIC","1","Nitroaromatic"
"Italy","nitroaromatic",1,"black",13,5,"1","NITROAROMATIC","1","Nitroaromatic"
"Spain","nitroaromatic",1,"black",13,8,"1","NITROAROMATIC","1","Nitroaromatic"
"Sweden","nitroaromatic",1,"black",13,1,"1","NITROAROMATIC","1","Nitroaromatic"
"Switzerland","nitroaromatic",1,"black",13,6,"1","NITROAROMATIC","1","Nitroaromatic"
"UK","nitroaromatic",3,"black",13,13,"3-5","NITROAROMATIC","3-5","Nitroaromatic"
"USA","nitroaromatic",13,"black",13,27,"11-50","NITROAROMATIC","11-50","Nitroaromatic"
"USA","nitrobenzene nb",1,"white",1,27,"1","NITROBENZENE NB","1","nitrobenzene nb"
"Canada","nitrocellulose nc",1,"white",1,13,"1","NITROCELLULOSE NC","1","nitrocellulose nc"
"Czech Republic","nitroester",1,"black",2,3,"1","NITROESTER","1","Nitroester"
"USA","nitroester",1,"white",2,27,"1","NITROESTER","1","Nitroester"
