"Dataset","Line","SampleName","Type","CalLevel","petn_pa","petn_qual57_pa","petn_qual76_pa","petn_qual57_ratio","petn_qual76_ratio","rdx_pa","rdx_qual46_pa","rdx_qual75_pa","rdx_qual46_ratio","rdx_qual75_ratio"
"ABS-S-1",4,"0.2ng RDX PETN           ","Cal",0.2,4732.21202885875,NA,392.351689157998,NA,0.0829108431247997,1169.62413206504,13748.7812204428,11894.2759496373,11.7548713672387,10.1693147598086
"ABS-S-1",5,"2ng RDX PETN             ","Cal",2,64333.2949323719,3428.91489050197,5440.49821612203,0.0532992270037854,0.0845673802630685,8999.36644242489,67261.5544636954,28614.499185155,7.47403218815609,3.17961262809127
"ABS-S-1",6,"4ng RDX PETN             ","Cal",4,148143.265762311,6805.50849679799,12923.045475105,0.0459386963138582,0.0872334318310454,18634.890727394,128461.075885702,49610.1656594435,6.89357816822931,2.66221929525536
"ABS-S-1",7,"6ng RDX PETN             ","Cal",6,252306.890218114,10677.8319340531,22389.2885920662,0.0423208098868102,0.0887383161542324,33666.3560527309,218521.498662852,81263.4254713816,6.49079746915842,2.41378738299151
"ABS-S-1",8,"8ng RDX PETN             ","Cal",8,369448.791749089,14781.7224925499,33731.5263070009,0.040010206617725,0.0913023051105541,48537.5726803948,302739.039415142,112612.401119346,6.23721011779033,2.32010780310059
"ABS-S-1",9,"10ng RDX PETN            ","Cal",10,599726.413419497,25745.2085595241,55966.775604797,0.0429282552568113,0.0933205114073396,83070.739273781,490786.980230823,186936.801967834,5.90806082287661,2.25033271163912
"ABS-S-2",4,"0.2ng RDX PETN           ","Cal",0.2,4842.60735007933,NA,409.027974207993,NA,0.0844644103142685,1214.31788054714,14512.9301648262,11745.7000913308,11.9515082478132,9.67267325919511
"ABS-S-2",5,"2ng RDX PETN             ","Cal",2,66934.6357698233,NA,5719.844042507,NA,0.0854541744602385,8912.8688843106,67654.6009347063,28151.5215258203,7.5906648928494,3.1585252617567
"ABS-S-2",6,"4ng RDX PETN             ","Cal",4,154220.548389599,6252.62195460543,13605.5464612962,0.0405433777787495,0.0882213596266384,18351.460680294,130692.896966772,49507.1187215677,7.12166182537783,2.6977208835877
"ABS-S-2",7,"6ng RDX PETN             ","Cal",6,258522.249091163,10701.7025888498,23320.5057089308,0.0413956733955074,0.0902069581667118,33023.047126737,219299.738639635,80317.214495545,6.64080869939103,2.43215637210282
"ABS-S-2",8,"8ng RDX PETN             ","Cal",8,372730.383776659,15274.0776061639,34251.4192977658,0.0409788905626652,0.0918932847671719,45704.9350543911,295101.231560938,106953.503502414,6.45666012236432,2.34008654372081
"ABS-S-2",9,"10ng RDX PETN            ","Cal",10,618670.213956269,27636.633752917,58297.0996653278,0.0446710268725989,0.0942296854612247,80287.694617569,483842.233772755,181119.614150348,6.02635604468929,2.25588261081686
"Lab10-1",4,"0.2ng RDX PETN           ","Cal",0.2,3199.07597298987,NA,301.811147495002,NA,0.0943432259950138,945.744205959586,11501.9400199377,10077.3499690899,12.1617874552744,10.6554710095898
"Lab10-1",5,"2ng RDX PETN             ","Cal",2,49782.7225647775,2454.666064248,4429.430073955,0.0493075898180132,0.0889752477516955,7476.88327694158,54052.0975366629,23959.9952006384,7.22922848125201,3.20454316500167
"Lab10-1",6,"4ng RDX PETN             ","Cal",4,119138.199423027,5116.42229339598,10736.496943224,0.0429452712746562,0.0901180057716136,16421.3769627645,108758.065491204,43861.1853586626,6.62295651197906,2.6709809693863
"Lab10-1",7,"6ng RDX PETN             ","Cal",6,211099.099674132,8502.10904526094,19266.6017208328,0.0402754396318384,0.0912680430687489,29481.7691578977,187362.662763293,72616.3075131606,6.35520418601139,2.46309192383415
"Lab10-1",8,"8ng RDX PETN             ","Cal",8,321945.413550193,12232.899114542,29547.420495171,0.0379968112595424,0.0917777339001116,44313.2331007891,267383.270771044,103707.073652607,6.0339373153588,2.34031837434945
"Lab10-1",9,"10ng RDX PETN            ","Cal",10,448411.909249093,17036.605518879,41693.759538914,0.0379932048357243,0.0929809371225979,60581.243040814,352492.612526652,135951.680779526,5.81851072763851,2.24412167785885
"Lab17-1",4,"0.2ng RDX PETN           ","Cal",0.2,4655.20265725167,NA,432.658484399998,NA,0.0929408483916423,1308.17323712971,14542.6052310098,13524.7932055348,11.1167273708473,10.3386866675318
"Lab17-1",5,"2ng RDX PETN             ","Cal",2,68433.8787995709,3341.26188298799,6111.57654112999,0.0488246748773933,0.089306300451412,10384.7561950795,73411.1952782942,33132.456690231,7.06913035792577,3.19048960493938
