"RetentionTime","TIC","Mass","Intensity"
155.67702,14184,42,1112.113
155.67702,14184,43,1111.403
155.67702,14184,44,11961.17
155.90202,12819,43,1060.785
155.90202,12819,44,11758.37
156.129,12845,43,1130.602
156.129,12845,44,11715.14
156.35598,13178,43,1210.541
156.35598,13178,44,11968.31
156.58302,13214,43,1222.84
156.58302,13214,44,11991.85
156.83802,13967,41.9,1026.286
156.83802,13967,43,1208.386
156.83802,13967,44,11733.04
157.09398,14215,41.9,1194.173
157.09398,14215,43,1184.449
157.09398,14215,44,11836.49
157.34898,14690,41.9,1194.546
157.34898,14690,43,1138.437
157.34898,14690,44,12357.64
157.60398,14848,42,1102.332
157.60398,14848,43,1123.594
157.60398,14848,44,12622.85
157.86,14627,42,1075.188
157.86,14627,43,1152.245
157.86,14627,44,12399.57
158.115,14399,42,1081.081
158.115,14399,43,1150.228
158.115,14399,44,12168.36
158.37102,14391,42,1098.037
158.37102,14391,43,1092.212
158.37102,14391,44,12201.64
158.62602,14440,42,1114.178
158.62602,14440,42.9,1011.173
158.62602,14440,44,12315.09
158.88102,13572,42,1116.978
158.88102,13572,44,12455.3
159.13602,13759,42,1115.62
159.13602,13759,44,12644.26
159.39102,14857,42,1114.058
159.39102,14857,42.9,1052.91
159.39102,14857,44,12690.13
159.64698,14766,41.9,1102.413
159.64698,14766,42.9,1103.26
159.64698,14766,44,12560.84
159.903,14674,41.9,1063.321
159.903,14674,43,1107.615
159.903,14674,44,12503.86
160.158,14796,41.9,1064.699
160.158,14796,43.1,1087.196
160.158,14796,44,12644.82
160.413,14992,42,1145.583
160.413,14992,43.1,1021.659
160.413,14992,44,12825.66
160.668,13949,42,1174.863
160.668,13949,44,12774.2
160.923,13645,42,1126.772
160.923,13645,44,12519.12
161.17902,14607,41.9,1089.848
161.17902,14607,43,1060.025
161.17902,14607,44,12457.38
161.43498,14954,42,1107.54
161.43498,14954,43,1094.03
161.43498,14954,44,12753.25
161.68998,15324,42,1147.301
161.68998,15324,43,1093.448
161.68998,15324,44,13084.16
161.94498,15454,42,1144.04
161.94498,15454,43,1105.747
161.94498,15454,44,13205.17
162.19998,15541,41.9,1131.447
162.19998,15541,43,1119.307
162.19998,15541,44,13291.06
162.456,15555,41.9,1069.193
162.456,15555,43,1072.774
162.456,15555,44,13413.62
162.711,14365,42,1045.215
162.711,14365,44,13320.43
162.96702,14281,42,1152.831
162.96702,14281,44,13128.4
163.22202,14431,42,1257.419
163.22202,14431,44,13173.84
163.47702,14534,42,1211.132
163.47702,14534,44,13323.1
163.73298,14574,41.9,1114.055
163.73298,14574,44,13459.98
163.98798,14747,41.9,1016.34
163.98798,14747,44,13730.87
164.244,14100,44,14100.88
164.499,15514,41.9,1028.405
164.499,15514,44,14486.04
164.754,15837,42,1103.608
164.754,15837,44,14733.77
165.01002,15709,42,1088.851
165.01002,15709,44,14620.71
165.26502,15406,42,1042.733
165.26502,15406,44,14363.92
165.52002,15314,42,1075.362
165.52002,15314,44,14239.48
165.77502,15215,42,1161.378
