"X","SampleName","SampleType","Position","MethodName","MethodPath","SamplePath","DataName","Type","Dilution","Volume","Size","QuantWeight","TotalWeight","Date","File","Q.P.IS","I.S.PA","Q.P.Etizolam","PA","ratio","ValuesPositive","calibration","CorrectedConcentration","ConcentrationMg","SampleTotal","EtizolamPercentage","TotalEtizolam"
1,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223001,"Blank",NA,NA,NA,NA,NA,220223,"220223001.csv",390.933,5214347.703,390.933,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"25ug/mL Etizolam","Cal",2,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223002,"Cal",NA,NA,NA,NA,NA,220223,"220223002.csv",390.651,4773729.153,613.797,728085.954,0.152519326,NA,NA,NA,NA,NA,NA,NA
3,"50ug/mL Etizolam","Cal",3,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223003,"Cal",NA,NA,NA,NA,NA,220223,"220223003.csv",390.351,4894456.505,614.3538,2456317.954,0.501857142,NA,NA,NA,NA,NA,NA,NA
4,"75ug/mL Etizolam","Cal",4,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223004,"Cal",NA,NA,NA,NA,NA,220223,"220223004.csv",390.363,4926090.042,614.9382,4421594.015,0.897586925,NA,NA,NA,NA,NA,NA,NA
5,"100ug/mL Etizolam","Cal",5,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223005,"Cal",NA,NA,NA,NA,NA,220223,"220223005.csv",390.354,5246817.316,615.4998,7800642.533,1.486737972,NA,NA,NA,NA,NA,NA,NA
6,"150ug/mL Etizolam","Cal",6,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223006,"Cal",NA,NA,NA,NA,NA,220223,"220223006.csv",390.63798,5584847.968,616.356,13887590.37,2.486655045,NA,NA,NA,NA,NA,NA,NA
7,"200ug/mL Etizolam","Cal",7,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223007,"Cal",NA,NA,NA,NA,NA,220223,"220223007.csv",390.351,5692172.808,617.2122,20616008.5,3.621817044,NA,NA,NA,NA,NA,NA,NA
8,"250ug/mL Etizolam","Cal",8,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223008,"Cal",NA,NA,NA,NA,NA,220223,"220223008.csv",390.37602,5857962.164,617.808,27154588.49,4.635500834,NA,NA,NA,NA,NA,NA,NA
9,"MEOH BLK","Blank",1,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223009,"Blank",NA,NA,NA,NA,NA,220223,"220223009.csv",390.35802,6083473.256,390.35802,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"40ug/mL Etizolam Check standard","Check Standard",9,"D:\MassHunter\GCMS\1\methods","benzodiazepines_GCMS_10split_2022.M","D:\MassHunter\GCMS\1\data\Victoria Marland\22FEB",220223010,"Sample",NA,NA,NA,NA,NA,220223,"220223010.csv",390.366,5449628.071,614.0832,1944533.358,0.356819462,40.3502117080396,NA,NA,NA,NA,NA,NA
