"Year","Keyword","x","Incidenceweight"
2010,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",2,"1-2"
2012,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",1,"1-2"
2014,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",3,"3-5"
2015,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",1,"1-2"
2018,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",2,"1-2"
2019,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",2,"1-2"
2020,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",3,"3-5"
2021,"1,3,5-Triamino-2,4,6-Trinitrobenzene (TATB)",1,"1-2"
2005,"2,4-Dinitrotoluene (DNT)",1,"1-2"
2007,"2,4-Dinitrotoluene (DNT)",1,"1-2"
2008,"2,4-Dinitrotoluene (DNT)",2,"1-2"
2009,"2,4-Dinitrotoluene (DNT)",2,"1-2"
2010,"2,4-Dinitrotoluene (DNT)",2,"1-2"
2011,"2,4-Dinitrotoluene (DNT)",3,"3-5"
2012,"2,4-Dinitrotoluene (DNT)",2,"1-2"
2015,"2,4-Dinitrotoluene (DNT)",2,"1-2"
2016,"2,4-Dinitrotoluene (DNT)",1,"1-2"
2017,"2,4-Dinitrotoluene (DNT)",2,"1-2"
2018,"2,4-Dinitrotoluene (DNT)",3,"3-5"
2019,"2,4-Dinitrotoluene (DNT)",1,"1-2"
2020,"2,4-Dinitrotoluene (DNT)",1,"1-2"
2021,"2,4-Dinitrotoluene (DNT)",1,"1-2"
2001,"2,4,6-Trinitrotoluene (TNT)",1,"1-2"
2002,"2,4,6-Trinitrotoluene (TNT)",2,"1-2"
2003,"2,4,6-Trinitrotoluene (TNT)",3,"3-5"
2004,"2,4,6-Trinitrotoluene (TNT)",1,"1-2"
2005,"2,4,6-Trinitrotoluene (TNT)",2,"1-2"
2007,"2,4,6-Trinitrotoluene (TNT)",13,"10-14"
2008,"2,4,6-Trinitrotoluene (TNT)",17,"15-19"
2009,"2,4,6-Trinitrotoluene (TNT)",23,"20-24"
2010,"2,4,6-Trinitrotoluene (TNT)",26,"25-29"
2011,"2,4,6-Trinitrotoluene (TNT)",22,"20-24"
2012,"2,4,6-Trinitrotoluene (TNT)",30,"30-39"
2013,"2,4,6-Trinitrotoluene (TNT)",16,"15-19"
2014,"2,4,6-Trinitrotoluene (TNT)",24,"20-24"
2015,"2,4,6-Trinitrotoluene (TNT)",16,"15-19"
2016,"2,4,6-Trinitrotoluene (TNT)",13,"10-14"
2017,"2,4,6-Trinitrotoluene (TNT)",14,"10-14"
2018,"2,4,6-Trinitrotoluene (TNT)",10,"10-14"
2019,"2,4,6-Trinitrotoluene (TNT)",18,"15-19"
