"Year","Explosive_List","Count","YearTotal","Percentage","graphorder"
2001,"2,4,6-Trinitrotoluene (TNT)",65,1010,20.1238390092879,2001
2002,"2,4,6-Trinitrotoluene (TNT)",61,1079,17.5287356321839,2001
2003,"2,4,6-Trinitrotoluene (TNT)",69,1272,16.3120567375887,2001
2004,"2,4,6-Trinitrotoluene (TNT)",101,1624,21.3080168776371,2001
2005,"2,4,6-Trinitrotoluene (TNT)",102,1764,17.4061433447099,2001
2006,"2,4,6-Trinitrotoluene (TNT)",107,1999,15.4178674351585,2001
2007,"2,4,6-Trinitrotoluene (TNT)",134,1967,19.2252510760402,2001
2008,"2,4,6-Trinitrotoluene (TNT)",159,2303,21.2,2001
2009,"2,4,6-Trinitrotoluene (TNT)",188,2372,20.704845814978,2001
2010,"2,4,6-Trinitrotoluene (TNT)",190,2566,19.2502532928065,2001
2011,"2,4,6-Trinitrotoluene (TNT)",209,2615,21.8619246861925,2001
2012,"2,4,6-Trinitrotoluene (TNT)",237,2455,19.8658843252305,2001
2013,"2,4,6-Trinitrotoluene (TNT)",235,2496,20.8888888888889,2001
2014,"2,4,6-Trinitrotoluene (TNT)",226,2552,17.9507545671168,2001
2015,"2,4,6-Trinitrotoluene (TNT)",222,2453,18.6868686868687,2001
2016,"2,4,6-Trinitrotoluene (TNT)",197,2768,14.0915593705293,2001
2017,"2,4,6-Trinitrotoluene (TNT)",223,2933,15.3159340659341,2001
2018,"2,4,6-Trinitrotoluene (TNT)",214,2933,15.1236749116608,2001
2019,"2,4,6-Trinitrotoluene (TNT)",220,3144,16.4424514200299,2001
2020,"2,4,6-Trinitrotoluene (TNT)",264,3043,17.8619756427605,2001
2021,"2,4,6-Trinitrotoluene (TNT)",217,2976,16.8740279937792,2001
2022,"2,4,6-Trinitrotoluene (TNT)",237,3063,16.5041782729805,2001
2001,"Cyclotetramethylene-Tetranitramine (HMX)",27,1010,8.35913312693498,2001
2002,"Cyclotetramethylene-Tetranitramine (HMX)",34,1079,9.77011494252874,2001
2003,"Cyclotetramethylene-Tetranitramine (HMX)",42,1272,9.9290780141844,2001
2004,"Cyclotetramethylene-Tetranitramine (HMX)",55,1624,11.6033755274262,2001
2005,"Cyclotetramethylene-Tetranitramine (HMX)",55,1764,9.38566552901024,2001
2006,"Cyclotetramethylene-Tetranitramine (HMX)",87,1999,12.536023054755,2001
2007,"Cyclotetramethylene-Tetranitramine (HMX)",69,1967,9.89956958393113,2001
2008,"Cyclotetramethylene-Tetranitramine (HMX)",69,2303,9.2,2001
2009,"Cyclotetramethylene-Tetranitramine (HMX)",78,2372,8.59030837004405,2001
2010,"Cyclotetramethylene-Tetranitramine (HMX)",90,2566,9.11854103343465,2001
2011,"Cyclotetramethylene-Tetranitramine (HMX)",71,2615,7.42677824267782,2001
2012,"Cyclotetramethylene-Tetranitramine (HMX)",124,2455,10.3939647946354,2001
2013,"Cyclotetramethylene-Tetranitramine (HMX)",112,2496,9.95555555555556,2001
2014,"Cyclotetramethylene-Tetranitramine (HMX)",113,2552,8.97537728355838,2001
2015,"Cyclotetramethylene-Tetranitramine (HMX)",100,2453,8.41750841750842,2001
2016,"Cyclotetramethylene-Tetranitramine (HMX)",122,2768,8.72675250357654,2001
2017,"Cyclotetramethylene-Tetranitramine (HMX)",172,2933,11.8131868131868,2001
2018,"Cyclotetramethylene-Tetranitramine (HMX)",145,2933,10.2473498233216,2001
2019,"Cyclotetramethylene-Tetranitramine (HMX)",137,3144,10.2391629297459,2001
2020,"Cyclotetramethylene-Tetranitramine (HMX)",159,3043,10.7577807848444,2001
2021,"Cyclotetramethylene-Tetranitramine (HMX)",123,2976,9.56454121306376,2001
2022,"Cyclotetramethylene-Tetranitramine (HMX)",139,3063,9.67966573816156,2001
2001,"Cyclotrimethylene-Trinitramine (RDX)",39,1010,12.0743034055728,2001
2002,"Cyclotrimethylene-Trinitramine (RDX)",47,1079,13.5057471264368,2001
2003,"Cyclotrimethylene-Trinitramine (RDX)",40,1272,9.45626477541371,2001
2004,"Cyclotrimethylene-Trinitramine (RDX)",72,1624,15.1898734177215,2001
2005,"Cyclotrimethylene-Trinitramine (RDX)",82,1764,13.9931740614334,2001
2006,"Cyclotrimethylene-Trinitramine (RDX)",95,1999,13.6887608069164,2001
2007,"Cyclotrimethylene-Trinitramine (RDX)",102,1967,14.6341463414634,2001
2008,"Cyclotrimethylene-Trinitramine (RDX)",97,2303,12.9333333333333,2001
2009,"Cyclotrimethylene-Trinitramine (RDX)",103,2372,11.3436123348018,2001
2010,"Cyclotrimethylene-Trinitramine (RDX)",118,2566,11.9554204660588,2001
2011,"Cyclotrimethylene-Trinitramine (RDX)",114,2615,11.9246861924686,2001
2012,"Cyclotrimethylene-Trinitramine (RDX)",149,2455,12.4895222129086,2001
2013,"Cyclotrimethylene-Trinitramine (RDX)",151,2496,13.4222222222222,2001
2014,"Cyclotrimethylene-Trinitramine (RDX)",154,2552,12.2319301032566,2001
2015,"Cyclotrimethylene-Trinitramine (RDX)",151,2453,12.7104377104377,2001
2016,"Cyclotrimethylene-Trinitramine (RDX)",183,2768,13.0901287553648,2001
2017,"Cyclotrimethylene-Trinitramine (RDX)",192,2933,13.1868131868132,2001
2018,"Cyclotrimethylene-Trinitramine (RDX)",174,2933,12.2968197879859,2001
2019,"Cyclotrimethylene-Trinitramine (RDX)",150,3144,11.2107623318386,2001
2020,"Cyclotrimethylene-Trinitramine (RDX)",152,3043,10.2841677943166,2001
2021,"Cyclotrimethylene-Trinitramine (RDX)",129,2976,10.0311041990669,2001
2022,"Cyclotrimethylene-Trinitramine (RDX)",137,3063,9.54038997214485,2001
2001,"Dinitrotoluene (DNT)",17,1010,5.26315789473684,2001
2002,"Dinitrotoluene (DNT)",14,1079,4.02298850574713,2001
2003,"Dinitrotoluene (DNT)",15,1272,3.54609929078014,2001
2004,"Dinitrotoluene (DNT)",27,1624,5.69620253164557,2001
2005,"Dinitrotoluene (DNT)",25,1764,4.26621160409556,2001
2006,"Dinitrotoluene (DNT)",20,1999,2.88184438040346,2001
2007,"Dinitrotoluene (DNT)",32,1967,4.59110473457676,2001
2008,"Dinitrotoluene (DNT)",40,2303,5.33333333333333,2001
2009,"Dinitrotoluene (DNT)",47,2372,5.17621145374449,2001
2010,"Dinitrotoluene (DNT)",61,2566,6.18034447821682,2001
2011,"Dinitrotoluene (DNT)",55,2615,5.75313807531381,2001
2012,"Dinitrotoluene (DNT)",54,2455,4.52640402347024,2001
2013,"Dinitrotoluene (DNT)",47,2496,4.17777777777778,2001
2014,"Dinitrotoluene (DNT)",57,2552,4.527402700556,2001
2015,"Dinitrotoluene (DNT)",47,2453,3.95622895622896,2001
2016,"Dinitrotoluene (DNT)",63,2768,4.50643776824034,2001
2017,"Dinitrotoluene (DNT)",43,2933,2.9532967032967,2001
2018,"Dinitrotoluene (DNT)",49,2933,3.46289752650177,2001
2019,"Dinitrotoluene (DNT)",37,3144,2.76532137518685,2001
2020,"Dinitrotoluene (DNT)",47,3043,3.17997293640054,2001
2021,"Dinitrotoluene (DNT)",37,2976,2.87713841368585,2001
2022,"Dinitrotoluene (DNT)",38,3063,2.64623955431755,2001
2001,"Pentaerythritol Tetranitrate (PETN)",16,1010,4.95356037151703,2001
2002,"Pentaerythritol Tetranitrate (PETN)",12,1079,3.44827586206897,2001
2003,"Pentaerythritol Tetranitrate (PETN)",20,1272,4.72813238770686,2001
2004,"Pentaerythritol Tetranitrate (PETN)",21,1624,4.43037974683544,2001
2005,"Pentaerythritol Tetranitrate (PETN)",24,1764,4.09556313993174,2001
2006,"Pentaerythritol Tetranitrate (PETN)",38,1999,5.47550432276657,2001
2007,"Pentaerythritol Tetranitrate (PETN)",33,1967,4.73457675753228,2001
2008,"Pentaerythritol Tetranitrate (PETN)",43,2303,5.73333333333333,2001
2009,"Pentaerythritol Tetranitrate (PETN)",46,2372,5.06607929515418,2001
2010,"Pentaerythritol Tetranitrate (PETN)",67,2566,6.78824721377913,2001
2011,"Pentaerythritol Tetranitrate (PETN)",45,2615,4.7071129707113,2001
2012,"Pentaerythritol Tetranitrate (PETN)",74,2455,6.20284995808885,2001
2013,"Pentaerythritol Tetranitrate (PETN)",61,2496,5.42222222222222,2001
2014,"Pentaerythritol Tetranitrate (PETN)",65,2552,5.16282764098491,2001
2015,"Pentaerythritol Tetranitrate (PETN)",64,2453,5.38720538720539,2001
2016,"Pentaerythritol Tetranitrate (PETN)",68,2768,4.86409155937053,2001
2017,"Pentaerythritol Tetranitrate (PETN)",62,2933,4.25824175824176,2001
2018,"Pentaerythritol Tetranitrate (PETN)",68,2933,4.80565371024735,2001
2019,"Pentaerythritol Tetranitrate (PETN)",61,3144,4.55904334828102,2001
2020,"Pentaerythritol Tetranitrate (PETN)",72,3043,4.87144790257104,2001
2021,"Pentaerythritol Tetranitrate (PETN)",44,2976,3.42146189735614,2001
2022,"Pentaerythritol Tetranitrate (PETN)",50,3063,3.48189415041783,2001
