"DOI","Link","Abstract","EID"
"10.1002/prep.201400203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032070381&doi=10.1002%2fprep.201400203&partnerID=40&md5=ec6b8437a9a215393b1cb76983d4072e","In order to investigate the effects of binder component on the creep properties of polymer-bonded explosive (PBX), three-point bending creep behaviors of 1,3,5-triamino-2,4,6-trinitrobenzene (TATB)-based PBX and its styrene copolymer modified formulation were studied by dynamic mechanical analyzer. The experimental results showed that owing to the addition of reinforcing agent (styrene copolymer) with high glass transition temperature and high mechanical strength, the creep resistance performance of the modified formulation was improved with reduced creep strain and constant creep rate and prolonged creep failure time. A six-element mechanical model was applied to simulate the creep behaviors of TATB-based PBX and its modified formulation. The constitutive equation of creep curves under different conditions were obtained by nonlinear fit. The predicted theoretical results coincided quite well with the experimental data. © 2015 WILEY-VCH Verlag GmbH and Co. KGaA, Weinheim.","2-s2.0-85032070381"
"10.1007/s00216-015-9043-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954379972&doi=10.1007%2fs00216-015-9043-1&partnerID=40&md5=d75b1a91ea68c1ed7ad7291cd11a4a20","The number and capability of explosives detection and analysis methods have increased dramatically since publication of the Analytical and Bioanalytical Chemistry special issue devoted to Explosives Analysis [Moore DS, Goodpaster JV, Anal Bioanal Chem 395:245-246, 2009]. Here we review and critically evaluate the latest (the past five years) important advances in explosives detection, with details of the improvements over previous methods, and suggest possible avenues towards further advances in, e.g., stand-off distance, detection limit, selectivity, and penetration through camouflage or packaging. The review consists of two parts. Part I discussed methods based on animals, chemicals (including colorimetry, molecularly imprinted polymers, electrochemistry, and immunochemistry), ions (both ion-mobility spectrometry and mass spectrometry), and mechanical devices. This part, Part II, will review methods based on photons, from very energetic photons including X-rays and gamma rays down to the terahertz range, and neutrons. © 2015 Springer-Verlag Berlin Heidelberg (outside the USA).","2-s2.0-84954379972"
"10.1002/prep.201500124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958850112&doi=10.1002%2fprep.201500124&partnerID=40&md5=6d0041bb3e382c665dbbc0e699efb9cb","Ammonium nitrate (AN), gunpowder (GP), and an ammonium nitrate gunpowder mixture (AN/GP) were studied for impact sensitivity by four laboratories using the drop hammer apparatus. Bruceton and Neyer methods were used as experimental protocols and for data reduction. The results are presented as 50 % probability of reaction (DH50). For AN, the DH50 values are widely varied among the participants, from sensitive to completely insensitive (limit of the equipment), with no real correlation among results. GP and the AN/GP mixture exhibited much more sensitivity overall and were in some cases within statistical values extrapolated from previous studies of RDX. The variability in results for the AN data is attributed to the difficulty in determining a positive reaction event for AN, as detailed by Neyer experiments and photography during positive reactions. Variability in results for the GP and AN/GP mixtures is attributed to equipment environment and detection criteria. This work was performed by the Integrated Data Collection Analysis (IDCA) program, a multi-laboratory effort to standardize safety testing of improvised or homemade explosives funded by the Department of Homeland Security. © 2016 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.","2-s2.0-84958850112"
"10.1002/prep.201400220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932647734&doi=10.1002%2fprep.201400220&partnerID=40&md5=9feb9c2b73c72d0314f730ca9ed26cbc","The targeted high nitrogen energetic material 1-(2H-tetrazol-5-yl)-1,2,4-triazol-5-amine (TzTA) was synthesized from 3-amino-1,2,4-triazole via a two-step procedure using cyanogen bromide and sodium azide. TzTA was prepared in good yields and characterized using analytical (elemental) and spectroscopic (IR, Raman, NMR) techniques. The crystal structure of sulfate salt of the molecule was solved by means of low temperature X-ray crystallography, which showed the co-planarity of the two rings. The sulfate salt of the molecule crystallized in monoclinic system P21/n, with a crystal density of 1.856gâ€‰cm-3. The thermal stability of the molecule was assessed by DSC. The molecule showed excellent thermal stability better than many known nitrogen rich energetic molecules and showed comparable thermal stability with HMX. Non-isothermal kinetics was performed on the molecule to derive the activation energy. Constant volume combustion energy was determined using oxygen bomb calorimeter and back calculated the heat of formation. Preliminary insight on the gas generating capability of the molecule was tested by measuring the dynamic pressure generated inside a closed bomb. Dynamic pressure of an oxygen balanced system (TzTA and ADN) was also measured using the Parr dynamic pressure measurement system. © 2015 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.","2-s2.0-84932647734"
"10.1016/j.chroma.2015.11.054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953348907&doi=10.1016%2fj.chroma.2015.11.054&partnerID=40&md5=671e53ab942eb28b23c49741a1ba50d1","A novel analytical method has been developed for the quantitation of trace levels of ammonia in the headspace of ammonium nitrate (AN) using derivatized solid phase microextraction (SPME) fibers with gas chromatography mass spectrometry (GC-MS). Ammonia is difficult to detect via direct injection into a GC-MS because of its low molecular weight and extreme polarity. To circumvent this issue, ammonia was derivatized directly onto a SPME fiber by the reaction of butyl chloroformate coated fibers with the ammonia to form butyl carbamate. A derivatized externally sampled internal standard (dESIS) method based upon the reactivity of diethylamine with unreacted butyl chloroformate on the SPME fiber to form butyl diethylcarbamate was established for the reproducible quantification of ammonia concentration. Both of these compounds are easily detectable and separable via GC-MS. The optimized method was then used to quantitate the vapor concentration of ammonia in the headspace of two commonly used improvised explosive device (IED) materials, ammonium nitrate fuel oil (ANFO) and ammonium nitrate aluminum powder (Ammonal), as well as identify the presence of additional fuel components within the headspace. © 2015.","2-s2.0-84953348907"
"10.1016/j.talanta.2015.05.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930937020&doi=10.1016%2fj.talanta.2015.05.052&partnerID=40&md5=3d6d4b4f71268fa6bc3ee78e880f1ec8","Abstract The applicability of acid degradation of organic peroxides into hydrogen peroxide in a pneumatically driven flow injection system with chemiluminescence reaction with luminol and Cu2+ as a catalyst (FIA-CL) was investigated for the fast and sensitive detection of organic peroxide explosives (OPEs). The target OPEs included hexamethylene triperoxide diamine (HMTD), triacetone triperoxide (TATP) and methylethyl ketone peroxide (MEKP). Under optimised conditions maximum degradations of 70% and 54% for TATP and HMTD, respectively were achieved at 162 μL min-1, and 9% degradation for MEKP at 180 μL min-1. Flow rates were precisely controlled in this single source pneumatic pressure driven multi-channel FIA system by model experiments on mixing of easily detectable component solutions. The linear range for detection of TATP, HMTD and H2O2 was 1-200 μM (r2=0.98-0.99) at both flow rates, while that for MEKP was 20-200 μM (r2=0.97) at 180 μL min-1. The detection limits (LODs) obtained were 0.5 μM for TATP, HMTD and H2O2 and 10 μM for MEKP. The detection times varied from 1.5 to 3 min in this FIA-CL system. Whilst the LOD for H2O2 was comparable with those reported by other investigators, the LODs and analysis times for TATP and HMTD were superior, and significantly, this is the first time the detection of MEKP has been reported by FIA-CL. © 2015 Elsevier B.V.","2-s2.0-84930937020"
"10.1016/j.talanta.2015.11.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949439584&doi=10.1016%2fj.talanta.2015.11.070&partnerID=40&md5=26d1f846472b43b069bc678818b5abaf","Specific analytical procedures are requested for the forensic analysis of pre- and post-blast consumer firework samples, which present significant challenges. Up to date, vibrational spectroscopic techniques such as Fourier transform infrared spectroscopy (FTIR) have not been tested for the analysis of post-blast residues in spite of their interesting strengths for the forensic field. Therefore, this work proposes a simple and fast procedure for the sampling and analysis of consumer firework post-blast residues by a portable FTIR instrument with an Attenuated Total Reflection (ATR) accessory. In addition, the post-blast residues spectra of several consumer fireworks were studied in order to achieve the identification of their original chemical compositions. Hence, this work analysed 22 standard reagents usually employed to make consumer fireworks, or because they are related to their combustion products. Then, 5 different consumer fireworks were exploded, and their residues were sampled with dry cotton swabs and directly analysed by ATR-FTIR. In addition, their pre-blast fuses and charges were also analysed in order to stablish a proper comparison. As a result, the identification of the original chemical compositions of the post-blast samples was obtained. Some of the compounds found were potassium chlorate, barium nitrate, potassium nitrate, potassium perchlorate or charcoal. An additional study involving chemometric tools found that the results might greatly depend on the swab head type used for the sampling, and its sampling efficiency. The proposed procedure could be used as a complementary technique for the analysis of consumer fireworks post-blast residues. © 2015 Elsevier B.V.","2-s2.0-84949439584"
"10.1002/rcm.7229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935496212&doi=10.1002%2frcm.7229&partnerID=40&md5=3b6d48c92d587f92da6e0a676af219ca","Rationale Elemental analyzer systems generate N2 and CO2 for elemental composition and isotope ratio measurements. As quantitative conversion of nitrogen in some materials (i.e., nitrate salts and nitro-organic compounds) is difficult, this study tests a recently published method - thermal decomposition without the addition of O2 - for the analysis of these materials. Methods Elemental analyzer/isotope ratio mass spectrometry (EA/IRMS) was used to compare the traditional combustion method (CM) and the thermal decomposition method (TDM), where additional O2 is eliminated from the reaction. The comparisons used organic and inorganic materials with oxidized and/or reduced nitrogen and included ureas, nitrate salts, ammonium sulfate, nitro esters, and nitramines. Previous TDM applications were limited to nitrate salts and ammonium sulfate. The measurement precision and accuracy were compared to determine the effectiveness of converting materials containing different fractions of oxidized nitrogen into N2. Results The δ13CVPDB values were not meaningfully different when measured via CM or TDM, allowing for the analysis of multiple elements in one sample. For materials containing oxidized nitrogen, 15N measurements made using thermal decomposition were more precise than those made using combustion. The precision was similar between the methods for materials containing reduced nitrogen. The %N values were closer to theoretical when measured by TDM than by CM. The δ15NAIR values of purchased nitrate salts and ureas were nearer to the known values when analyzed using thermal decomposition than using combustion. Conclusions The thermal decomposition method addresses insufficient recovery of nitrogen during elemental analysis in a variety of organic and inorganic materials. Its implementation requires relatively few changes to the elemental analyzer. Using TDM, it is possible to directly calibrate certain organic materials to international nitrate isotope reference materials without off-line preparation. Copyright © 2015 John Wiley & Sons, Ltd.","2-s2.0-84935496212"
"10.1007/s12127-015-0185-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960194887&doi=10.1007%2fs12127-015-0185-9&partnerID=40&md5=dc3a5e138fccee38d87646bcea0d0ed3","Sample collection for Ion Mobility Spectrometry (IMS) analysis is typically completed by swiping a collection wipe over a suspect surface to collect trace residues. The work presented here addresses the need for a method to measure the collection efficiency performance of surface wipe materials as a function of the number of times a wipe is used to interrogate a surface. The primary purpose of this study is to investigate the effect of wipe reuse, i.e., the number of times a wipe is swiped across a surface, on the overall particle collection and IMS response. Two types of collection wipes (Teflon coated fiberglass and Nomex) were examined by swiping multiple times, ranging from 0 to 1000, over representative surfaces that are common to security screening environments. Particle collection efficiencies were determined by fluorescence microscopy and particle counting techniques, and were shown to improve dramatically with increased number of swiping cycles. Ion mobility spectrometry was used to evaluate the chemical response of known masses of explosives (deposited after reusing wipes) as a function of the wipe reuse number. Results show that chemical response can be negatively affected, and greatly depends upon the conditions of the surface in which the wipe is interrogating. For most parameters tested, the PCE increased after the wipe was reused several times. Swiping a dusty cardboard surface multiple times also caused an increase in particle collection efficiency but a decrease in IMS response. Scanning electron microscopy images revealed significant surface degradation of the wipes on dusty cardboard at the micrometer spatial scale level for Teflon coated wipes. Additionally, several samples were evaluated by including a seven second thermal desorption cycle at 235°C into each swipe sampling interval in order to represent the IMS heating cycle. Results were similar to studies conducted without this heating cycle, suggesting that the primary mechanism for wipe deterioration is mechanical rather than thermal. © 2015, The Author(s).","2-s2.0-84960194887"
"10.1002/rcm.7469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957309859&doi=10.1002%2frcm.7469&partnerID=40&md5=2f1b65cd71ae3e0aac0575a800898ed8","Rationale Fast methods that allow the in situ analysis of explosives from a variety of surfaces are needed in crime scene investigations and home-land security. Here, the feasibility of the ambient mass spectrometry technique desorption atmospheric pressure photoionization (DAPPI) in the analysis of the most common nitrogen-based explosives is studied. Methods DAPPI and desorption electrospray ionization (DESI) were compared in the direct analysis of trinitrotoluene (TNT), trinitrophenol (picric acid), octogen (HMX), cyclonite (RDX), pentaerythritol tetranitrate (PETN), and nitroglycerin (NG). The effect of different additives in DAPPI dopant and in DESI spray solvent on the ionization efficiency was tested, as well as the suitability of DAPPI to detect explosives from a variety of surfaces. Results The analytes showed ions only in negative ion mode. With negative DAPPI, TNT and picric acid formed deprotonated molecules with all dopant systems, while RDX, HMX, PETN and NG were ionized by adduct formation. The formation of adducts was enhanced by addition of chloroform, formic acid, acetic acid or nitric acid to the DAPPI dopant. DAPPI was more sensitive than DESI for TNT, while DESI was more sensitive for HMX and picric acid. Conclusions DAPPI could become an important method for the direct analysis of nitroaromatics from a variety of surfaces. For compounds that are thermally labile, or that have very low vapor pressure, however, DESI is better suited. © 2016 John Wiley & Sons, Ltd.","2-s2.0-84957309859"
