"Year","Keyword","x","Incidenceweight"
1992,"2,4,6-TRINITROTOLUENE (TNT)",1,"1"
1995,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
1996,"2,4,6-TRINITROTOLUENE (TNT)",1,"1"
1997,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
1999,"2,4,6-TRINITROTOLUENE (TNT)",1,"1"
2001,"2,4,6-TRINITROTOLUENE (TNT)",2,"2"
2002,"2,4,6-TRINITROTOLUENE (TNT)",7,"7"
2003,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2004,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2006,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2007,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
2008,"2,4,6-TRINITROTOLUENE (TNT)",7,"7"
2009,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2010,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
2011,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
2012,"2,4,6-TRINITROTOLUENE (TNT)",1,"1"
2013,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2014,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2015,"2,4,6-TRINITROTOLUENE (TNT)",4,"4"
2016,"2,4,6-TRINITROTOLUENE (TNT)",6,"6"
2017,"2,4,6-TRINITROTOLUENE (TNT)",2,"2"
2018,"2,4,6-TRINITROTOLUENE (TNT)",7,"7"
2019,"2,4,6-TRINITROTOLUENE (TNT)",8,"8"
2020,"2,4,6-TRINITROTOLUENE (TNT)",5,"5"
2021,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
2022,"2,4,6-TRINITROTOLUENE (TNT)",3,"3"
2023,"2,4,6-TRINITROTOLUENE (TNT)",8,"8"
2024,"2,4,6-TRINITROTOLUENE (TNT)",2,"2"
2001,"ADSORPTION",1,"1"
2006,"ADSORPTION",1,"1"
2007,"ADSORPTION",1,"1"
2008,"ADSORPTION",1,"1"
2011,"ADSORPTION",2,"2"
2012,"ADSORPTION",1,"1"
2014,"ADSORPTION",1,"1"
2015,"ADSORPTION",1,"1"
2019,"ADSORPTION",2,"2"
2020,"ADSORPTION",1,"1"
2021,"ADSORPTION",1,"1"
2022,"ADSORPTION",4,"4"
2023,"ADSORPTION",2,"2"
2024,"ADSORPTION",2,"2"
2004,"ALUMINIUM (AL)",1,"1"
2006,"ALUMINIUM (AL)",1,"1"
2009,"ALUMINIUM (AL)",2,"2"
2010,"ALUMINIUM (AL)",1,"1"
2012,"ALUMINIUM (AL)",4,"4"
2013,"ALUMINIUM (AL)",1,"1"
2014,"ALUMINIUM (AL)",1,"1"
2015,"ALUMINIUM (AL)",1,"1"
2016,"ALUMINIUM (AL)",1,"1"
2022,"ALUMINIUM (AL)",1,"1"
2023,"ALUMINIUM (AL)",2,"2"
2024,"ALUMINIUM (AL)",3,"3"
