solution,parent,type,name,label,volume_or_concentration,tolerance_or_error,coverage
Stock Solution A,,equipment,pipette,PETN pipette,1000,6.32455532,2
Stock Solution A,,equipment,pipette,RDX pipette,1000,6.32455532,2
Stock Solution A,,equipment,flask,volumetric flask,20000,40,2
Stock Solution A,,standard,PETN,PETN,1000,47.1008,2
Stock Solution A,,standard,RDX,RDX,1000,47.356,2
Cal Solution 1,Stock Solution A,equipment,pipette,pipette,40,0.901387819,2
Cal Solution 1,Stock Solution A,equipment,flask,flask,10000,20,2
Working Solution 1,Cal Solution 1,equipment,pipette,solvent pipette,95,1.118033989,2
Working Solution 1,Cal Solution 1,equipment,pipette,sample pipette,5,0.296816442,2
Working Solution 2,Cal Solution 1,equipment,pipette,solvent pipette,19,0.296816442,2
Working Solution 2,Cal Solution 1,equipment,pipette,sample pipette,76,1.118033989,2
Working Solution 2,Cal Solution 1,equipment,pipette,sample pipette,5,0.296816442,2
Working Solution 3,Cal Solution 1,equipment,pipette,solvent pipette,38,0.901387819,2
Working Solution 3,Cal Solution 1,equipment,pipette,solvent pipette,57,0.901387819,2
Working Solution 3,Cal Solution 1,equipment,pipette,sample pipette,5,0.296816442,2
Working Solution 4,Cal Solution 1,equipment,pipette,solvent pipette,57,0.901387819,2
Working Solution 4,Cal Solution 1,equipment,pipette,solvent pipette,38,0.901387819,2
Working Solution 4,Cal Solution 1,equipment,pipette,sample pipette,5,0.296816442,2
Working Solution 5,Cal Solution 1,equipment,pipette,solvent pipette,76,1.118033989,2
Working Solution 5,Cal Solution 1,equipment,pipette,solvent pipette,19,0.296816442,2
Working Solution 5,Cal Solution 1,equipment,pipette,sample pipette,5,0.296816442,2
Working Solution 6,Cal Solution 1,equipment,pipette,solvent pipette,93.1,1.118033989,2
Working Solution 6,Cal Solution 1,equipment,pipette,solvent pipette,1.9,0.296816442,2
Working Solution 6,Cal Solution 1,equipment,pipette,sample pipette,5,0.296816442,2
