solution,parent,type,name,label,volume_or_concentration,tolerance_or_error,coverage
Stock Solution A,,equipment,pipette,PETN pipette,1000,,
Stock Solution A,,equipment,pipette,RDX pipette,1000,,
Stock Solution A,,equipment,volumetric flask,volumetric flask,20000,,
Stock Solution A,,standard,PETN,PETN,1000,47.1008,2
Stock Solution A,,standard,RDX,RDX,1000,47.356,2
Cal Solution 1,Stock Solution A,equipment,pipette,pipette,40,,
Cal Solution 1,Stock Solution A,equipment,volumetric flask,flask,10000,,
Cal Solution 2,Stock Solution A,equipment,pipette,pipette,400,,
Cal Solution 2,Stock Solution A,equipment,volumetric flask,flask,10000,,
Cal Solution 3,Stock Solution A,equipment,pipette,pipette,800,,
Cal Solution 3,Stock Solution A,equipment,volumetric flask,flask,10000,,
Cal Solution 4,Stock Solution A,equipment,pipette,pipette 1,1000,,
Cal Solution 4,Stock Solution A,equipment,pipette,pipette 2,200,,
Cal Solution 4,Stock Solution A,equipment,volumetric flask,flask,10000,,
Cal Solution 5,Stock Solution A,equipment,pipette,pipette 1,1000,,
Cal Solution 5,Stock Solution A,equipment,pipette,pipette 2,600,,
Cal Solution 5,Stock Solution A,equipment,volumetric flask,flask,10000,,
Cal Solution 6,Stock Solution A,equipment,pipette,pipette,1000,,
Cal Solution 6,Stock Solution A,equipment,volumetric flask,flask,10000,,
