equipmentType,volumeRange,volumeUsed,systematic error (%),random error (%),systematic error (abs),random error (abs),systematic standard uncertainty,combined error (abs),coverage,
pipette,100-1000,1000,0.006,0.002,6,2,3.464101615,4,1.00,
,100-1000,400,0.006,0.003,2.4,1.2,1.385640646,1.833030278,1.00,
,100-1000,800,0.006,0.002,4.8,1.6,2.771281292,3.2,1.00,
,100-1000,200,0.009,0.0055,1.8,1.1,1.039230485,1.513274595,1.00,
,100-1000,600,0.006,0.003,3.6,1.8,2.078460969,2.749545417,1.00,
pipette,1-100,40,0.01,0.015,0.4,0.6,0.230940108,0.642910051,1.00,
,1-100,95,0.01,0.005,0.95,0.475,0.548482756,0.725574485,1.00,
,1-100,5,0.016,0.025,0.08,0.125,0.046188022,0.133260397,1.00,
,1-100,19,0.016,0.025,0.304,0.475,0.175514482,0.506389508,1.00,
,1-100,76,0.01,0.015,0.76,1.14,0.438786205,1.221529096,1.00,
,1-100,38,0.016,0.025,0.608,0.95,0.351028964,1.012779015,1.00,
,1-100,93.1,0.01,0.005,0.931,0.4655,0.537513101,0.711062995,1.00,
,1-100,1.9,0.016,0.025,0.0304,0.0475,0.017551448,0.050638951,1.00,
volumetric flask,10000,10000,0.0025,,25,,14.43375673,14.43375673,1.00,
,20000,20000,0.002,,40,,23.09401077,23.09401077,1.00,
